taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26; o__JACQPN01; f__JAJPHT01; g__JAJPHT01																					0.01			0.01		0.01	0.03	0.04		0.01					0.01	0.04		0.01				0.01																
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__UBA6																																	0.01																									
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__UBA472; g__FEN-33																																			0.04																							
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__UBA472; g__MVRC01																																			0.02																							
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__RBG-16-68-12; f__EA-27; g__EA-27																								0.01																																		
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__RBG-16-68-12; f__RBG-16-68-12; g__RBG-16-68-12																								0.01																																		
Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA10834; f__UBA10834; g__JAJYIS01																																			0.01																							
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B26-1; f__UBA233; g__A05DMB-2																																			0.01																							
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B26-1; f__UBA233; g__JADGNF01																																			0.09																							
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B26-1; f__UBA233; g__PALSA-986																	0.02	0.01															0.04		0.33																							
Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__UBA8941																																			0.1																							
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__CSP1-1																						0.05																																				
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosarchaeum																0.01	0.01							0.04											0.03																							
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosotenuis																0.06	0.06					0.02		0.03											0.17																							
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__TA-20																						0.02																																				
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__UBA8516																						0.05		0.01																																		
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__VHBM01																						0.08																																				
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__JAJPHM01																								0.01																																		
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrosocosmicus	0.04	0.05		0.01	0.04			0.01			0.01	0.01		0.03		0.01	0.01		0.03											0.03		0.01		0.01							0.01				0.04	0.06	0.02	0.03	0.01	0.02	0.01	0.01	0.01	0.01		0.02	0.01	0.02
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaera	0.02	0.14	0.02	0.11	0.05	0.01	0.01	0.01			0.11		0.05	0.1	0.11	0.04	0.02		0.02	0.02	0.16	0.92	0.01	0.59	0.03		0.04		0.03	0.12	0.1	0.11	0.01		0.12	0.1	0.08	0.02	0.03	0.01	0.02	0.02	0.01	0.03	0.02	0.1	0.08	0.09	0.02		0.02	0.01			0.08	0.04	0.03	0.08
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__QCWD01																														0.01																												
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__TA-21	0.02	0.91	0.6	0.75	1.82	0.45	0.14	0.99	0.34	0.18	0.52	1.19	0.99	0.45	1.4	0.29	0.27	0.71	2.09	1.85	1.7	1.26	0.74	0.21	1.4	0.55	0.42	0.38	1.74	1.01	1.82	2.41	0.32	0.6	0.06	1.55	0.62	1.51	2.03	0.98	1.32	1.86	4.49	1.5	0.02	0.87	0.52	0.73	0.66	0.27	0.34	0.54	0.53	0.2	0.56	0.13	1.1	0.68
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__TH1177	0.07	0.08	0.02	0.01	0.11		0.01	0.02			0.01	0.01	0.05	0.02	0.06	0.15	0.18	0.23	0.13	0.19	0.07	0.07	0.06	0.07	0.29	0.08	0.02	0.06	0.15	0.17	0.62	0.16	0.15	0.06	0.13	0.12	0.08	0.03	0.02	0.03	0.06	0.07	0.03	0.06	0.12	0.1	0.24	0.12	0.05	0.03	0.06	0.04	0.02	0.02	0.02	0.04	0.09	0.26
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__TH5893	0.01					0.02	0.03	0.08																						0.01		0.02													0.01		0.0	0.0		0.01	0.01	0.04					0.01	0.02
