taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__JACQDG01; g__JACQDI01															0.01						0.01	0.04	0.01	0.03			0.01										0.01		0.01																			
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__UBA6623; g__RI-231																								0.04																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__UBA6623; g__UBA6623																								0.04																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Edaphobacter														0.29																															0.01													
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__JAKAAZ01														0.02																																												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__JAKAYS01														0.01																																												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Palsa-288														0.01																																												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Silvibacterium														0.05																																												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Terracidiphilus	0.01	0.01												0.08										0.02											0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Terriglobus														0.01																																												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__UBA5172														0.01																																												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Gp1-AA112; g__Gp1-AA112																						0.01		0.02				0.01																														
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Gp1-AA117; g__Angelobacter				0.01												0.01	0.01	0.01		0.01	0.01	0.01		0.04			0.01	0.01					0.01	0.01	0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__JAEZPW01; g__JAEZPW01																								0.01											0.04											0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__JAFAIN01; g__JAFAIN01																						0.01													0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__JAHFUA01; g__JAHFUA01																0.01						0.02		0.05							0.01				0.03																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__JAIQFD01; g__JAIQFD01		0.01														0.01						0.01		0.07			0.01								0.06																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__JAIQGF01; g__JAIQGF01																						0.01		0.01				0.01							0.12											0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Koribacteraceae; g__Bog-257		0.01					0.01											0.01			0.01			0.01						0.0					0.03											0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Koribacteraceae; g__JAJXZT01																																			0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Koribacteraceae; g__Koribacter		0.01																																	0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Koribacteraceae; g__TOLSYN		0.02																		0.01									0.01	0.01	0.01	0.01			0.0	0.02					0.01	0.01				0.0				0.01								
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Bog-209		0.01							0.01							0.01								0.01											0.03											0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Gp1-AA122																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Gp1-AA124																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Gp1-AA145																						0.01		0.01											0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__JAIQET01																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__JAMXLI01																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__QIAA01																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Sulfotelmatobacter		0.01							0.01						0.01	0.01	0.01	0.01				0.02	0.01	0.05			0.01	0.01			0.01				0.04			0.01	0.01							0.01				0.01								
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__UBA7540; f__UBA7540; g__Bog-366																																						0.01																				
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__UBA7540; f__UBA7540; g__JACQNR01																0.03	0.01	0.01				0.01																																				
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__UBA7540; f__UBA7540; g__JAIQGB01																0.01																																										
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__VXMN01; f__VXMN01; g__QHZQ01					0.01	0.03	0.03	0.01	0.05	0.01					0.03	0.03	0.02	0.02		0.01	0.01	0.02	0.01	0.01	0.02		0.01	0.01			0.01	0.01		0.01			0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01						0.01								
Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__VXMN01; f__VXMN01; g__VFZK01	0.04	0.06	0.23	0.23	0.28	0.42	0.22	0.36	0.34	0.36	0.15	0.31	0.25	0.12	0.85	0.38	0.35	0.58	0.22	0.41	0.78	0.65	0.58	0.34	0.39	0.31	0.38	0.36	0.18	0.07	0.49	0.41	0.22	0.15	0.02	0.39	0.3	0.76	0.78	0.28	0.16	0.35	0.58	0.21	0.01	0.03	0.1	0.15	0.27	0.16	0.17	0.18	0.19	0.28	0.22	0.08	0.23	0.07
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__Gp7-AA10	0.01	0.03	0.01	0.01	0.01		0.01	0.01	0.02	0.01	0.03		0.03	0.01	0.01	0.02	0.01	0.02		0.01		0.01	0.01	0.09		0.02	0.03	0.01	0.01	0.04	0.01	0.01	0.01	0.01	0.05	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.02	0.02	0.05	0.04	0.03	0.01		0.03	0.03	0.01		0.02	0.02	0.02	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JACPDH01		0.01								0.01					0.01	0.03	0.02	0.03	0.01			0.01	0.02		0.01	0.02	0.01			0.0	0.01		0.02		0.01		0.01	0.01									0.01											
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JADGNX01		0.01									0.01													0.01		0.01		0.01		0.01			0.01		0.02									0.01	0.01	0.01	0.01	0.01			0.01						0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JADGNZ01	0.02	0.09	0.01	0.03	0.02	0.02		0.01	0.01	0.01	0.05		0.07	0.04	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01		0.07		0.03	0.03	0.03	0.01	0.04	0.01	0.01	0.02	0.01	0.17	0.01	0.02			0.01	0.01		0.01	0.04	0.05	0.1	0.06	0.06	0.03	0.01	0.07	0.04		0.01	0.03	0.05	0.06	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JAENWF01		0.02		0.01																										0.0					0.01										0.01	0.02		0.01			0.01							
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JAFAVZ01	0.01	0.07	0.01	0.01	0.01	0.01					0.02		0.01	0.02		0.01		0.0						0.03		0.01	0.01	0.02	0.01	0.02					0.04	0.01					0.01			0.01	0.01	0.05	0.02	0.03			0.03	0.02			0.01	0.01	0.01	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JAJPHC01	0.01	0.05		0.01	0.01	0.01					0.02		0.03	0.03		0.01	0.01		0.01					0.05		0.01	0.01	0.01	0.01	0.02	0.01		0.01	0.01	0.07	0.01				0.01	0.01	0.01	0.01	0.02	0.04	0.05	0.02	0.04	0.02		0.02	0.01			0.01	0.02	0.02	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__JAJXWV01	0.01	0.07	0.02	0.03	0.01			0.02			0.03	0.01	0.04	0.01		0.02	0.01	0.01	0.01		0.01			0.1		0.02	0.02	0.02	0.01	0.03	0.01	0.01	0.01	0.01	0.11	0.01	0.01	0.01		0.01	0.02	0.01	0.01	0.02	0.02	0.05	0.03	0.04	0.01	0.01	0.03	0.03		0.01	0.02	0.03	0.03	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__QHVS01		0.01																						0.03											0.01									0.01		0.01									0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8; f__Gp7-AA8; g__QHVT01	0.12	0.9	0.15	0.18	0.15	0.1	0.03	0.12	0.05	0.01	0.67	0.03	0.61	0.22	0.03	0.17	0.06	0.04	0.03	0.06	0.07	0.04	0.01	0.77	0.01	0.17	0.18	0.23	0.13	0.29	0.06	0.1	0.05	0.08	0.67	0.19	0.07	0.04	0.03	0.13	0.17	0.11	0.05	0.25	0.22	0.69	0.34	0.43	0.28	0.13	0.37	0.39	0.08	0.05	0.21	0.35	0.42	0.2
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Sulfomarinibacteraceae; g__FEB-10																																			0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__RBG-13-68-16															0.01		0.01	0.01				0.01	0.01	0.01	0.01	0.01	0.01	0.01					0.01		0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066; f__Gp7-AA6; g__Gp7-AA6	0.0	0.12	0.12	0.11	0.22	0.25	0.21	0.1	0.44	0.28	0.14	0.16	0.07	0.13	0.18	0.24	0.26	0.14	0.08	0.1	0.08	0.09	0.12	0.07	0.09	0.18	0.12	0.13	0.13	0.22	0.13	0.15	0.13	0.15	0.06	0.07	0.13	0.08	0.09	0.09	0.09	0.09	0.1	0.15	0.01	0.08	0.09	0.06	0.08	0.21	0.09	0.08	0.04	0.19	0.07	0.11	0.06	0.1
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066; f__UBA5066; g__Fen-183				0.01			0.01		0.01	0.01	0.01				0.01	0.02	0.01		0.01	0.01				0.01			0.01				0.01		0.01				0.01	0.01			0.01		0.01									0.01				0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066; f__UBA5066; g__RHKY01																0.01																																										
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066; f__UBA5066; g__UBA5066															0.01	0.02	0.02	0.01					0.01			0.01				0.0			0.01				0.01																					
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__JAIOJS01; g__JAIOJS01			0.01								0.01		0.01							0.01				0.02			0.01	0.01		0.01	0.01				0.01					0.01	0.02	0.01			0.0		0.01											
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__QQVD01; g__QQVD01											0.01																0.01	0.01			0.01											0.01											0.01		0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__QQVD01; g__WTGL01				0.01	0.0						0.01		0.01								0.01			0.01	0.01		0.01	0.01			0.01					0.01													0.01		0.01						0.01	
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__CAJQNK01					0.0															0.01				0.01															0.01										0.01			0.01			0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__CALZIK01						0.01					0.0					0.01					0.01	0.01		0.01		0.01						0.01						0.01	0.01												0.01							
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__CALZKB01					0.01																										0.01	0.01						0.01	0.02																			
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__J023			0.01	0.01	0.0		0.01			0.01	0.01		0.01	0.01	0.01	0.01		0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.0	0.02	0.01			0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01			0.01	0.01	0.01	0.02		0.01		0.01	0.01		0.01	0.01	
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__JAAELT01		0.01	0.01								0.0				0.01	0.01						0.01		0.01						0.01						0.01			0.01		0.0								0.01								0.01	
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__JAAYLR01		0.02	0.03	0.03	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.03	0.01	0.04	0.02	0.01	0.02	0.01	0.02	0.03	0.02	0.01	0.05	0.02	0.02	0.04	0.02	0.02	0.01	0.04	0.03	0.01	0.01	0.03	0.03	0.02	0.02	0.02	0.03	0.04	0.03	0.01	0.02	0.01	0.02	0.02	0.02	0.04	0.03	0.03	0.02	0.01	0.03	0.04	0.02	0.02	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__JACTMI01		0.04	0.05	0.06	0.08	0.06	0.04	0.08	0.06	0.12	0.08	0.15	0.04	0.02	0.05	0.19	0.13	0.12	0.02	0.07	0.08	0.06	0.06	0.09	0.13	0.16	0.09	0.09	0.05	0.03	0.11	0.12	0.06	0.01	0.11	0.13	0.09	0.12	0.08	0.04	0.09	0.12	0.09	0.03	0.01	0.01	0.05	0.06	0.07	0.03	0.06	0.06	0.13	0.18	0.09	0.08	0.05	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__JAGPDF01		0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.03	0.03	0.05	0.01			0.03	0.03	0.03	0.02	0.02	0.02	0.01		0.02	0.01	0.03	0.04	0.02	0.02		0.02	0.02	0.08	0.01	0.01	0.02	0.07		0.02	0.01	0.01	0.02	0.01				0.01	0.01	0.02	0.01	0.02	0.02	0.04	0.05	0.02	0.02	0.01	0.0
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__JAHEKO01																																			0.01			0.01	0.01								0.01											
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__JAHZIX01		0.01	0.02	0.01	0.02			0.01	0.01	0.02	0.02	0.01	0.03	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.03	0.02	0.03	0.02	0.01	0.01	0.02	0.04	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.04	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__M0029																																																	0.01									
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115		0.01		0.01	0.01						0.01	0.01	0.01		0.01	0.01	0.01	0.01			0.01	0.01		0.02			0.01	0.01		0.0	0.02	0.01					0.01		0.01	0.01	0.01	0.01				0.0		0.0	0.01					0.01	0.01		0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__UBA5704	0.18	0.37	0.26	0.25	0.29	0.23	0.13	0.12	0.1	0.09	0.43	0.29	0.23	0.22	0.2	0.15	0.13	0.09	0.12	0.14	0.19	0.31	0.13	0.23	0.17	0.25	0.4	0.4	0.14	0.27	0.19	0.27	0.11	0.13	0.53	0.36	0.2	0.21	0.21	0.19	0.46	0.23	0.12	0.18	0.28	0.22	0.24	0.23	0.38	0.28	0.3	0.2	0.21	0.25	0.3	0.39	0.19	0.15
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__RPQK01; f__JACQSX01; g__JACQSX01					0.0								0.01					0.01				0.01									0.01							0.01															0.01		0.01	0.01	0.01	
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__RPQK01; f__RPQK01; g__JACQSY01																																			0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__RPQK01; f__RPQK01; g__RPQK01																																			0.19																							
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__Gp18-AA60		0.02	0.03	0.01	0.03	0.04	0.02	0.01	0.01	0.01	0.01	0.01	0.07	0.01	0.02	0.02	0.02	0.03	0.01	0.02	0.03	0.02	0.02		0.03	0.01	0.01	0.01		0.02	0.04	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.05	0.01	0.01	0.05	0.03	0.01			0.01	0.02	0.02				0.01		0.02		0.05	0.0
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__JAAYAM01	0.01		0.01		0.01	0.01	0.01	0.01		0.01	0.01		0.03		0.01	0.06	0.03	0.02		0.01	0.02	0.01	0.01		0.02	0.01		0.02		0.0	0.01		0.04	0.01	0.08	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01			0.01										0.01	0.0
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__JAAYCX01															0.01	0.01	0.01	0.01				0.01											0.0		0.02																							
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__JACADW01			0.01			0.01	0.01				0.01		0.01	0.01	0.02	0.02	0.01	0.02		0.01	0.01	0.01			0.02	0.0		0.02		0.01	0.02		0.02		0.02	0.01	0.01	0.01	0.01		0.0	0.02	0.02	0.01											0.01		0.01	
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__JAFNAG01		0.01	0.01	0.01	0.01	0.02		0.01	0.01	0.0	0.01		0.03	0.01	0.01	0.03	0.04	0.02		0.01	0.03	0.03	0.01	0.01	0.03	0.01	0.01	0.02		0.01	0.04	0.01	0.03		0.03	0.01	0.02	0.02	0.04	0.02	0.01	0.03	0.02	0.02				0.01						0.01	0.02		0.01	
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__JAHFUH01						0.01										0.02	0.02	0.02							0.01						0.01				0.02				0.01																			
Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__UBA6911													0.01			0.01	0.01																		0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Bin61; f__Bin61; g__Bin61																0.01						0.01									0.01																											
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Bin61; f__SMYC01; g__SMYC01			0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.04	0.02	0.02	0.02		0.28	0.16	0.12	0.14		0.09	0.11	0.31	0.06	0.16	0.07	0.1	0.05	0.09	0.03	0.03	0.17	0.05	0.03		0.02	0.05	0.06	0.11	0.07	0.03	0.04	0.09	0.09	0.03			0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__AA29	0.07	0.11	0.09	0.09	0.16	0.06	0.06	0.08	0.09	0.07	0.1	0.11	0.1	0.05	0.12	0.21	0.18	0.1	0.15	0.18	0.13	0.11	0.09	0.14	0.16	0.13	0.1	0.16	0.05	0.18	0.12	0.13	0.12	0.2	0.06	0.19	0.16	0.16	0.11	0.15	0.19	0.18	0.13	0.16	0.06	0.11	0.06	0.08	0.05	0.05	0.05	0.07	0.06	0.09	0.08	0.05	0.09	0.04
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__AA32	0.11	0.2	0.22	0.26	0.33	0.26	0.14	0.27	0.31	0.24	0.2	0.41	0.33	0.1	0.66	0.7	0.59	0.48	0.33	0.47	0.5	0.46	0.46	0.32	0.69	0.37	0.27	0.57	0.15	0.27	0.54	0.45	0.33	0.3	0.1	0.6	0.41	0.52	0.51	0.48	0.5	0.58	0.52	0.33	0.05	0.18	0.15	0.19	0.17	0.15	0.11	0.16	0.15	0.18	0.25	0.09	0.18	0.09
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__CADEEV01	0.03	0.07	0.07	0.15	0.12	0.12	0.06	0.08	0.14	0.13	0.09	0.22	0.1	0.06	0.36	0.46	0.46	0.32	0.13	0.2	0.31	0.38	0.35	0.17	0.35	0.18	0.17	0.27	0.06	0.1	0.31	0.19	0.14	0.08	0.04	0.21	0.2	0.36	0.29	0.1	0.16	0.22	0.27	0.09	0.03	0.04	0.04	0.09	0.09	0.06	0.04	0.05	0.09	0.06	0.13	0.07	0.06	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__FEN-336		0.01	0.01	0.02	0.02	0.03	0.01	0.02	0.03	0.01	0.02	0.02	0.02		0.03	0.06	0.05	0.04	0.03	0.04	0.03	0.02	0.03	0.02	0.04	0.03	0.02	0.04	0.01	0.03	0.03	0.03	0.02	0.02	0.01	0.03	0.04	0.04	0.03	0.01	0.05	0.04	0.03	0.01		0.02	0.0	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__JACQGI01	0.01	0.05	0.07	0.09	0.09	0.09	0.05	0.07	0.11	0.08	0.06	0.1	0.09	0.03	0.25	0.32	0.28	0.25	0.09	0.16	0.21	0.23	0.21	0.11	0.24	0.13	0.1	0.17	0.05	0.06	0.21	0.14	0.13	0.06	0.03	0.11	0.13	0.22	0.18	0.09	0.11	0.15	0.19	0.07	0.01	0.03	0.04	0.08	0.04	0.04	0.03	0.03	0.04	0.07	0.07	0.05	0.07	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__JAFGSN01		0.01	0.01	0.01	0.01	0.01			0.01		0.01	0.01	0.01		0.04	0.04	0.03	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.04	0.03	0.01	0.02		0.01	0.02	0.02	0.03	0.01	0.01	0.02	0.01	0.02	0.03	0.01	0.02	0.02	0.01	0.01				0.01	0.01			0.01	0.01	0.01	0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__JAJDNS01	0.02	0.08	0.08	0.17	0.15	0.18	0.07	0.11	0.2	0.2	0.08	0.25	0.15	0.05	0.43	0.75	0.67	0.41	0.16	0.29	0.37	0.47	0.34	0.19	0.47	0.23	0.19	0.39	0.08	0.14	0.47	0.33	0.25	0.11	0.1	0.23	0.26	0.44	0.4	0.11	0.2	0.37	0.38	0.12	0.01	0.06	0.08	0.14	0.08	0.07	0.06	0.06	0.1	0.16	0.16	0.06	0.1	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01	0.01	0.03	0.04	0.06	0.07	0.05	0.03	0.03	0.06	0.06	0.03	0.07	0.06	0.02	0.12	0.19	0.16	0.12	0.08	0.11	0.11	0.11	0.11	0.07	0.15	0.07	0.08	0.1	0.04	0.05	0.14	0.09	0.07	0.05	0.03	0.09	0.08	0.12	0.13	0.07	0.08	0.11	0.13	0.04	0.01	0.02	0.03	0.05	0.03	0.03	0.03	0.02	0.02	0.05	0.04	0.03	0.03	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__JAGNNV01; g__JAGNNV01					0.01	0.01	0.04		0.06	0.1	0.03	0.03			0.01	0.02	0.01	0.01	0.06	0.01	0.01	0.01	0.01	0.01	0.01		0.03				0.02		0.05				0.03		0.01		0.0	0.01	0.01										0.03	0.04	0.02	0.01		
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__2-12-FULL-66-21	0.28	0.23	0.4	0.31	0.35	0.35	0.27	0.35	0.28	0.25	0.22	0.29	0.41	0.3	0.23	0.18	0.21	0.22	0.2	0.26	0.23	0.14	0.14	0.2	0.21	0.27	0.23	0.24	0.29	0.4	0.28	0.3	0.22	0.28	0.37	0.32	0.29	0.28	0.27	0.35	0.33	0.31	0.2	0.28	0.23	0.16	0.48	0.34	0.37	0.26	0.27	0.42	0.23	0.27	0.22	0.25	0.4	0.38
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__Gp6-AA38	0.29	0.19	0.42	0.26	0.32	0.32	0.29	0.46	0.22	0.3	0.21	0.33	0.46	0.26	0.22	0.23	0.21	0.27	0.2	0.35	0.38	0.16	0.14	0.2	0.33	0.38	0.29	0.33	0.3	0.41	0.32	0.29	0.27	0.21	0.29	0.39	0.3	0.3	0.29	0.43	0.35	0.46	0.26	0.32	0.2	0.14	0.52	0.26	0.37	0.26	0.27	0.43	0.23	0.3	0.26	0.26	0.44	0.32
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__JACCRT01	0.06	0.06	0.07	0.07	0.06	0.08	0.07	0.07	0.05	0.05	0.07	0.06	0.09	0.06	0.03	0.04	0.05	0.03	0.06	0.05	0.06	0.03	0.04	0.05	0.05	0.08	0.06	0.08	0.06	0.08	0.05	0.07	0.05	0.07	0.08	0.07	0.06	0.04	0.04	0.1	0.09	0.1	0.03	0.08	0.04	0.04	0.09	0.07	0.08	0.05	0.05	0.07	0.06	0.07	0.04	0.07	0.09	0.08
