95	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9		
43	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__AR31	
116	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomicrobium	
17	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__JABFSM01	
85	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_C	
44	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__UBA7656	f__UBA7656	g__JADGNW01	
166	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__PSRF01	
12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Flavisolibacter	
164	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6		
62	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__2-02-FULL-65-29	
188	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__JACCSI01	
2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__Chryseobacterium geocarposphaerae
93	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__JACCXG01	
37	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__VFZN01	
48	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__JAGVSZ01	
88	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__Fen-336		
77	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae		
12	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__WHTF01	
61	d__Bacteria	p__Actinomycetota	c__UBA4738	o__UBA4738	f__HRBIN12		
184	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21		
38	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JAJKIV01	
105	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A		
107	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__JAMQPK01	
38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__JAFAEM01	
9	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__AG11	
25	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Gp7-AA8	f__Gp7-AA8	g__QHVT01	
13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__JJ008	
4	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Nordella	
11	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__CABJBCQ01	
4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__PALSA-1005	
17	d__Bacteria	p__Actinomycetota	c__UBA4738	o__UBA4738	f__HRBIN12	g__JAJNBA01	
30	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__SCUD01	
57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__RPQJ01	
10	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__UBA4720	
194	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999		
13	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae		
3	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	
40	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__JACCZX01	
89	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__SCGC-AG-212-J23	
29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__JADKGY01	
14	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Bin18	f__Bin18	g__VGTJ01	
62	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__EnvOPS12	g__UBA12294	
22	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Flavitalea	
3	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae		
1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Noviherbaspirillum	
7	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	
51	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	
1	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__JADJMO01		
17	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__RPRB01	
41	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	
3	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	
17	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__UBA11740	
25	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Allosphingosinicella	
12	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__54-19	f__JADMIH01	g__JADMIH01	
84	d__Bacteria	p__Acidobacteriota	c__Polarisedimenticolia	o__Polarisedimenticolales	f__Polarisedimenticolaceae		
48	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	
21	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__VXMN01	f__VXMN01	g__VFZK01	
84	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	
1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter soli
37	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__JACDDX01	
5	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_A	
57	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__QHBO01	f__QHBO01		
182	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37		
42	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales			
64	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__WS-8	
65	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	
193	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA40	
35	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__AR5	
22	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46			
19	d__Bacteria	p__Acidobacteriota	c__UBA6911	o__UBA6911	f__UBA6911		
70	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Chryseolinea	
6	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae		
35	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074		
41	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__VBAS01	
16	d__Bacteria	p__Planctomycetota	c__B15-G4	o__B15-G4	f__B15-G4		
1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__JAAYXG01	
21	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__JADYYY01	
22	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__SYSU-D60009	
12	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__JABDJR01	f__JABDJR01		
32	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__CAIYRG01	
17	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales			
56	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__DP-6	f__DP-6		
20	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae		
20	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Bin61	f__SMYC01		
16	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__SZUA-336	f__SZUA-336		
6	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__TA-21 sp014523595
63	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__SZUA-320	
8	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Usitatibacteraceae	g__Usitatibacter	
30	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__JAGGAG01	
23	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__SZUA-252	f__SZUA-252	g__WS-9	
13	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	
17	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__Ilumatobacter	
25	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__DP-1	
35	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__Udaeobacter	
20	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__PALSA-894	
99	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__DP-20	
56	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__20CM-2-55-15	f__20CM-2-55-15		
21	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__Gp7-AA6	g__Gp7-AA6	
29	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__40CM-4-69-5	
41	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae		
66	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__SG8-41	
2	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA8199		
6	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA12015	f__UBA12015	g__VGTG01	
9	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Tepidisphaerales	f__Tepidisphaeraceae		
8	d__Bacteria	p__UBA10199	c__UBA10199	o__DSSB01	f__DSSB01		
3	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__UBA7656	f__UBA7656	g__UBA7656	
15	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JADJPG01		
5	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__WHTO01	f__WHTO01	g__WHTO01	
49	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__JACDCA01	
33	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__SMWR01		
1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Pseudorivibacter	
2	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__G023898405	g__G023898405	
56	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__JACCXV01	f__JAHWKZ01		
1	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__IMCC26256	f__VFJJ01		
5	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__JAHFUI01	
12	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__JACQWC01	
5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UTBCD1	
30	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JABWBJ01	
9	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__SZUA-252			
1	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__Bryobacteraceae	g__JAFLBB01	
24	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__WYBJ01		
2	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__WHTF01	s__WHTF01 sp021323355
2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Parafilimonas	
7	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA6930	g__VGRF01	
9	d__Bacteria	p__Desulfobacterota_D	c__UBA1144	o__UBA2774	f__UBA2774	g__2-12-FULL-53-21	
42	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA6522	f__UBA6522	g__FEN-1219	
3	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__JACCXV01	f__JACCXV01		
23	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__SZUA-521	
11	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA6930		
39	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SHXO01	g__SHXO01	
20	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__CADEEJ01	
46	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__JABFRY01	
38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae		
1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Palsa-1295	f__Palsa-1295	g__JAFDZW01	
