accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
14117			433730	127	9.364352196972879e-05	DUF4287	Domain of unknown function (DUF4287). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are typically between 70 and 180 amino acids in length.	60		Domain of unknown function (DUF4287)	Domain of unknown function
13936	HTH	Helix-turn-helix clan	433591	126	9.290617140303804e-05	HTH_38	Helix-turn-helix domain. This helix-turn-helix domain is often found in transferases and is likely to be DNA-binding.	44	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
07593			429555	126	9.290617140303804e-05	UnbV_ASPIC	ASPIC and UnbV. This conserved sequence is found associated with pfam00515 in several paralogous proteins in Rhodopirellula baltica. It is also found associated with pfam01839 in several eukaryotic integrin-like proteins (e.g. human ASPIC) and in several other bacterial proteins.	66		ASPIC and UnbV	ASPIC and UnbV
09932			430937	125	9.216882083634726e-05	DUF2164	Uncharacterized conserved protein (DUF2164). This domain, found in various hypothetical prokaryotic proteins, has no known function.	70		Uncharacterized conserved protein (DUF2164)	Uncharacterized conserved protein (DUF2164)
13413	HTH	Helix-turn-helix clan	433187	125	9.216882083634726e-05	HTH_25	Helix-turn-helix domain. This domain is a helix-turn-helix domain that probably binds to DNA.	62	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
13556	HTH	Helix-turn-helix clan	433305	124	9.143147026965648e-05	HTH_30	PucR C-terminal helix-turn-helix domain. This helix-turn-helix domain is often found at the C-terminus of PucR-like transcriptional regulators such as Bacillus subtilis pucR and is likely to be DNA-binding.	56	CL0123	PucR C-terminal helix-turn-helix domain	Helix-turn-helix clan
06305			428880	122	8.995676913627491e-05	LapA_dom	Lipopolysaccharide assembly protein A domain. This family includes a domain found in lipopolysaccharide assembly protein A (LapA). LapA functions along with LapB in the assembly of lipopolysaccharide (LPS). Domains in this family are also found in some uncharacterized bacterial proteins.	64		Lipopolysaccharide assembly protein A domain	Lipopolysaccharide assembly protein A domain
12091			432325	122	8.995676913627491e-05	DUF3567	Protein of unknown function (DUF3567). This family of proteins is functionally uncharacterized. This protein is found in bacteria. Proteins in this family are about 90 amino acids in length. This protein has a conserved EIVDK sequence motif.	85		Protein of unknown function (DUF3567)	Domain of unknown function
07521	RMMBL_DRMBL	RNA/DNA-metabolising metallo-beta-lactamase motif	429511	121	8.921941856958416e-05	RMMBL	Zn-dependent metallo-hydrolase RNA specificity domain. The metallo-beta-lactamase fold contains five sequence motifs. The first four motifs are found in pfam00753 and are common to all metallo-beta-lactamases. This, the fifth motif, appears to be specific to Zn-dependent metallohydrolases such as ribonuclease J 2 which are involved in the processing of mRNA. This domain adds essential structural elements to the CASP-domain and is unique to RNA/DNA-processing nucleases, showing that they are pre-mRNA 3'-end-processing endonucleases.	62	CL0398	Zn-dependent metallo-hydrolase RNA specificity domain	RNA/DNA-metabolising metallo-beta-lactamase motif
03083	MtN3-like	MtN3-like, vesicle-trafficking cargo-receptors	397278	121	8.921941856958416e-05	MtN3_slv	Sugar efflux transporter for intercellular exchange. This family includes proteins such as drosophila saliva, MtN3 involved in root nodule development and a protein involved in activation and expression of recombination activation genes (RAGs). Although the molecular function of these proteins is unknown, they are almost certainly transmembrane proteins. This family contains a region of two transmembrane helices that is found in two copies in most members of the family. This family also contains specific sugar efflux transporters that are essential for the maintenance of animal blood glucose levels, plant nectar production, and plant seed and pollen development. In many organisims it meditaes gluose transport; in Arabidopsis it is necessary for pollen viability; and two of the rice homologs are specifically exploited by bacterial pathogens for virulence by means of direct binding of a bacterial effector to the SWEET promoter.	87	CL0141	Sugar efflux transporter for intercellular exchange	MtN3-like, vesicle-trafficking cargo-receptors
14357			433899	121	8.921941856958416e-05	DUF4404	Domain of unknown function (DUF4404). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 90 amino acids in length. There are two completely conserved residues (P and G) that may be functionally important.	83		Domain of unknown function (DUF4404)	Domain of unknown function
09650	APCOP-app_sub	Clathrin (AP) and COPI appendage platform  subdomain	430734	121	8.921941856958416e-05	PHA_gran_rgn	Putative polyhydroxyalkanoic acid system protein (PHA_gran_rgn). Proteins in this entry are encoded by genes involved in either polyhydroxyalkanoic acid (PHA) biosynthesis or utilisation, including proteins found at the surface of PHA granules. These proteins have so far been found in the Pseudomonadales, Xanthomonadales, and Vibrionales, all of which belong to the Gammaproteobacteria.	79	CL0545	Putative polyhydroxyalkanoic acid system protein (PHA_gran_rgn)	Clathrin (AP) and COPI appendage platform  subdomain
00035	DSRM	DSRM-like clan	425434	120	8.848206800289337e-05	dsrm	Double-stranded RNA binding motif. Sequences gathered for seed by HMM_iterative_training Putative motif shared by proteins that bind to dsRNA. At least some DSRM proteins seem to bind to specific RNA targets. Exemplified by Staufen, which is involved in localization of at least five different mRNAs in the early Drosophila embryo. Also by interferon-induced protein kinase in humans, which is part of the cellular response to dsRNA.	66	CL0196	Double-stranded RNA binding motif	DSRM-like clan
09489			430641	120	8.848206800289337e-05	CbtB	Probable cobalt transporter subunit (CbtB). This entry represents a family of proteins which have been proposed to act as cobalt transporters acting in concert with vitamin B12 biosynthesis systems. Evidence for this assignment includes 1) prediction of a single transmembrane segment and a C-terminal histidine-rich motif likely to be a metal-binding site, 2) positional gene linkage with known B12 biosynthesis genes, 3) upstream proximity of B12 transcriptional regulatory sites, 4) the absence of other known cobalt import systems and 5) the obligate co-localization with a protein (CbtA) predicted to have five additional transmembrane segments.	50		Probable cobalt transporter subunit (CbtB)	Probable cobalt transporter subunit (CbtB)
03819	MazG	all-alpha NTP pyrophosphohydrolase superfamily	427525	120	8.848206800289337e-05	MazG	MazG nucleotide pyrophosphohydrolase domain. This domain is about 100 amino acid residues in length. It is found in the MazG protein from E. coli. It contains four conserved negatively charged residues that probably form an active site or metal binding site. This domain is found in isolation in some proteins as well as associated with pfam00590. This domain is clearly related to pfam01503 another pyrophosphohydrolase involved in histidine biosynthesis. This family may be structurally related to the NUDIX domain pfam00293 (Bateman A pers. obs.).	74	CL0231	MazG nucleotide pyrophosphohydrolase domain	all-alpha NTP pyrophosphohydrolase superfamily
12837	4Fe-4S	4Fe-4S ferredoxins	432822	120	8.848206800289337e-05	Fer4_6	4Fe-4S binding domain. This superfamily includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases, and various reductases. Structure of the domain is an alpha-antiparallel beta sandwich.	24	CL0344	4Fe-4S binding domain	4Fe-4S ferredoxins
11391			431863	120	8.848206800289337e-05	DUF2798	Protein of unknown function (DUF2798). This family of proteins has no known function.	59		Protein of unknown function (DUF2798)	Domain of unknown function
06803			429128	119	8.774471743620259e-05	DUF1232	Protein of unknown function (DUF1232). This family represents a conserved region of approximately 60 residues within a number of hypothetical bacterial and archaeal proteins of unknown function.	36		Protein of unknown function (DUF1232)	Domain of unknown function
03450	SufE_NifU	SufE/NifU superfamily	427301	119	8.774471743620259e-05	CO_deh_flav_C	CO dehydrogenase flavoprotein C-terminal domain. 	102	CL0233	CO dehydrogenase flavoprotein C-terminal domain	SufE/NifU superfamily
05121			428319	119	8.774471743620259e-05	GvpK	Gas vesicle protein K. These proteins are involved in the formation of gas vesicles.	81		Gas vesicle protein K	Gas vesicle protein K
06796			429124	119	8.774471743620259e-05	NapE	Periplasmic nitrate reductase protein NapE. This family consists of several bacterial periplasmic nitrate reductase NapE proteins. Seven genes, napKEFDABC, encoding the periplasmic nitrate reductase system were cloned from the denitrifying phototrophic bacterium Rhodobacter sphaeroides f. sp. denitrificans IL106. NapE is thought to be a transmembrane protein.	53		Periplasmic nitrate reductase protein NapE	Periplasmic nitrate reductase protein NapE
01957	OB	OB fold	426530	119	8.774471743620259e-05	NfeD	NfeD-like C-terminal, partner-binding. NfeD-like proteins are widely distributed throughout prokaryotes and are frequently associated with genes encoding stomatin-like proteins (slipins). There appear to be three major groups: an ancestral group with only an N-terminal serine protease domain and this C-terminal beta sheet-rich domain which is structurally very similar to the OB-fold domain, associated with its neighboring slipin cluster; a second major group with an additional middle, membrane-spanning domain, associated in some species with eoslipin and in others with yqfA; a final 'artificial' group which unites truncated forms lacking the protease region and associated with their ancestral gene partner, either yqfA or eoslipin. This NefD, C-terminal, domain appears to be the major one for relating to the associated protein. NfeD homologs are clearly reliant on their conserved gene neighbor which is assumed to be necessary for function, either through direct physical interaction or by functioning in the same pathway, possibly involve with lipid-rafts.	90	CL0021	NfeD-like C-terminal, partner-binding	OB fold
00614	PLD	Phospholipase D superfamily	395489	118	8.700736686951181e-05	PLDc	Phospholipase D Active site motif. Phosphatidylcholine-hydrolysing phospholipase D (PLD) isoforms are activated by ADP-ribosylation factors (ARFs). PLD produces phosphatidic acid from phosphatidylcholine, which may be essential for the formation of certain types of transport vesicles or may be constitutive vesicular transport to signal transduction pathways. PC-hydrolysing PLD is a homolog of cardiolipin synthase, phosphatidylserine synthase, bacterial PLDs, and viral proteins. Each of these appears to possess a domain duplication which is apparent by the presence of two motifs containing well-conserved histidine, lysine, and/or asparagine residues which may contribute to the active site. aspartic acid. An E. coli endonuclease (nuc) and similar proteins appear to be PLD homologs but possess only one of these motifs. The profile contained here represents only the putative active site regions, since an accurate multiple alignment of the repeat units has not been achieved.	28	CL0479	Phospholipase D Active site motif	Phospholipase D superfamily
03693	Met_repress	MetJ/Arc repressor, antitoxin of TA systems superfamily	281658	118	8.700736686951181e-05	ParD_antitoxin	Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH. ParD is the antitoxin of a bacterial toxin-antitoxin gene pair. The cognate toxin is ParE in, pfam05016. The family contains several related antitoxins from Cyanobacteria, Proteobacteria and Actinobacteria. Antitoxins of this class carry an N-terminal ribbon-helix-helix domain, RHH, that is highly conserved across all type II bacterial antitoxins, which dimerizes with the RHH domain of a second VapB molecule. A hinge section follows the RHH, with an additional pair of flexible alpha helices at the C-terminus. This C-terminus is the toxin-binding region of the dimer, and so is specific to the cognate toxin, whereas the RHH domain has the specific function of lying across the RNA-binding groove of the toxin dimer and inactivating the active-site - a more general function of all type II antitoxins.	80	CL0057	Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH	MetJ/Arc repressor, antitoxin of TA systems superfamily
13653	TIM_barrel	Common phosphate binding-site TIM barrel superfamily	433380	118	8.700736686951181e-05	GDPD_2	Glycerophosphoryl diester phosphodiesterase family. This family also includes glycerophosphoryl diester phosphodiesterases as well as agrocinopine synthase, the similarity to GDPD has been noted. This family appears to have weak but not significant matches to mammalian phospholipase C pfam00388, which suggests that this family may adopt a TIM barrel fold.	30	CL0036	Glycerophosphoryl diester phosphodiesterase family	Common phosphate binding-site TIM barrel superfamily
06725	DPBB	Double Psi beta barrel glucanase	399598	116	8.553266573613025e-05	3D	3D domain. This short presumed domain contains three conserved aspartate residues, hence the name 3D. It has been shown to be part of the catalytic double psi beta barrel domain of MltA.	72	CL0199	3D domain	Double Psi beta barrel glucanase
03703	PH	PH domain-like superfamily	427450	115	8.479531516943946e-05	bPH_2	Bacterial PH domain. Domain found in uncharacterized family of membrane proteins. 1-3 copies found in each protein, with each copy flanked by transmembrane helices. Members of this family have a PH domain like structure.	78	CL0266	Bacterial PH domain	PH domain-like superfamily
04472			427969	115	8.479531516943946e-05	SepF	Cell division protein SepF. SepF accumulates at the cell division site in an FtsZ-dependent manner and is required for proper septum formation. Mutants are viable but the formation of the septum is much slower and occurs with a very abnormal morphology. This family also includes archaeal related proteins of unknown function.	68		Cell division protein SepF	Cell division protein SepF
04328			427871	114	8.405796460274871e-05	Sel_put	Selenoprotein, putative. This entry includes a group of putative selenoproteins from Proteobacteria, Actinobacteria and Firmicutes. The invariant cysteine at the C-terminus is encoded by a TGA Sec codon in some Epsilonproteobacteria, suggesting a redox activity for the protein.	58		Selenoprotein, putative	Selenoprotein
04800			428129	114	8.405796460274871e-05	ETC_C1_NDUFA4	ETC complex I subunit conserved region. Family of pankaryotic NADH-ubiquinone oxidoreductase subunits (EC:1.6.5.3) (EC:1.6.99.3) from complex I of the electron transport chain initially identified in Neurospora crassa as a 21 kDa protein.	93		NADH dehydrogenase ubiquinone Fe-S protein 4	NADH dehydrogenase ubiquinone Fe-S protein 4
13473	CU_oxidase	Multicopper oxidase-like domain	379208	113	8.332061403605792e-05	Cupredoxin_1	Cupredoxin-like domain. The cupredoxin-like fold consists of a beta-sandwich with 7 strands in 2 beta-sheets, which is arranged in a Greek-key beta-barrel.	104	CL0026	Cupredoxin-like domain	Multicopper oxidase-like domain
13720			433428	111	8.184591290267636e-05	Acetyltransf_11	Udp N-acetylglucosamine O-acyltransferase; Domain 2. This is domain 2, or the C-terminal domain, of Udp N-acetylglucosamine O-acyltransferase. This enzyme is a zinc-dependent enzyme that catalyzes the deacetylation of UDP-3-O-((R)-3-hydroxymyristoyl)-N-acetylglucosamine to form UDP-3-O-(R-hydroxymyristoyl)glucosamine and acetate.	82		Udp N-acetylglucosamine O-acyltransferase; Domain 2	Udp N-acetylglucosamine O-acyltransferase; Domain 2
11450			431887	111	8.184591290267636e-05	DUF3008	Protein of unknwon function (DUF3008). This is a bacterial family of uncharacterized proteins.	57		Protein of unknwon function (DUF3008)	Protein of unknwon function (DUF3008)
14279	His-Me_finger	His-Me finger endonuclease superfamily	433833	111	8.184591290267636e-05	HNH_5	HNH endonuclease. This domain is related to other HNH domain families such as pfam01844. Suggesting that these proteins have a nucleic acid cleaving function.	56	CL0263	HNH endonuclease	His-Me finger endonuclease superfamily
20061			437893	110	8.110856233598558e-05	DUF6460	Family of unknown function (DUF6460). This family of proteins is functionally uncharacterized. This family of proteins is found in Alphaproteobacteria. Proteins in this family are typically between 88 and 109 amino acids in length. There is a conserved motif GAxI/VVxP. Some members of this family are likely integrases.	36		Domain of unknown function (DUF6460)	Domain of unknown function
09962			430953	110	8.110856233598558e-05	DUF2196	Uncharacterized conserved protein (DUF2196). This domain, found in various hypothetical bacterial proteins, has no known function.	59		Uncharacterized conserved protein (DUF2196)	Uncharacterized conserved protein (DUF2196)
18765	NTP_transf	Nucleotidyltransferase superfamily	436721	110	8.110856233598558e-05	Polbeta	Polymerase beta, Nucleotidyltransferase. A member of the nucleotidyltransferase fold found in polymorphic toxins (NTox45) and polyvalent proteins.	93	CL0260	Polymerase beta, Nucleotidyltransferase	Nucleotidyltransferase superfamily
04316			427861	109	8.03712117692948e-05	FlgM	Anti-sigma-28 factor, FlgM. FlgM binds and inhibits the activity of the transcription factor sigma 28. Inhibition of sigma 28 prevents the expression of genes from flagellar transcriptional class 3, which include genes for the filament and chemotaxis. Correctly assembled basal body-hook structures export FlgM, relieving inhibition of sigma 28 and allowing expression of class 3 genes. NMR studies show that free FlgM is mostly unfolded, which may facilitate its export. The C terminal half of FlgM adopts a tertiary structure when it binds to sigma 28. All mutations in FlgM that prevent sigma 28 inhibition affect the C-terminal domain and is the region thought to constitute the binding domain. A minimal binding domain has been identified between Glu 64 and Arg 88 in Salmonella typhimurium. The N-terminal portion remains unstructured and may be necessary for recognition by the export machinery.	54		Anti-sigma-28 factor, FlgM	Anti-sigma-28 factor
07746			429632	109	8.03712117692948e-05	LigA	Aromatic-ring-opening dioxygenase LigAB, LigA subunit. This is a family of aromatic ring opening dioxygenases which catalyze the ring-opening reaction of protocatechuate and related compounds.	87		Aromatic-ring-opening dioxygenase LigAB, LigA subunit	Aromatic-ring-opening dioxygenase LigAB
09827	Cas2	Cas2 endoribonuclease superfamily	430858	108	7.963386120260401e-05	CRISPR_Cas2	CRISPR associated protein Cas2. Members of this family of bacterial proteins comprise various hypothetical proteins, as well as CRISPR (clustered regularly interspaced short palindromic repeats) associated proteins, conferring resistance to infection by certain bacteriophages.	72	CL0728	CRISPR associated protein Cas2	Cas2 endoribonuclease superfamily
03330	DPBB	Double Psi beta barrel glucanase	427248	108	7.963386120260401e-05	DPBB_1	Lytic transglycolase. Rare lipoprotein A (RlpA) contains a conserved region that has the double-psi beta-barrel (DPBB) fold. The function of RlpA is not well understood, but it has been shown to act as a prc mutant suppressor in Escherichia coli. The DPBB fold is often an enzymatic domain. The members of this family are quite diverse, and if catalytic this family may contain several different functions. Another example of this domain is found in the N-terminus of pollen allergen. Recent studies show that the full-length RlpA protein from Pseudomonas Aeruginosa is an outer membrane protein that is a lytic transglycolase with specificity for peptidoglycan lacking stem peptides. Residue D157 in UniProtKB:Q9X6V6 is critical for lytic activity.	82	CL0199	Lytic transglycolase	Double Psi beta barrel glucanase
07683	CobW_C	CobW C-terminal domain superfamily	429593	108	7.963386120260401e-05	CobW_C	Cobalamin synthesis protein cobW C-terminal domain. This is a large and diverse family of putative metal chaperones that can be separated into up to 15 subgroups. In addition to known roles in cobalamin biosynthesis and the activation of the Fe-type nitrile hydratase, this family is also known to be involved in the response to zinc limitation. The CobW subgroup involved in cobalamin synthesis represents only a small sub-fraction of the family.	93	CL0832	Cobalamin synthesis protein cobW C-terminal domain	CobW C-terminal domain superfamily
13769			433462	108	7.963386120260401e-05	Virulence_fact	Virulence factor. This domain is found in conserved virulence factors. It is often found in association with pfam02985 and pfam08712.	81		Virulence factor	Virulence factor
00189			425514	107	7.889651063591324e-05	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain. This family contains a central domain pfam00013, hence the amino and carboxyl terminal domains are stored separately. This is a minimal carboxyl-terminal domain. Some are much longer.	83		Ribosomal protein S3, C-terminal domain	Ribosomal protein
06667			429060	107	7.889651063591324e-05	PspB	Phage shock protein B. This family consists of several bacterial phage shock protein B (PspB) sequences. The phage shock protein (psp) operon is induced in response to heat, ethanol, osmotic shock and infection by filamentous bacteriophages. Expression of the operon requires the alternative sigma factor sigma54 and the transcriptional activator PspF. In addition, PspA plays a negative regulatory role, and the integral-membrane proteins PspB and PspC play a positive one.	73		Phage shock protein B	Phage shock protein B
09656			430738	107	7.889651063591324e-05	PGPGW	Putative transmembrane protein (PGPGW). Proteins in this entry are putative Actinobacterial proteins of about 150 amino acids in length, with three predicted transmembrane helices and an unusual motif with consensus sequence PGPGW.	53		Putative transmembrane protein (PGPGW)	Putative transmembrane protein (PGPGW)
16916			435650	107	7.889651063591324e-05	ZT_dimer	dimerization domain of Zinc Transporter. ZT_dimer is the dimerization region of the whole molecule of zinc transporters since the full-length members form a homodimer during activity. The domain lies within the cytoplasm and exhibits an overall structural similarity with the copper metallochaperone Hah1 UniProtKB:O00244, exhibiting an open alpha-beta domain with two alpha helices (H1 and H2) aligned on one side and a three-stranded mixed beta-sheet (S1 to S3) on the other side. The N-terminal part of the members is the Cation_efflux family, pfam01545.	74		Dimerisation domain of Zinc Transporter	Dimerisation domain of Zinc Transporter
02517	Peptidase_U	Peptidase clan U	426811	106	7.815916006922248e-05	Abi	CAAX protease self-immunity. Members of this family are probably proteases (after a isoprenyl group is attached to the Cys residue in the C-terminal CAAX motif of a protein to attach it to the membrane, the AAX tripeptide being removed by one of the CAAX prenyl proteases). The family contains the CAAX prenyl protease. The proteins contain a highly conserved Glu-Glu motif at the amino end of the alignment. The alignment also contains two histidine residues that may be involved in zinc binding. While they are involved in membrane anchoring of proteins in eukaryotes, little is known about their function in prokaryotes. In some known bacteriocin loci, Abi genes have been found downstream of bacteriocin structural genes where they are probably involved in self-immunity. Investigation of the bacteriocin-like loci in the Gram positive bacteria locus from Lactobacillus sakei 23K confirmed that the bacteriocin-like genes (sak23Kalphabeta) exhibited antimicrobial activity when expressed in a heterologous host and that the associated Abi gene (sak23Ki) conferred immunity against the cognate bacteriocin. Interestingly, the immunity genes from three similar systems conferred a high degree of cross-immunity against each other's bacteriocins, suggesting the recognition of a common receptor. Site-directed mutagenesis demonstrated that the conserved motifs constituting the putative proteolytic active site of the Abi proteins are essential for the immunity function of Sak23Ki - thus a new concept in self-immunity.	92	CL0472	Type II CAAX prenyl endopeptidase Rce1-like	Peptidase clan U
19812			437644	105	7.742180950253169e-05	DUF6295	Family of unknown function (DUF6295). This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0001922) is described by MIBiG as an example of the following biosynthetic class, polyketide, in particular the isoindolinomycin biosynthetic gene cluster from Streptomyces sp. SoC090715LN-16. This family appears to be predominantly found in bacteria.	87		Family of unknown function (DUF6295)	Domain of unknown function
13286			433087	104	7.668445893584091e-05	HD_assoc	Phosphohydrolase-associated domain. This domain is found on bacterial and archaeal metal-dependent phosphohydrolases.	91		Phosphohydrolase-associated domain	Phosphohydrolase-associated domain
13318			433112	103	7.594710836915013e-05	DUF4089	Protein of unknown function (DUF4089). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 60 amino acids in length.	50		1-carboxybiuret hydrolase subunit AtzG-like	1-carboxybiuret hydrolase subunit AtzG-like
11381			431857	103	7.594710836915013e-05	DUF3185	Protein of unknown function (DUF3185). Some members in this bacterial family of proteins are annotated as membrane proteins however this cannot be confirmed. Currently no function is known.	56		Protein of unknown function (DUF3185)	Domain of unknown function
12738	BRCT-like	BRCT like	432753	103	7.594710836915013e-05	PTCB-BRCT	twin BRCT domain. This is a BRCT domain that appears in duplicate in most member sequences. BRCT domains are peptide- and phosphopeptide-binding modules. BRCT domains are present in a number of proteins involved in DNA checkpoint controls and DNA repair.	63	CL0459	twin BRCT domain	BRCT like
01230	HIT	HIT superfamily	395984	103	7.594710836915013e-05	HIT	HIT domain. 	98	CL0265	HIT domain	HIT superfamily
13551	HTH	Helix-turn-helix clan	433301	103	7.594710836915013e-05	HTH_29	Winged helix-turn helix. This helix-turn-helix domain is often found in transferases and is likely to be DNA-binding.	64	CL0123	Winged helix-turn helix	Helix-turn-helix clan
06627	HTH	Helix-turn-helix clan	429042	102	7.520975780245936e-05	DUF1153	Protein of unknown function (DUF1153). This family consists of several short, hypothetical bacterial proteins of unknown function.	87	CL0123	Protein of unknown function (DUF1153)	Helix-turn-helix clan
13770			433463	102	7.520975780245936e-05	DUF4169	Domain of unknown function (DUF4169). 	55		Domain of unknown function (DUF4169)	Domain of unknown function
13747			433450	102	7.520975780245936e-05	DUF4164	Domain of unknown function (DUF4164). This is a family of short, approx 100 residue-long, bacterial proteins of unknown function. There is several conserved LE/LD sequence pairs.	89		Domain of unknown function (DUF4164)	Domain of unknown function
12073	SH3	Src homology-3 domain	432309	101	7.447240723576859e-05	DUF3553	Protein of unknown function (DUF3553). This family of proteins is functionally uncharacterized. This protein is found in bacteria. Proteins in this family are about 60 amino acids in length. This protein has two conserved sequence motifs: GQVQS and TVNF.	48	CL0010	Protein of unknown function (DUF3553)	Src homology-3 domain
01042	YjgF-like	YjgF-like superfamily	426010	100	7.373505666907781e-05	Ribonuc_L-PSP	Endoribonuclease L-PSP. Endoribonuclease active on single-stranded mRNA. Inhibits protein synthesis by cleavage of mRNA. Previously thought to inhibit protein synthesis initiation. This protein may also be involved in the regulation of purine biosynthesis. YjgF (renamed RidA) family members are enamine/imine deaminases. They hydrolyze reactive intermediates released by PLP-dependent enzymes, including threonine dehydratase. YjgF also prevents inhibition of transaminase B (IlvE) in Salmonella.	117	CL0534	Endoribonuclease L-PSP	YjgF-like superfamily
12096			432328	100	7.373505666907781e-05	DUF3572	Protein of unknown function (DUF3572). This family of proteins is functionally uncharacterized. This protein is found in bacteria. Proteins in this family are about 100 amino acids in length.	84		Protein of unknown function (DUF3572)	Domain of unknown function
10531	Ubiquitin	Ubiquitin superfamily	431340	100	7.373505666907781e-05	SLBB	SLBB domain. 	58	CL0072	SLBB domain	Ubiquitin superfamily
00237			425546	99	7.299770610238703e-05	Ribosomal_L22	Ribosomal protein L22p/L17e. This family includes L22 from prokaryotes and chloroplasts and L17 from eukaryotes.	104		Ribosomal protein L22p/L17e	Ribosomal protein
04342	DMT	Drug/Metabolite transporter superfamily	427879	99	7.299770610238703e-05	DMT_6	Putative member of DMT superfamily (DUF486). This family contains several proteins of uncharacterized function. The family is represented in the Transport classification database as 2.A.7.34, though the exact nature of what is transported is not known.	104	CL0184	Putative member of DMT superfamily (DUF486)	Drug/Metabolite transporter superfamily
11297			431794	99	7.299770610238703e-05	DUF3098	Protein of unknown function (DUF3098). This bacterial family of proteins has no known function.	67		Protein of unknown function (DUF3098)	Domain of unknown function
07650	KH	K-Homology (KH) domain Superfamily	429574	98	7.226035553569625e-05	KH_2	KH domain. 	78	CL0007	KH domain	K-Homology (KH) domain Superfamily
01472	PUA	PUA/ASCH superfamily	426278	98	7.226035553569625e-05	PUA	PUA domain. The PUA domain named after Pseudouridine synthase and Archaeosine transglycosylase, was detected in archaeal and eukaryotic pseudouridine synthases, archaeal archaeosine synthases, a family of predicted ATPases that may be involved in RNA modification, a family of predicted archaeal and bacterial rRNA methylases. Additionally, the PUA domain was detected in a family of eukaryotic proteins that also contain a domain homologous to the translation initiation factor eIF1/SUI1; these proteins may comprise a novel type of translation factors. Unexpectedly, the PUA domain was detected also in bacterial and yeast glutamate kinases; this is compatible with the demonstrated role of these enzymes in the regulation of the expression of other genes. It is predicted that the PUA domain is an RNA binding domain.	74	CL0178	PUA domain	PUA/ASCH superfamily
17769	Hybrid	Barrel sandwich hybrid superfamily	436029	98	7.226035553569625e-05	PurK_C	Phosphoribosylaminoimidazole carboxylase C-terminal domain. This entry represents the C-terminal domain of the PurK enzyme.	56	CL0105	Phosphoribosylaminoimidazole carboxylase C-terminal domain	Barrel sandwich hybrid superfamily
20099			437931	98	7.226035553569625e-05	DUF6489	Family of unknown function (DUF6489). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 90 amino acids in length.	80		Family of unknown function (DUF6489)	Domain of unknown function
01627			426352	98	7.226035553569625e-05	Hpt	Hpt domain. The histidine-containing phosphotransfer (HPt) domain is a novel protein module with an active histidine residue that mediates phosphotransfer reactions in the two-component signaling systems. A multistep phosphorelay involving the HPt domain has been suggested for these signaling pathways. The crystal structure of the HPt domain of the anaerobic sensor kinase ArcB has been determined. The domain consists of six alpha helices containing a four-helix bundle-folding. The pattern of sequence similarity of the HPt domains of ArcB and components in other signaling systems can be interpreted in light of the three-dimensional structure and supports the conclusion that the HPt domains have a common structural motif both in prokaryotes and eukaryotes. In S. cerevisiae ypd1p this domain has been shown to contain a binding surface for Ssk1p (response regulator receiver domain containing protein pfam00072).	84		Hpt domain	Hpt domain
05137	EpsM	General secretion pathway protein M	428328	97	7.152300496900547e-05	PilN	Fimbrial assembly protein (PilN). 	77	CL0331	Fimbrial assembly protein (PilN)	General secretion pathway protein M
02560			426833	96	7.078565440231468e-05	Cyanate_lyase	Cyanate lyase C-terminal domain. Cyanate lyase (also known as cyanase) EC:4.2.1.104 is responsible for the hydrolysis of cyanate, allowing organisms that possess the enzyme to overcome the toxicity of environmental cyanate. This enzyme is composed of two domains, an N-terminal helix-turn-helix and this structurally unique C-terminal domain.	64		Cyanate lyase C-terminal domain	Cyanate lyase C-terminal domain
04149			427747	96	7.078565440231468e-05	DUF397	Domain of unknown function (DUF397). The function of this family is unknown.	50		Domain of unknown function (DUF397)	Domain of unknown function
06823			429137	96	7.078565440231468e-05	DUF1236	Protein of unknown function (DUF1236). This family contains a number of hypothetical bacterial proteins of unknown function. Some family members contain more than one copy of the region represented by this family.	64		Protein of unknown function (DUF1236)	Domain of unknown function
13646	TPR	Tetratrico peptide repeat superfamily	433376	96	7.078565440231468e-05	HEAT_2	HEAT repeats. This family includes multiple HEAT repeats.	88	CL0020	HEAT repeats	Tetratrico peptide repeat superfamily
06289			428868	95	7.004830383562391e-05	FlbD	Flagellar protein (FlbD). This family consists of several bacterial FlbD flagellar proteins. The exact function of this family is unknown.	59		Flagellar and Swarming motility proteins	Flagellar and Swarming motility proteins
