accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
12844	HTH	Helix-turn-helix clan	403907	2108	0.00155433499458416	HTH_19	Helix-turn-helix domain. Members of this family contains a DNA-binding helix-turn-helix domain. This family contains many example antitoxins from bacterial toxin-antitoxin systems. These antitoxins are likely to be DNA-binding domains.	64	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
01197	L31	Ribosomal protein L31	426117	2103	0.0015506482417507062	Ribosomal_L31	Ribosomal protein L31. 	65	CL0758	Ribosomal protein L31	Ribosomal protein
04255	HTH	Helix-turn-helix clan	427822	2094	0.0015440120866504893	DUF433	Protein of unknown function (DUF433). 	54	CL0123	Protein of unknown function (DUF433)	Helix-turn-helix clan
01632			426356	2085	0.0015373759315502721	Ribosomal_L35p	Ribosomal protein L35. 	60		Ribosomal protein L35	Ribosomal protein
00830			425892	2072	0.001527790374183292	Ribosomal_L28	Ribosomal L28 family. The ribosomal 28 family includes L28 proteins from bacteria and chloroplasts. The L24 protein from yeast also contains a region of similarity to prokaryotic L28 proteins. L24 from yeast is also found in the large ribosomal subunit	58		Ribosomal L28 family	Ribosomal protein
00366	OB	OB fold	425640	2050	0.001511568661716095	Ribosomal_S17	Ribosomal protein S17. 	68	CL0021	Ribosomal protein S17	Ribosomal protein
00327			425610	1958	0.0014437324095805436	Ribosomal_L30	Ribosomal protein L30p/L7e. This family includes prokaryotic L30 and eukaryotic L7.	51		Ribosomal protein L30p/L7e	Ribosomal protein
00166	GroES	GroES-like superfamily	395114	1939	0.0014297227488134186	Cpn10	Chaperonin 10 Kd subunit. This family contains GroES and Gp31-like chaperonins. Gp31 is a functional co-chaperonin that is required for the folding and assembly of Gp23, a major capsid protein, during phage morphogenesis.	92	CL0296	Chaperonin 10 Kd subunit	GroES-like superfamily
13560	HTH	Helix-turn-helix clan	433309	1826	0.0013464021347773607	HTH_31	Helix-turn-helix domain. This domain is a helix-turn-helix domain that probably binds to DNA.	64	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
03319	OB	OB fold	427242	1792	0.0013213322155098742	EutN_CcmL	Ethanolamine utilisation protein EutN/carboxysome. The crystal structure of EutN contains a central five-stranded beta-barrel, with an alpha-helix at the open end of this barrel (Structure 2HD3). The structure also contains three additional beta-strands, which help the formation of a tight hexamer, with a hole in the center. this suggests that EutN forms a pore, with an opening of 26 Angstrom in diameter on one face and 14 Angstrom on the other face. EutN is involved in the cobalamin-dependent degradation of ethanolamine.	83	CL0021	Ethanolamine utilisation protein EutN/carboxysome	OB fold
00571			425756	1748	0.00128888879057548	CBS	CBS domain. CBS domains are small intracellular modules that pair together to form a stable globular domain. This family represents a single CBS domain. Pairs of these domains have been termed a Bateman domain. CBS domains have been shown to bind ligands with an adenosyl group such as AMP, ATP and S-AdoMet. CBS domains are found attached to a wide range of other protein domains suggesting that CBS domains may play a regulatory role making proteins sensitive to adenosyl carrying ligands. The region containing the CBS domains in Cystathionine-beta synthase is involved in regulation by S-AdoMet. CBS domain pairs from AMPK bind AMP or ATP. The CBS domains from IMPDH and the chloride channel CLC2 bind ATP.	57		CBS domain	CBS domain
