"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__JAKEHA01"	"City"	"ShangHai"	"CityShangHai"	1.36965001979693	0.00758344118238435	0.314067038366911	8.35816459856531e-05	0.0138882551427964	8.35816459856531e-05	0.00863109935404058	NA	"abundance"	58	56
"g__MYXO"	"City"	"ShangHai"	"CityShangHai"	1.37235002895305	0.00758344118238435	0.313767079546632	8.73468835191904e-05	0.0143959026235856	8.73468835191904e-05	0.00886305029378637	NA	"abundance"	58	52
"g__VBAT01"	"City"	"ShangHai"	"CityShangHai"	-0.981903805785652	0.00758344118238435	0.229022970643677	9.01820797265529e-05	0.0147433154856184	9.01820797265529e-05	0.00907185076145815	NA	"abundance"	58	57
"g__20CM.2.70.11"	"City"	"ShangHai"	"CityShangHai"	0.887480242733292	0.00758344118238435	0.203430602359795	9.27692682912706e-05	0.0149255444984178	9.27692682912706e-05	0.00909684530832636	NA	"abundance"	58	56
"g__SXWH01"	"City"	"ShangHai"	"CityShangHai"	-0.9791029401863	0.00758344118238435	0.22864974941449	9.24531251570437e-05	0.0149255444984178	9.24531251570437e-05	0.00909684530832636	NA	"abundance"	58	57
"g__SBAX01"	"City"	"ShangHai"	"CityShangHai"	3.26918499745505	0	0.83747471618211	9.47636204366753e-05	0.0151263630983644	0.000189518260729592	0.0157963470318115	NA	"prevalence"	58	27
"g__Methylobacterium"	"City"	"ShangHai"	"CityShangHai"	-1.00465778816625	0.00758344118238435	0.235655867254814	9.70807302996812e-05	0.015375160661212	9.70807302996812e-05	0.00944029201555817	NA	"abundance"	58	57
"g__VFJN01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.507245912583372	-0.0121146753971243	0.122000375936415	0.000100598736726409	0.0158088185342463	0.000100598736726409	0.00970154263521051	NA	"abundance"	58	58
"g__13.1.40CM.70.15"	"City"	"ShangHai"	"CityShangHai"	3.45401223618863	0	0.891658667223964	0.00010719829093601	0.0167163365681138	0.00021438509039844	0.0176173212666155	NA	"prevalence"	58	32
"g__40CM.2.70.7"	"City"	"ShangHai"	"CityShangHai"	3.09742461131738	0	0.800109646477511	0.000108278591891231	0.0167559054566339	0.000216545459529	0.017670412358349	NA	"prevalence"	58	24
"g__JACPCG01"	"City"	"ShangHai"	"CityShangHai"	0.866678256285736	0.00758344118238435	0.197140961321051	0.000109626233435356	0.0168359318500116	0.000219240448959655	0.0177412311643607	NA	"abundance"	58	49
"g__VFZK01"	"City"	"ShangHai"	"CityShangHai"	1.41504563460282	0.00758344118238435	0.332618287252099	0.000110733262953078	0.0168780805006375	0.000110733262953078	0.0105014809433413	NA	"abundance"	58	58
"g__VEOV01"	"City"	"ShangHai"	"CityShangHai"	4.32353104524819	0	1.11895679727454	0.00011159342162776	0.0168822525614772	0.00011159342162776	0.0105014809433413	NA	"prevalence"	58	19
"g__JAHFBB01"	"City"	"ShangHai"	"CityShangHai"	1.5758070212148	0.00758344118238435	0.361939725834909	0.000112645000768907	0.0169151070784244	0.000112645000768907	0.010512234311485	NA	"abundance"	58	47
"g__QHXZ01"	"City"	"ShangHai"	"CityShangHai"	1.64274031811917	0.00758344118238435	0.371289458072887	0.00011566690352216	0.0172188673773035	0.00023132042821175	0.0182383653838035	NA	"abundance"	58	40
"g__WS.11"	"City"	"ShangHai"	"CityShangHai"	1.38992431621838	0.00758344118238435	0.327580826214681	0.0001172160466687	0.0172188673773035	0.0001172160466687	0.0107700318785595	NA	"abundance"	58	57
"g__JACORV01"	"City"	"ShangHai"	"CityShangHai"	3.24476060961529	0	0.842332948931691	0.000117103579120353	0.0172188673773035	0.000234193444992464	0.0183409618095105	NA	"prevalence"	58	29
"g__BQJX01"	"City"	"ShangHai"	"CityShangHai"	3.15885998190739	0	0.820507484180121	0.000118172986834627	0.0172345524396516	0.000236332008814437	0.0183850547390378	NA	"prevalence"	58	28
"g__Anatilimnocola"	"City"	"ShangHai"	"CityShangHai"	-0.595745462409652	0.00758344118238435	0.140927290500586	0.000120568932881593	0.0174583814812546	0.000120568932881593	0.0109460055754987	NA	"abundance"	58	58
"g__DP.23"	"City"	"ShangHai"	"CityShangHai"	0.932925188238451	0.00758344118238435	0.219794157667372	0.000133619245284211	0.0192108463858264	0.000133619245284211	0.0118121437365262	NA	"abundance"	58	56
"g__Polarisedimenticola"	"City"	"ShangHai"	"CityShangHai"	1.18500478989354	0.00758344118238435	0.2613579522426	0.000136367428887896	0.0194678909747565	0.00027271626170013	0.0203995260114027	NA	"abundance"	58	34
"g__Fen.1231"	"City"	"ShangHai"	"CityShangHai"	-0.802343407918455	0.00758344118238435	0.193256445104175	0.000138678007436721	0.0196593046626378	0.000138678007436721	0.0120763706625306	NA	"abundance"	58	58
"g__JACOVF01"	"City"	"ShangHai"	"CityShangHai"	3.51340210577498	0	0.923294244330804	0.000141638296572922	0.0199395246397658	0.000283256531738789	0.0210529966169422	NA	"prevalence"	58	35
"g__Tsuneonella"	"City"	"ShangHai"	"CityShangHai"	-1.56713068036111	0.00758344118238435	0.367851383087255	0.00014343932418015	0.0200538067571035	0.000286858073520579	0.0211857396196939	NA	"abundance"	58	45
"g__2.02.FULL.62.14"	"City"	"ShangHai"	"CityShangHai"	3.75585500602848	0	0.990099646065608	0.000148591833947755	0.0206318743684171	0.000148591833947755	0.0128438378543434	NA	"prevalence"	58	20
"g__JACPZX01"	"City"	"ShangHai"	"CityShangHai"	2.45581287257811	0.00758344118238435	0.564451694620897	0.000161708703482311	0.0218543922466227	0.000323391257259839	0.0230100767132016	NA	"abundance"	58	37
"g__Longimicrobium"	"City"	"ShangHai"	"CityShangHai"	-3.04550496541992	0.00758344118238435	0.710173636683928	0.000160302050445704	0.0218543922466227	0.000320578404144031	0.0230100767132016	NA	"abundance"	58	41
"g__JAFDDA01"	"City"	"ShangHai"	"CityShangHai"	3.86840084467296	0	1.02521261381538	0.000161123743313851	0.0218543922466227	0.000161123743313851	0.0136242968168791	NA	"prevalence"	58	21
"g__JAKEEW01"	"City"	"ShangHai"	"CityShangHai"	-3.83105550693242	0	1.01429017235159	0.000158677534593281	0.0218543922466227	0.000158677534593281	0.0135153879647372	NA	"prevalence"	58	17
"g__JAAFGM01"	"City"	"ShangHai"	"CityShangHai"	3.75246369883853	0	0.995857490203213	0.000164512612670724	0.02208609062292	0.00032899816094172	0.0232501568893599	NA	"prevalence"	58	35
"g__Fen.1245"	"City"	"ShangHai"	"CityShangHai"	3.26202350904224	0	0.867071096030433	0.000168480728976216	0.0224700088013543	0.000336933072196395	0.0234028096396413	NA	"prevalence"	58	22
"g__VJS01"	"City"	"ShangHai"	"CityShangHai"	1.86528038461087	0.00758344118238435	0.426832906987194	0.000178310339704946	0.0236255372973769	0.000356588884832646	0.0239654377784379	NA	"abundance"	58	36
"g__JAHFUS01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.874229273106625	-0.0121146753971243	0.200099814548007	0.000179720992187327	0.023657817880659	0.00035940968473962	0.0239654377784379	NA	"abundance"	58	34
"g__2.02.FULL.66.14"	"City"	"ShangHai"	"CityShangHai"	1.01940145975325	0.00758344118238435	0.248063435443128	0.000186975768478481	0.0244540179264243	0.000186975768478481	0.0156965485062978	NA	"abundance"	58	58
"g__Mor1"	"City"	"ShangHai"	"CityShangHai"	1.41909892646359	0.00758344118238435	0.33724185779433	0.000190626933561644	0.0247717256228311	0.000381217528495489	0.0250776154895621	NA	"abundance"	58	43
"g__JAEUKZ01"	"City"	"ShangHai"	"CityShangHai"	0.851106200103381	0.00758344118238435	0.20449952920487	0.000194264988948367	0.025083693350072	0.000388492239010803	0.0253257873576372	NA	"abundance"	58	52
"g__CF.163"	"City"	"ShangHai"	"CityShangHai"	1.84762940049868	0.00758344118238435	0.440125132624298	0.000198044591457558	0.0253329664724101	0.00039604996125491	0.0254513258569443	NA	"abundance"	58	43
"g__Sorangium"	"City"	"ShangHai"	"CityShangHai"	-0.90790640958667	0.00758344118238435	0.225142534746692	0.000198943609681423	0.0253329664724101	0.000198943609681423	0.0164643473856208	NA	"abundance"	58	58
"g__JAGIAR01"	"City"	"ShangHai"	"CityShangHai"	-3.31616425514276	0	0.891660937033057	0.000199944486759354	0.0253329664724101	0.000399848995720922	0.0254963821369805	NA	"prevalence"	58	24
"g__JACCZL01"	"City"	"ShangHai"	"CityShangHai"	-3.63034186339007	0	0.979237567598345	0.000209468551175242	0.0263748227914566	0.000418893225276553	0.0264219732202816	NA	"prevalence"	58	36
"g__WVWW01"	"City"	"ShangHai"	"CityShangHai"	1.18028951132061	0.00758344118238435	0.288153134004518	0.000217751336892169	0.0272484882807287	0.00043545525813962	0.0270283372725065	NA	"abundance"	58	50
"g__Usitatibacter"	"City"	"ShangHai"	"CityShangHai"	-1.09323368671631	0.00758344118238435	0.273896618642018	0.000220454067943465	0.027417453161656	0.000220454067943465	0.0177412311643607	NA	"abundance"	58	58
"g__JAKEFM01"	"City"	"ShangHai"	"CityShangHai"	4.25045772586036	0	1.15116363090701	0.000222222754165252	0.0274689004416951	0.000222222754165252	0.0177610775229749	NA	"prevalence"	58	21
"g__JADYZN01"	"City"	"ShangHai"	"CityShangHai"	-0.932826381958593	0.00758344118238435	0.233519812567723	0.000224186476196375	0.0275436863360783	0.000224186476196375	0.017796135991398	NA	"abundance"	58	58
"g__PLA2"	"City"	"ShangHai"	"CityShangHai"	3.53087075896293	0	0.958046966936985	0.000228264689284057	0.0278757938624482	0.00045647727379974	0.0279890508804143	NA	"prevalence"	58	20
"g__JAIOPA01"	"City"	"ShangHai"	"CityShangHai"	1.53915935221508	0.00758344118238435	0.383973955032866	0.000246156420373067	0.0298807362503163	0.000246156420373067	0.0190225117174392	NA	"abundance"	58	56
"g__CAITIQ01"	"City"	"ShangHai"	"CityShangHai"	-0.694199242973875	0.00758344118238435	0.174888147102091	0.000250587346498188	0.0302375398107813	0.000250587346498188	0.0192375246466273	NA	"abundance"	58	58
"g__JACDCA01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.30215856196085	-0.0121146753971243	0.0788450071683328	0.000255118991144943	0.030602202298759	0.000255118991144943	0.0194574085468649	NA	"abundance"	58	58
"g__VFMC01"	"City"	"ShangHai"	"CityShangHai"	-0.940445311275642	0.00758344118238435	0.237848999429192	0.000258444397759683	0.0308187343022605	0.000258444397759683	0.0195830368666087	NA	"abundance"	58	57
"g__UBA1952"	"City"	"ShangHai"	"CityShangHai"	-3.06593490860624	0	0.839780804758768	0.00026134822267428	0.030982755380427	0.000522628142455066	0.0311150397668784	NA	"prevalence"	58	22
"g__JAGYID01"	"City"	"ShangHai"	"CityShangHai"	1.46910105772045	0.00758344118238435	0.354127252843876	0.000267148652410842	0.0314862644283291	0.0005342259364192	0.0316440733607901	NA	"abundance"	58	39
"g__JAGWBS01"	"City"	"ShangHai"	"CityShangHai"	1.08918484757567	0.00758344118238435	0.266209531543598	0.000269605209412771	0.0315921202613624	0.000269605209412771	0.0202969237976621	NA	"abundance"	58	44
"g__JACDAN01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.831507941094901	-0.0121146753971243	0.212424575119956	0.000271380623556028	0.0316174023030333	0.000542687599669214	0.031982937376465	NA	"abundance"	58	53
"g__JADGQW01"	"City"	"ShangHai"	"CityShangHai"	3.46659877699175	0	0.952559753155005	0.000273438045840754	0.031675063230193	0.000546801323316596	0.0320634404109616	NA	"prevalence"	58	19
"g__Nitrosomonas"	"City"	"ShangHai"	"CityShangHai"	0.873875698019265	0.00758344118238435	0.216662279760954	0.000291150208036939	0.0330028169245343	0.000582215647630238	0.0326922235762324	NA	"abundance"	58	51
"g__JAGQJR01"	"City"	"ShangHai"	"CityShangHai"	2.66263658991025	0	0.734734062196717	0.000290142170592422	0.0330028169245343	0.000580200158705687	0.0326922235762324	NA	"prevalence"	58	25
"g__Pelomicrobium"	"City"	"ShangHai"	"CityShangHai"	3.64894724126965	0	1.00679252153763	0.000289712727356995	0.0330028169245343	0.000579341521249598	0.0326922235762324	NA	"prevalence"	58	21
"g__UTPLA1"	"City"	"ShangHai"	"CityShangHai"	2.79025423870821	0	0.77018912278572	0.000291412008163558	0.0330028169245343	0.000582739095368613	0.0326922235762324	NA	"prevalence"	58	24
"g__Entotheonella"	"City"	"ShangHai"	"CityShangHai"	1.46226404703337	0.00758344118238435	0.371290005751271	0.000293558851799047	0.0330612502426127	0.000293558851799047	0.0215442656707112	NA	"abundance"	58	58
"g__Pseudobdellovibrio"	"City"	"ShangHai"	"CityShangHai"	-3.35987047993225	0	0.928763923141568	0.000297379475484164	0.0333065012542263	0.000594670516415888	0.0332019629476411	NA	"prevalence"	58	18
"g__Hylemonella"	"City"	"ShangHai"	"CityShangHai"	0.992697814583231	0.00758344118238435	0.180032918431496	0.000303457684959874	0.0338005175247613	0.000606823283353186	0.0337191471116587	NA	"abundance"	58	18
"g__JAABRB01"	"City"	"ShangHai"	"CityShangHai"	1.05056736916326	0.00758344118238435	0.266150908518831	0.000315208003109246	0.034917467972845	0.000315208003109246	0.0229885136767612	NA	"abundance"	58	56
"g__JADLBT01"	"City"	"ShangHai"	"CityShangHai"	0.802453997628659	0.00758344118238435	0.202699424247473	0.00032249660478556	0.0349607014556839	0.00032249660478556	0.0230100767132016	NA	"abundance"	58	58
"g__Nitrospira_A"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.704978591455528	-0.0121146753971243	0.178162060114137	0.000321862518325222	0.0349607014556839	0.000321862518325222	0.0230100767132016	NA	"abundance"	58	57
"g__PALSA.1295"	"City"	"ShangHai"	"CityShangHai"	-2.74833786597577	0	0.763468978797793	0.000318458442298477	0.0349607014556839	0.000636815468817484	0.0350518854039208	NA	"prevalence"	58	28
"g__VJS01"	"City"	"ShangHai"	"CityShangHai"	3.64114983225816	0	1.01182060162996	0.000319919981280009	0.0349607014556839	0.000356588884832646	0.0239654377784379	NA	"prevalence"	58	36
"g__Fen.549"	"Organic.carbon"	"Organic.carbon"	"Organic.carbon"	1.63527666434053	0.0345941112785551	0.373032264106107	0.00033075036795216	0.0356377745332057	0.00033075036795216	0.0232501568893599	NA	"abundance"	58	36
"g__GWA2.73.35"	"City"	"ShangHai"	"CityShangHai"	0.995623250281555	0.00758344118238435	0.254431160696032	0.000342571246375822	0.0356377745332057	0.000342571246375822	0.0236536323902927	NA	"abundance"	58	58
"g__SYSU.D60014"	"City"	"ShangHai"	"CityShangHai"	0.986072957296348	0.00758344118238435	0.246977814383165	0.000334145460493485	0.0356377745332057	0.000668179267798201	0.0366055581029916	NA	"abundance"	58	48
"g__JACDBE01"	"City"	"ShangHai"	"CityShangHai"	4.41807713901658	0	1.23139496274996	0.000333398642351358	0.0356377745332057	0.000333398642351358	0.0232959805844191	NA	"prevalence"	58	21
"g__JACPZX01"	"City"	"ShangHai"	"CityShangHai"	3.65026726127025	0	1.01858241264497	0.000338794952314564	0.0356377745332057	0.000323391257259839	0.0230100767132016	NA	"prevalence"	58	37
"g__Palsa.881"	"City"	"ShangHai"	"CityShangHai"	-3.00979696630587	0	0.840115728344537	0.000340193867876482	0.0356377745332057	0.000680272003885224	0.0369091132043898	NA	"prevalence"	58	33
"g__SCTD01"	"City"	"ShangHai"	"CityShangHai"	-3.20202300980128	0	0.894269962551602	0.000342806138218978	0.0356377745332057	0.000685494760389555	0.0369091132043898	NA	"prevalence"	58	27
"g__SSA4"	"City"	"ShangHai"	"CityShangHai"	2.66813028111398	0	0.744230720737321	0.000336968634164017	0.0356377745332057	0.000673823720467624	0.0367422850193304	NA	"prevalence"	58	25
"g__Ga0077523"	"City"	"ShangHai"	"CityShangHai"	0.869608023746384	0.00758344118238435	0.221106195152188	0.000347954719615018	0.0358057770357139	0.000347954719615018	0.023744348673612	NA	"abundance"	58	55
"g__VGEI01"	"City"	"ShangHai"	"CityShangHai"	1.06886546555602	0.00758344118238435	0.270230139858548	0.000346441715028067	0.0358057770357139	0.000346441715028067	0.023744348673612	NA	"abundance"	58	51
"g__Z2.YC6860"	"City"	"ShangHai"	"CityShangHai"	-0.843529970221065	0.00758344118238435	0.218908465498406	0.00035287175635812	0.0361283648731909	0.00035287175635812	0.0239398867729238	NA	"abundance"	58	58
"g__CAMASH01"	"P"	"P"	"P"	-0.738693168497169	-0.00799626484154715	0.179868768485335	0.000357920545436041	0.0362882485986221	0.000357920545436041	0.0239654377784379	NA	"abundance"	58	38
"g__Hyphomicrobium_A"	"City"	"ShangHai"	"CityShangHai"	1.22691320064076	0.00758344118238435	0.313141942907557	0.000358013502354204	0.0362882485986221	0.000715898831040541	0.0381453126000551	NA	"abundance"	58	53
"g__CADCTB01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.684809487610347	-0.0121146753971243	0.178978199025281	0.000362767346682058	0.0365871624474561	0.000725403093216297	0.0384760395215499	NA	"abundance"	58	51
"g__Luteolibacter"	"City"	"ShangHai"	"CityShangHai"	-1.10747325363365	0.00758344118238435	0.284252368236021	0.000369656196384072	0.0370973782826629	0.000369656196384072	0.0245086258841235	NA	"abundance"	58	48
"g__JAEUMW01"	"City"	"ShangHai"	"CityShangHai"	2.82817756043678	0	0.795479080715667	0.000377528580870011	0.0377007851792949	0.000754914633910648	0.0395026854847684	NA	"prevalence"	58	38
"g__Lysobacter"	"City"	"ShangHai"	"CityShangHai"	-0.897164146502347	0.00758344118238435	0.234568361953762	0.000382536254789789	0.0380136027308755	0.000382536254789789	0.0250776154895621	NA	"abundance"	58	57
"g__Anaeromyxobacter"	"City"	"ShangHai"	"CityShangHai"	2.07862180440952	0.00758344118238435	0.534661023112986	0.000386707444870238	0.0381357577711385	0.000773265347092558	0.0401883301949667	NA	"abundance"	58	51
"g__JACOSU01"	"City"	"ShangHai"	"CityShangHai"	0.980151840967732	0.00758344118238435	0.249802112438962	0.000387527925259201	0.0381357577711385	0.000774905672625547	0.0401883301949667	NA	"abundance"	58	51
"g__VGTJ01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.531361740295103	-0.0121146753971243	0.135851832624299	0.000393958909512326	0.0384248266132384	0.000393958909512326	0.0254513258569443	NA	"abundance"	58	58
"g__Sphingobium_A"	"City"	"ShangHai"	"CityShangHai"	-2.92526808938919	0	0.825437780320142	0.000394256310948775	0.0384248266132384	0.000788357183858828	0.0407050441524277	NA	"prevalence"	58	21
"g__PALSA.1104"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.525203321332673	-0.0121146753971243	0.134379527337276	0.000396961291110109	0.0385033459013595	0.000396961291110109	0.0254513258569443	NA	"abundance"	58	58
"g__JADJWR01"	"City"	"ShangHai"	"CityShangHai"	0.95511499032445	0.00758344118238435	0.247701683001375	0.000409540110909656	0.0395342720398122	0.000409540110909656	0.0259724106206782	NA	"abundance"	58	58
"g__Palsa.187"	"City"	"ShangHai"	"CityShangHai"	0.836039990661314	0.00758344118238435	0.216485091309187	0.000424640234615303	0.0407976627304333	0.000424640234615303	0.0266404671920751	NA	"abundance"	58	58
"g__RBG.16.71.46"	"City"	"ShangHai"	"CityShangHai"	0.961301056601179	0.00758344118238435	0.249591716752798	0.000431195278135066	0.0412320315016701	0.000431195278135066	0.0269070465270486	NA	"abundance"	58	56
"g__UBA6910"	"City"	"ShangHai"	"CityShangHai"	3.47818696492649	0	0.9892488008833	0.000438120699076693	0.0416975718858344	0.000438120699076693	0.0270498964948462	NA	"prevalence"	58	17
"g__JAHWJV01"	"City"	"ShangHai"	"CityShangHai"	-3.18567220935306	0	0.90757620310672	0.000447958656679236	0.0424346630289788	0.000895716646400378	0.0452472621075585	NA	"prevalence"	58	20
"g__PALSA.1355"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.401449399328462	-0.0121146753971243	0.103018888011073	0.000458129121446493	0.0431962490695968	0.000458129121446493	0.0279890508804143	NA	"abundance"	58	58
"g__Albitalea"	"City"	"ShangHai"	"CityShangHai"	-0.918933916872622	0.00758344118238435	0.241988673761542	0.000464799308697472	0.043550592971138	0.000929382578997579	0.046311890912667	NA	"abundance"	58	52
"g__JACQNT01"	"City"	"ShangHai"	"CityShangHai"	3.57909167441379	0	1.0227524573379	0.000466183833599888	0.043550592971138	0.000932150339833067	0.046311890912667	NA	"prevalence"	58	37
"g__DP.3"	"City"	"ShangHai"	"CityShangHai"	1.06315299282806	0.00758344118238435	0.27961213297898	0.00047027859419102	0.0437315947772494	0.00047027859419102	0.0285816714354949	NA	"abundance"	58	58
"g__Chthoniobacter"	"City"	"ShangHai"	"CityShangHai"	-0.936434157076882	0.00758344118238435	0.249823387454916	0.000482973042966295	0.0447069841416106	0.000482973042966295	0.0292011007169621	NA	"abundance"	58	57
"g__JACOUI01"	"City"	"ShangHai"	"CityShangHai"	3.48577780590927	0	0.999849649968717	0.000489747830988664	0.0451280364991009	0.00097925580903937	0.0480123362843715	NA	"prevalence"	58	22
"g__Opitutus"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.57137141722469	-0.0121146753971243	0.153585880639639	0.000498201466081927	0.0454934239658235	0.000996154727463047	0.0484338729781929	NA	"abundance"	58	50
"g__Terrihabitans"	"City"	"ShangHai"	"CityShangHai"	-2.8131316178741	0	0.807840025219004	0.00049714871333507	0.0454934239658235	0.000994050269826969	0.0484338729781929	NA	"prevalence"	58	23
"g__JACQFL01"	"City"	"ShangHai"	"CityShangHai"	0.843376854169659	0.00758344118238435	0.221531547411894	0.000500455664248722	0.0454943373347538	0.000500455664248722	0.0301021502377234	NA	"abundance"	58	57
"g__13.1.40CM.70.15"	"City"	"ShangHai"	"CityShangHai"	1.81394573328964	0.00758344118238435	0.448939518282629	0.000507342702221303	0.045544086823355	0.00021438509039844	0.0176173212666155	NA	"abundance"	58	32
"g__JAHFUI01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.365230986275009	-0.0121146753971243	0.0941462768702059	0.000511298052590092	0.045544086823355	0.000511298052590092	0.0305965998752502	NA	"abundance"	58	58
"g__Accumulibacter"	"City"	"ShangHai"	"CityShangHai"	3.78717095642346	0	1.08864537537469	0.000503679135405708	0.045544086823355	0.00100710457813997	0.0485615839765097	NA	"prevalence"	58	17
"g__JADJPQ01"	"City"	"ShangHai"	"CityShangHai"	2.86781820259368	0	0.825443692042728	0.000512236177768594	0.045544086823355	0.00102420996963537	0.0487816576966334	NA	"prevalence"	58	34
"g__Sphingomonas_G"	"City"	"ShangHai"	"CityShangHai"	-2.84024591447958	0	0.81696647002562	0.000507860518487535	0.045544086823355	0.00101546311466883	0.0487093195808716	NA	"prevalence"	58	28
"g__20CM.4.69.16"	"City"	"ShangHai"	"CityShangHai"	1.46991101819398	0.00758344118238435	0.374816366687786	0.000544777109045991	0.0480161806720884	0.00108925743599344	0.0512521976637398	NA	"abundance"	58	37
"g__WS.9"	"City"	"ShangHai"	"CityShangHai"	0.890507784904031	0.00758344118238435	0.234975272308071	0.000543023016455146	0.0480161806720884	0.00108575115891389	0.0512521976637398	NA	"abundance"	58	55
"g__Lysobacter_C"	"City"	"ShangHai"	"CityShangHai"	-0.995803430798527	0.00758344118238435	0.2646950717049	0.000549948740891759	0.048262168291592	0.00109959503816591	0.0515308212865783	NA	"abundance"	58	49
"g__Sphingomonas_B"	"City"	"ShangHai"	"CityShangHai"	-3.72990491569432	0	1.0799513321781	0.000552805959482148	0.0483038034940608	0.00110530632453546	0.051591278004017	NA	"prevalence"	58	41
"g__JABFSC01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.476040303043327	-0.0121146753971243	0.124845512411893	0.000558847335390578	0.0486221166653982	0.000558847335390578	0.0326059477833633	NA	"abundance"	58	57
"g__Fen.549"	"All.carbon"	"All.carbon"	"All.carbon"	-1.28340953888724	0.0318470067372106	0.327408543572695	0.000564119398479779	0.0486259586875776	0.00112792056626382	0.0520626456681441	NA	"abundance"	58	36
"g__JACCUL01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.532840220980644	-0.0121146753971243	0.147547935754437	0.000580120264245143	0.0486259586875776	0.000580120264245143	0.0326922235762324	NA	"abundance"	58	58
"g__JACQFK01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.809562134669527	-0.0121146753971243	0.214927882835726	0.000572426860249164	0.0486259586875776	0.00114452604798799	0.0523744096234192	NA	"abundance"	58	55
"g__JACQVA1"	"City"	"ShangHai"	"CityShangHai"	0.972431272476102	0.00758344118238435	0.259189706445829	0.000579867354365105	0.0486259586875776	0.000579867354365105	0.0326922235762324	NA	"abundance"	58	56
"g__JANWVS01"	"City"	"ShangHai"	"CityShangHai"	0.656048044081606	0.00758344118238435	0.172097509946244	0.000573644305628451	0.0486259586875776	0.000573644305628451	0.0326922235762324	NA	"abundance"	58	53
"g__PNKZ01"	"City"	"ShangHai"	"CityShangHai"	-0.764619247387284	0.00758344118238435	0.207475045851117	0.000580479577860782	0.0486259586875776	0.000580479577860782	0.0326922235762324	NA	"abundance"	58	58
"g__Schlesneria"	"City"	"ShangHai"	"CityShangHai"	-0.693469034422751	0.00758344118238435	0.185274688518418	0.000563230283999516	0.0486259586875776	0.00112614333964622	0.0520626456681441	NA	"abundance"	58	51
"g__JAGWAZ01"	"City"	"ShangHai"	"CityShangHai"	-3.17183137951632	0	0.920353833316666	0.000568282585535215	0.0486259586875776	0.00113624222597341	0.0522000414759201	NA	"prevalence"	58	19
"g__Nitrosocosmicus"	"City"	"ShangHai"	"CityShangHai"	-2.69848078580062	0	0.783897150037448	0.000576595387371426	0.0486259586875776	0.00115285831250211	0.0525496236272936	NA	"prevalence"	58	28
"g__Chth.196"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.469663723425958	-0.0121146753971243	0.127869281669153	0.000594474713882187	0.0495933802461716	0.00118859602757893	0.0537586319605369	NA	"abundance"	58	47
"g__JAFAYN01"	"City"	"ShangHai"	"CityShangHai"	-2.71843104973155	0	0.792070213202005	0.000599019050003818	0.0497676810724483	0.00119767927618537	0.0539603068486759	NA	"prevalence"	58	19
"g__Phnomibacter"	"City"	"ShangHai"	"CityShangHai"	-2.86632934781054	0	0.837607867901473	0.00062152699863134	0.0514269196581817	0.00124266770145265	0.0553838190910554	NA	"prevalence"	58	31
"g__JAEWQP01"	"City"	"ShangHai"	"CityShangHai"	2.54187363758318	0	0.743059597281364	0.000624324825654736	0.0514484262832228	0.00124825986982154	0.0553838190910554	NA	"prevalence"	58	30
"g__Minicystis"	"City"	"ShangHai"	"CityShangHai"	-0.703737089197506	0.00758344118238435	0.188694230234243	0.000628436800903742	0.0515776146879379	0.00125647866899475	0.0555373090473477	NA	"abundance"	58	48
"g__AR8"	"City"	"ShangHai"	"CityShangHai"	0.792580296131422	0.00758344118238435	0.212505432831221	0.000630994683519237	0.051578726710895	0.000630994683519237	0.0348960993459051	NA	"abundance"	58	58
"g__AG29"	"City"	"ShangHai"	"CityShangHai"	2.42417691667498	0	0.713074886621228	0.000674818910794353	0.0549394737334262	0.00134918244102634	0.0589648311023835	NA	"prevalence"	58	31
"g__GCA.2726245"	"Organic.carbon"	"Organic.carbon"	"Organic.carbon"	-1.20078130060244	0.0345941112785551	0.323971597753464	0.000686372231155419	0.0556565514799306	0.000686372231155419	0.0369091132043898	NA	"abundance"	58	58
"g__BOG.1363"	"City"	"ShangHai"	"CityShangHai"	-2.59348289792536	0	0.764290861695901	0.000690511102313819	0.0557473523725569	0.00138054539904522	0.0601103890352935	NA	"prevalence"	58	26
