taxonomy	cpsnj01	cpsnj02	cpsnj03	cpsnj04	cpsnj08	cpsnj09	cpsnj10	cpsnj11	cpsnj13	cpsnj14	cpsnj15	cpsnj16	cpsnj19	cpsnj20	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Marinisomatota		0.01							0.01	0.0	0.01				0.0									0.01	0.01			0.01	0.0	0.01	0.01				0.01				0.01		0.0					0.0		0.0				0.0		0.01				
Root; d__Bacteria; p__Methylomirabilota	0.64	1.75	2.89	2.08	3.1	6.31	4.13	3.87	5.06	3.74	2.09	2.57	2.94	2.01	5.95	3.8	3.49	4.4	1.22	4.72	5.0	5.25	3.41	3.55	4.46	3.19	2.66	4.33	2.0	2.89	4.44	4.21	2.27	1.97	2.43	3.54	3.6	5.06	4.74	4.15	3.49	5.4	4.93	4.18	0.54	0.87	2.26	2.17	1.88	2.43	1.63	2.1	1.65	2.0	2.64	0.98	2.35	1.02
Root; d__Bacteria; p__Moduliflexota															0.01																																											
Root; d__Bacteria; p__Myxococcota	3.44	4.19	5.79	4.51	4.52	4.04	3.89	4.03	4.57	4.28	4.45	4.55	4.24	3.44	3.0	3.88	3.7	3.35	3.74	3.62	3.44	2.71	4.37	3.64	3.48	4.47	4.47	3.83	4.16	2.78	3.11	3.44	5.3	4.25	3.81	3.32	4.04	3.07	3.01	2.34	3.65	2.9	3.33	2.63	2.99	3.44	2.98	3.54	4.27	3.99	3.15	4.03	5.87	4.97	4.98	5.3	3.06	3.68
Root; d__Bacteria; p__Myxococcota_A	0.05	0.26	1.11	0.73	1.09	1.05	0.62	0.9	1.3	1.54	0.73	1.01	0.47	0.25	2.35	1.87	1.91	2.6	0.34	1.52	2.09	2.0	1.58	1.36	1.89	1.51	1.73	1.86	0.46	0.48	2.05	1.3	0.94	0.15	1.19	0.75	0.78	2.09	2.04	0.58	0.5	1.28	1.53	0.33	0.03	0.07	0.94	0.58	1.01	0.48	0.55	0.55	0.76	1.0	1.31	0.57	0.45	0.17
Root; d__Bacteria; p__Nitrospinota	0.01				0.02				0.01	0.01	0.0		0.0	0.0	0.02	0.01	0.01	0.01	0.0	0.01	0.02	0.02	0.01	0.0	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0		0.01	0.0						0.0	0.01				0.0
Root; d__Bacteria; p__Nitrospirota	0.12	0.91	1.03	1.32	1.15	1.3	1.34	1.12	1.71	1.36	1.03	1.27	0.92	1.35	1.3	1.27	1.13	1.14	0.43	0.85	1.5	2.27	1.11	1.37	0.79	1.01	0.68	0.35	1.19	0.7	1.16	0.89	0.71	0.29	1.41	0.77	0.87	0.83	0.88	0.34	0.51	0.99	0.81	0.45	0.1	0.5	0.46	0.87	0.56	0.52	0.39	0.51	0.58	0.95	0.9	0.48	0.43	0.54
Root; d__Bacteria; p__OLB16											0.0				0.01	0.0							0.0			0.01									0.02														0.0									
Root; d__Bacteria; p__Omnitrophota	0.02	0.13	0.05	0.09	0.07	0.11	0.06	0.08	0.11	0.08	0.18	0.12	0.04	0.11	0.13	0.25	0.26	0.13	0.08	0.13	0.23	0.39	0.08	0.15	0.09	0.13	0.13	0.11	0.12	0.03	0.06	0.04	0.08	0.03	0.64	0.13	0.05	0.11	0.12	0.09	0.11	0.08	0.13	0.06	0.03	0.13	0.03	0.1	0.09	0.04	0.07	0.06	0.06	0.1	0.25	0.08	0.03	0.05
Root; d__Bacteria; p__Patescibacteria	1.04	1.42	0.81	1.31	0.89	0.6	0.73	0.94	0.78	0.51	1.24	0.8	1.05	2.33	0.81	1.66	2.59	1.68	1.39	1.41	0.74	1.1	0.45	2.44	0.98	1.82	1.65	2.01	0.98	0.74	0.83	0.63	2.17	1.76	5.5	1.36	1.38	0.77	0.77	1.03	1.84	0.88	1.18	1.28	2.11	2.54	0.76	2.46	1.52	0.63	1.66	1.1	1.23	0.79	1.17	1.41	0.94	1.78
Root; d__Bacteria; p__Planctomycetota	5.86	4.38	7.35	5.83	6.6	6.74	7.72	6.83	7.01	9.56	7.11	7.9	5.71	3.85	8.24	6.26	6.36	6.85	6.51	7.31	8.92	7.98	10.18	5.41	9.18	7.75	7.15	6.38	6.92	4.49	7.02	6.45	6.5	5.46	7.2	7.49	5.68	9.53	9.46	7.17	7.06	7.73	8.49	6.12	4.82	4.43	6.11	5.41	6.24	4.49	5.14	6.0	7.4	7.2	6.97	5.03	6.17	4.6
Root; d__Bacteria; p__Poribacteria		0.01			0.01									0.0	0.01	0.01		0.01						0.0			0.0				0.0						0.01	0.01	0.01				0.01					0.01										
Root; d__Bacteria; p__Pseudomonadota	32.77	29.72	22.64	28.14	23.32	20.43	28.16	25.14	23.43	29.79	30.24	29.07	19.85	32.14	20.74	24.67	25.51	22.36	29.13	21.6	18.87	22.69	21.18	27.41	22.18	21.95	26.63	21.75	32.17	19.22	21.77	24.25	27.61	24.96	17.86	20.94	28.79	21.16	20.58	21.47	22.37	20.28	19.83	20.61	28.11	26.57	21.59	27.15	29.28	24.06	29.2	23.83	33.89	30.35	25.0	34.3	21.87	30.98
Root; d__Bacteria; p__SAR324																0.01	0.02					0.01													0.03				0.01																			
Root; d__Bacteria; p__Spirochaetota	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.03	0.06	0.02	0.01	0.02	0.03	0.04	0.03	0.02	0.02	0.03	0.02	0.02	0.05	0.01	0.03	0.01	0.08	0.01	0.08	0.01	0.02	0.03	0.02	0.01	0.01	0.02	0.04			0.02	0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01
Root; d__Bacteria; p__Sumerlaeota	0.02	0.04	0.03	0.05	0.02	0.02	0.04	0.03	0.04	0.05	0.05	0.07	0.04	0.04	0.02	0.04	0.06	0.03	0.03	0.03	0.03	0.04	0.06	0.03	0.05	0.05	0.04	0.03	0.06	0.01	0.05	0.01	0.11	0.05	0.27	0.01	0.02	0.04	0.03	0.02	0.03	0.02	0.04	0.02	0.04	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.05	0.05	0.03	0.04	0.02	0.02
Root; d__Bacteria; p__Synergistota		0.0									0.01		0.01		0.01	0.01		0.01			0.01	0.01	0.01	0.01		0.0	0.0					0.0					0.01	0.01	0.01				0.02				0.01	0.01							0.01			
Root; d__Bacteria; p__Tectomicrobia	0.15	0.03	0.16	0.06	0.4	0.2	0.15	0.13	0.17	0.11	0.09	0.16	0.37	0.04	0.41	0.27	0.26	0.27	0.27	0.3	0.29	0.38	0.18	0.1	0.46	0.07	0.08	0.15	0.03	0.21	0.31	0.3	0.13	0.28	0.05	0.24	0.28	0.41	0.4	0.17	0.23	0.2	0.64	0.22	0.01	0.02	0.1	0.09	0.07	0.08	0.06	0.04	0.06	0.07	0.12	0.02	0.11	0.03
Root; d__Bacteria; p__Thermosulfidibacterota					0.01																0.0														0.0		0.0						0.01	0.0			0.01											
Root; d__Bacteria; p__Thermotogota										0.01																																																
Root; d__Bacteria; p__UBA10199	0.03	0.03	0.11	0.04	0.05	0.18	0.13	0.03	0.23	0.13	0.05	0.28	0.03	0.01	0.21	0.04	0.04	0.07	0.01	0.03	0.11	0.13	0.11	0.02	0.08	0.03	0.03	0.02	0.02	0.01	0.07	0.07	0.02	0.01	0.05	0.06	0.02	0.05	0.04	0.01	0.01	0.05	0.04	0.01		0.01	0.04	0.04	0.02	0.14	0.02	0.01	0.04	0.06	0.1	0.08	0.05	0.01
Root; d__Bacteria; p__UBA8248																																																						0.0				
Root; d__Bacteria; p__UBP17	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.01		0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0		0.03	0.01	0.02	0.03	0.02		0.01		0.01	0.0	0.01		0.04		0.01	0.01	0.03	0.02	0.03	0.0	0.02	0.01	0.02	0.01	0.01	0.0	0.01	0.01	0.01		0.01	0.01	0.0	0.02	0.01
Root; d__Bacteria; p__Verrucomicrobiota	2.63	2.47	3.63	3.45	3.32	8.16	6.75	4.12	8.44	4.35	3.5	4.66	3.24	3.5	2.87	2.87	2.77	2.84	4.31	3.44	3.42	2.01	3.95	2.39	3.99	4.35	4.48	3.64	5.65	2.03	2.86	2.84	4.06	4.23	3.02	3.86	3.0	3.87	4.12	5.35	3.17	3.84	3.97	4.38	3.8	2.1	2.37	3.41	3.76	10.17	4.09	4.66	5.27	4.95	4.81	3.68	3.68	3.13
Root; d__Bacteria; p__WOR-3		0.01							0.01	0.01																0.01	0.01					0.01			0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01												0.01			
Root; d__Bacteria; p__Zixibacteria		0.01	0.01	0.0	0.01	0.02	0.0	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.05	0.09	0.08	0.06	0.01	0.02	0.03	0.13	0.05	0.16	0.03	0.04	0.05	0.05	0.01	0.01	0.03	0.02	0.02	0.01	0.13	0.02	0.03	0.05	0.05	0.01	0.01	0.03	0.04	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.01	0.02	0.0
unassigned	0.76	1.17	1.57	1.22	0.82	1.33	0.85	0.91	1.09	1.07	1.06	1.03	1.12	0.92	0.97	1.0	1.3	0.95	0.59	0.89	0.89	0.87	1.22	0.75	0.94	1.58	0.99	0.77	1.0	1.1	1.14	1.22	0.96	0.81	0.43	0.72	1.08	1.11	1.34	1.02	0.88	1.05	1.22	0.74	0.85	0.69	1.03	0.92	0.84	1.05	0.89	1.06	0.77	0.98	0.77	0.95	0.78	0.85
