taxonomy	cpsnj01	cpsnj02	cpsnj03	cpsnj04	cpsnj08	cpsnj09	cpsnj10	cpsnj11	cpsnj13	cpsnj14	cpsnj15	cpsnj16	cpsnj19	cpsnj20	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Archaea; p__Micrarchaeota	0.04	0.03	0.05	0.04	0.04	0.03	0.02	0.03	0.04	0.05	0.04	0.04	0.03	0.03	0.04	0.03	0.05	0.05	0.04	0.04	0.04	0.05	0.04	0.03	0.05	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.06	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.07	0.03	0.03	0.02	0.03	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.05	0.03	0.04	0.02
Root; d__Archaea; p__Nanoarchaeota	0.06	0.12	0.09	0.08	0.06	0.09	0.09	0.06	0.08	0.09	0.12	0.07	0.1	0.07	0.1	0.14	0.16	0.15	0.07	0.07	0.09	0.17	0.09	0.07	0.1	0.13	0.09	0.08	0.07	0.06	0.08	0.07	0.1	0.08	0.86	0.07	0.06	0.12	0.08	0.1	0.1	0.05	0.09	0.08	0.06	0.09	0.08	0.09	0.07	0.08	0.07	0.08	0.07	0.07	0.09	0.07	0.08	0.07
Root; d__Archaea; p__Nanohaloarchaeota																	0.01				0.01			0.01															0.01																			
Root; d__Archaea; p__SpSt-1190																																			0.01																							
Root; d__Archaea; p__Thermoplasmatota	0.04	0.16	0.11	0.14	0.05	0.08	0.05	0.05	0.06	0.06	0.14	0.04	0.08	0.19	0.13	0.05	0.06	0.14	0.03	0.19	0.26	0.21	0.08	0.22	0.11	0.25	0.37	0.36	0.07	0.1	0.06	0.04	0.05	0.03	0.18	0.23	0.04	0.23	0.23	0.21	0.09	0.22	0.15	0.12	0.03	0.16	0.04	0.14	0.09	0.04	0.05	0.05	0.05	0.05	0.16	0.06	0.07	0.07
Root; d__Archaea; p__Thermoproteota	0.33	1.4	0.82	1.13	2.33	0.72	0.43	1.34	0.57	0.37	0.86	1.46	1.42	0.77	1.92	0.82	0.9	1.34	2.62	2.45	2.28	2.9	1.11	1.22	2.16	0.85	0.66	0.69	2.19	1.79	3.05	3.3	0.83	0.95	1.32	2.14	1.11	1.9	2.4	1.28	1.76	2.29	5.0	1.96	0.4	1.33	1.11	1.26	0.95	0.58	0.66	0.84	0.73	0.42	0.89	0.37	1.49	1.3
Root; d__Bacteria; p__4484-113		0.02		0.01	0.01		0.01	0.02	0.0		0.03	0.01		0.04			0.01		0.01							0.04		0.0	0.01			0.01	0.03	0.03	0.03		0.01									0.06	0.01	0.02	0.01	0.01	0.03	0.02		0.01	0.03	0.05	0.02	0.02
Root; d__Bacteria; p__AABM5-125-24										0.01						0.01	0.01							0.01		0.0		0.01					0.0		0.18																				0.01			
Root; d__Bacteria; p__ARS69				0.01	0.01	0.03	0.01	0.02	0.02	0.04	0.01				0.2	0.05	0.05	0.16	0.02	0.11	0.06	0.21	0.11	0.01	0.11	0.09	0.13	0.05	0.02		0.15	0.05	0.03			0.05		0.15	0.1	0.01	0.02	0.08	0.06	0.01								0.01		0.02	0.03			
Root; d__Bacteria; p__Acidobacteriota	17.94	22.9	27.01	23.7	23.9	27.74	22.54	28.87	24.0	24.2	22.01	23.12	26.45	19.51	26.4	25.05	23.01	22.16	17.96	22.46	25.54	22.22	25.05	20.66	20.2	26.95	23.13	23.7	19.68	21.17	23.78	21.42	20.65	19.27	19.33	24.56	21.92	25.37	25.44	25.49	24.97	25.65	22.25	22.33	18.72	22.7	28.03	22.51	24.86	24.04	24.23	28.38	19.5	23.16	23.13	19.37	27.0	22.77
