BGC_region,Start,End,Length
c00137_SRR8543...region001,0,86920,86920
c00013_SRR7976...region001,0,86551,86551
c00031_SRR1227...region002,170141,256412,86271
c00035_SRR1095...region001,27401,113641,86240
c00044_S7rebin...region001,66276,152389,86113
c00110_SRR1167...region002,38510,124212,85702
c00338_SRR1234...region001,0,85367,85367
c00172_SRR1167...region002,111392,196488,85096
c00378_SRR1099...region001,0,85072,85072
c00188_SRR1167...region001,27878,112933,85055
c00039_S257bin...region002,232681,317513,84832
c00250_SRR8554...region001,0,84374,84374
c00199_SRR7101...region001,68751,152985,84234
c00053_SRR6185...region001,0,84198,84198
c00130_D4rbin....region001,0,84093,84093
c00026_SRR5260...region001,39742,123276,83534
c00060_SRR6474...region002,149857,233370,83513
c00088_SRR5215...region001,17147,100641,83494
c00042_SRR5437...region002,91320,174747,83427
c00077_SRR5582...region001,41522,124909,83387
c00057_S257bin...region001,31796,114988,83192
c00050_SRR6788...region001,149447,232275,82828
c00083_SRR9656...region001,11553,94363,82810
c00161_SRR1183...region001,0,82684,82684
c00057_SRR7026...region001,156006,238333,82327
c00053_SRR6185...region003,195812,278080,82268
c00075_SRR9650...region001,13782,95351,81569
c00016_neis65r...region001,0,81466,81466
c00058_SRR1235...region001,130489,211841,81352
c00095_SRR5855...region001,7824,88887,81063
c00043_SRR7629...region001,8298,89284,80986
c00058_SRR7011...region001,9469,90380,80911
c00080_SRR8881...region001,69715,150451,80736
c00016_SRR8879...region002,76910,157369,80459
c00074_S62rbin...region001,43,80225,80182
c00003_S234bin...region001,47249,127363,80114
c00016_SRR1179...region001,36020,116046,80026
c00142_SRR5823...region001,16144,95783,79639
c00017_SRR5855...region001,329,79950,79621
c00107_SRR7457...region001,21305,100626,79321
c00075_S279bin...region001,3685,82967,79282
c00057_SRR1295...region001,153152,232422,79270
c00051_S257bin...region001,135667,214749,79082
c00173_S252bin...region001,0,78765,78765
c00065_SRR7882...region001,4739,83416,78677
c00212_SRR1103...region001,0,78628,78628
c00081_S326bin...region001,43770,122298,78528
c00048_SRR1144...region001,231190,309250,78060
c00136_SRR5855...region001,0,78024,78024
c00157_SRR5209...region001,0,77963,77963
c00061_S262bin...region001,0,77499,77499
c00020_S384bin...region002,67037,144377,77340
c00235_S313bin...region001,0,77291,77291
c00136_SRR1234...region001,0,77262,77262
c00101_S7rebin...region001,0,77186,77186
c00143_S143bin...region001,6368,83533,77165
c00071_SRR6184...region001,23802,100908,77106
c00150_SRR3402...region001,0,76834,76834
c00045_SRR1146...region001,0,76826,76826
c00058_SRR6048...region001,0,76608,76608
c00063_SRR6185...region002,218591,295145,76554
c00355_SRR5195...region001,0,76392,76392
c00134_SRR1237...region001,0,76302,76302
c00212_SRR5195...region001,0,76001,76001
c00169_SRR7967...region001,0,75968,75968
c00076_S7rebin...region001,4414,80376,75962
c00083_SRR1237...region001,0,75917,75917
c00009_SRR1167...region002,99712,175544,75832
c00046_SRR1320...region001,54823,130537,75714
c00470_SRR3402...region002,53981,129640,75659
c00031_SRR1237...region001,1997,77501,75504
c00061_SRR1227...region001,0,75027,75027
c00794_SRR1037...region001,280,75244,74964
c00169_SRR6266...region001,1458,76158,74700
c00217_SRR5579...region001,13671,88189,74518
c00039_SRR8879...region001,9661,84106,74445
c00076_SRR5855...region002,76497,150693,74196
c00269_SRR6202...region001,0,74123,74123
c00130_S326bin...region001,55117,129124,74007
c00027_SRR1311...region001,14195,87941,73746
c00013_S408bin...region001,24789,98494,73705
c00199_S313bin...region001,52169,125851,73682
c00291_S252bin...region001,21475,95050,73575
c00012_SRR5581...region001,14060,87587,73527
c00027_SRR5855...region001,1,73043,73042
c00005_SRR7976...region002,521352,594226,72874
c00362_SRR6202...region001,18046,90851,72805
c00041_S56rbin...region001,54153,126857,72704
c00005_SRR7882...region001,0,72660,72660
c00080_SRR7026...region001,11776,84384,72608
c00201_SRR8558...region002,93739,166339,72600
c00006_SRR5579...region002,95791,168368,72577
c00558_SRR1069...region001,8085,80620,72535
c00029_SRR1095...region002,192529,265000,72471
c00043_S313bin...region001,0,72471,72471
c00109_S7rebin...region001,6760,79228,72468
c00008_SRR1320...region003,201025,273460,72435
c00093_SRR1183...region002,46971,119394,72423
c00085_SRR6476...region001,3553,75961,72408
c00301_SRR8558...region001,0,72399,72399
c00171_S400bin...region001,18258,90408,72150
c00123_SRR1265...region001,6946,78961,72015
c00067_S313bin...region001,19419,91323,71904
c00114_SRR1095...region001,0,71884,71884
c00072_SRR6185...region001,0,71653,71653
c00061_S7rebin...region002,61408,132781,71373
c00173_S313bin...region001,10927,82224,71297
c00066_SRR1237...region001,19258,90485,71227
c00152_SRR9650...region001,0,71188,71188
c00013_SRR1208...region001,320389,391326,70937
c00022_SRR7976...region002,222093,292950,70857
c00005_SRR5690...region001,14081,84738,70657
c00085_SRR5582...region001,0,70654,70654
c00022_S354bin...region001,0,70604,70604
c00125_SRR9009...region001,19812,90163,70351
c00053_SRR1955...region001,25864,96156,70292
c00068_SRR5579...region001,25654,95554,69900
c00140_S20rbin...region001,863,70721,69858
c00065_SRR6185...region001,147,69951,69804
c00121_SRR6184...region001,0,69657,69657
c00021_S5rebin...region001,37249,106791,69542
c00119_SRR5582...region001,0,69292,69292
c00028_SRR1237...region001,8275,77501,69226
c00255_zpcx_11...region001,0,69215,69215
c00075_SRR1171...region001,5072,74227,69155
c00150_S268bin...region001,20615,89663,69048
c00080_SRR6185...region001,170983,240008,69025
c00001_S333bin...region001,0,69020,69020
c00160_SRR9009...region002,81927,150853,68926
c00045_SRR7011...region002,302655,371515,68860
c00071_SRR8931...region001,5968,74693,68725
c00029_SRR1095...region001,61511,130226,68715
c00152_SRR6476...region001,5385,74079,68694
c00029_S329bin...region001,0,68582,68582
c00511_SRR1099...region001,7197,75691,68494
c00061_S257bin...region001,0,68303,68303
c00022_SRR5579...region001,29436,97732,68296
c00203_SRR7967...region001,0,68227,68227
c00058_SRR6185...region002,163567,231756,68189
c00043_SRR1037...region001,0,68097,68097
c00193_S276bin...region001,20557,88617,68060
c00018_S386bin...region001,44983,113008,68025
c00263_SRR6184...region002,42162,110130,67968
c00226_S313bin...region001,0,67921,67921
c00165_SRR5195...region001,28195,96089,67894
c00106_SRR1926...region002,62901,130769,67868
c00225_S326bin...region001,0,67755,67755
c00065_SRR9650...region001,0,67673,67673
c00241_SRR5581...region001,37059,104682,67623
c00421_zpcx_11...region001,84,67636,67552
c00291_SRR9009...region001,5265,72673,67408
c00014_S143bin...region001,221817,289070,67253
c00040_SRR1235...region001,51968,119113,67145
c00105_SRR3990...region001,66453,133579,67126
c00996_zpcx_11...region001,0,67103,67103
c00041_S264bin...region001,0,67068,67068
c00244_SRR1099...region001,0,67023,67023
c00022_SRR5581...region001,2353,69274,66921
c00144_S386bin...region003,309458,376376,66918
c00189_SRR5582...region001,0,66805,66805
c00009_SRR6474...region002,352092,418882,66790
c00200_SRR5882...region001,0,66781,66781
c00075_SRR5582...region001,15678,82367,66689
c00065_S313bin...region001,0,66682,66682
c00045_SRR1095...region001,18479,85160,66681
c00207_SRR5581...region001,0,66644,66644
c00010_SRR7098...region001,41790,108234,66444
c00349_SRR1037...region001,0,66250,66250
c00104_SRR6185...region001,0,66213,66213
c00810_SRR1036...region001,0,66164,66164
c00102_SRR1311...region001,49263,115309,66046
c00370_SRR5271...region001,0,66016,66016
c00169_SRR1234...region001,5436,71139,65703
c00492_SRR5195...region001,0,65669,65669
c00069_SRR7011...region001,0,65574,65574
c00364_SRR1586...region001,954,66513,65559
c00101_S276bin...region001,99177,164734,65557
c00240_SRR5582...region001,0,65385,65385
c00047_SRR8663...region001,54022,119393,65371
c00045_SRR7091...region001,9742,74796,65054
c00172_zpcx_18...region001,48564,113530,64966
c00059_SRR1161...region002,125149,190013,64864
c00954_SRR5195...region001,0,64829,64829
c00118_SRR7976...region001,19340,84055,64715
c00160_SRR5579...region001,0,64715,64715
c00028_SRR8544...region001,97604,162191,64587
c00151_neis65r...region001,199977,264535,64558
c00190_SRR9009...region001,0,64352,64352
c00008_SRR1234...region003,1303423,1367773,64350
c00040_SRR1217...region002,149357,213483,64126
c00623_zpcx_11...region001,0,64107,64107
c00359_SRR1234...region001,26311,90363,64052
c00073_S326bin...region001,0,63905,63905
c00037_S264bin...region001,28651,92442,63791
c00006_S313bin...region001,26331,90096,63765
c00027_SRR2059...region001,108977,172728,63751
c00026_SRR6202...region001,0,63590,63590
c00764_SRR7091...region001,0,63565,63565
c00227_SRR6266...region001,13191,76736,63545
c00091_S406bin...region001,0,63503,63503
c00010_SRR1103...region001,202803,266245,63442
c00065_SRR3984...region001,0,63407,63407
c01242_zpcx_11...region001,0,63389,63389
c01076_zpcx_11...region001,0,63277,63277
c00076_SRR1094...region001,0,63255,63255
c00083_S354bin...region001,0,63242,63242
c00210_SRR7976...region001,18307,81395,63088
c00191_SRR1234...region001,67367,130411,63044
c00053_SRR1095...region001,0,63016,63016
c00042_SRR5437...region001,0,62976,62976
c00016_S261bin...region001,33264,96194,62930
c00019_SRR5271...region001,0,62908,62908
c00013_SRR1269...region001,4755,67662,62907
c00315_DRR1014...region001,43142,106031,62889
c00081_SRR6184...region001,44276,107154,62878
c00242_S315bin...region001,0,62865,62865
c00157_S7rebin...region001,513,63372,62859
c00090_SRR1179...region001,0,62819,62819
c00072_SRR1237...region001,0,62778,62778
c00416_SRR1924...region001,0,62728,62728
c00111_SRR1036...region001,0,62647,62647
c00054_SRR7011...region002,221451,283912,62461
c00079_SRR7100...region001,153185,215460,62275
c00055_SRR6184...region001,71215,133478,62263
c00241_SRR8439...region001,26949,89207,62258
c00203_SRR7101...region001,0,62201,62201
c00008_SRR8554...region002,96759,158914,62155
c00136_SRR8500...region001,18893,80940,62047
c00028_SRR6267...region001,66103,128040,61937
c00032_S264bin...region001,55136,117066,61930
c00239_SRR3401...region001,0,61909,61909
c00165_S326bin...region001,0,61894,61894
c00047_SRR1128...region001,39972,101801,61829
c00015_SRR5579...region001,32211,94021,61810
c00457_SRR5582...region001,0,61809,61809
c00031_SRR6476...region001,23006,84791,61785
