BGC_region,Start,End,Length
c00075_SRR8435...region001,9511,35804,26293
c00287_SRR3712...region001,0,26293,26293
c00031_SRR7011...region001,0,26290,26290
c00044_SRR7098...region001,47644,73934,26290
c00216_SRR9009...region001,0,26290,26290
c00079_SRR6185...region002,113599,139886,26287
c00072_SRR9009...region001,0,26283,26283
c00202_SRR1167...region001,0,26283,26283
c00276_SRR1048...region001,0,26282,26282
c00347_S279bin...region001,0,26279,26279
c00128_SRR6048...region001,29279,55557,26278
c00219_SRR1292...region001,0,26276,26276
c00056_S264bin...region001,87045,113318,26273
c00044_SRR1292...region001,0,26272,26272
c00571_SRR7550...region001,0,26271,26271
c00039_SRR8676...region001,0,26269,26269
c00170_S315bin...region001,0,26267,26267
c00082_SRR8879...region001,0,26258,26258
c00014_SRR1167...region002,80972,107229,26257
c00149_SRR5271...region001,17777,44034,26257
c00134_SRR5262...region001,0,26255,26255
c00333_SRR5215...region001,9599,35854,26255
c00012_SRR5582...region001,0,26254,26254
c00359_SRR1284...region001,0,26254,26254
c00096_SRR5579...region001,0,26253,26253
c00019_SRR7094...region002,220823,247067,26244
c00157_SRR7629...region001,20927,47169,26242
c00259_SRR1036...region001,0,26238,26238
c00387_SRR7967...region001,23229,49467,26238
c00118_SRR1265...region001,1107,27340,26233
c00087_SRR1269...region001,0,26227,26227
c00092_S244bin...region001,40306,66533,26227
c00464_GM1bin....region001,2685,28912,26227
c00006_SRR7882...region001,15289,41515,26226
c00003_SRR6185...region001,0,26221,26221
c00190_S118bin...region001,4100,30321,26221
c00552_SRR1105...region001,0,26220,26220
c00584_SRR6152...region001,13907,40127,26220
c00202_S75rbin...region001,2673,28888,26215
c00123_SRR7004...region001,0,26213,26213
c00325_SRR9656...region001,45586,71796,26210
c00003_S226bin...region001,150580,176789,26209
c00132_SRR5208...region001,4834,31042,26208
c00049_SRR9009...region001,0,26207,26207
c00081_SRR1037...region001,0,26207,26207
c00340_SRR6193...region001,0,26207,26207
c00067_SRR1206...region001,5518,31718,26200
c00096_SRR1036...region001,0,26199,26199
c00944_SRR1167...region001,0,26199,26199
c00043_ERR4661...region001,14525,40723,26198
c00119_SRR6185...region001,0,26198,26198
c00035_S329bin...region001,4450,30647,26197
c00154_GM1bin....region001,4944,31141,26197
c00097_SRR8439...region001,0,26187,26187
c00252_SRR1183...region001,4889,31074,26185
c00084_SRR1157...region001,0,26184,26184
c00296_SRR6185...region001,0,26181,26181
c00461_SRR1161...region001,0,26181,26181
c00070_SRR6202...region001,0,26177,26177
c00004_S258bin...region001,5428,31602,26174
c00017_SRR6185...region002,617849,644022,26173
c00058_SRR7042...region001,0,26172,26172
c00182_SRR8879...region001,0,26172,26172
c00035_SRR1161...region001,0,26171,26171
c00073_SRR1161...region001,23497,49668,26171
c00169_SRR5450...region001,0,26168,26168
c00009_SRR1094...region001,2088,28255,26167
c00040_SRR5177...region001,49693,75860,26167
c00408_SRR1183...region001,15152,41318,26166
c00056_SRR5582...region001,27797,53962,26165
c00595_SRR8879...region001,0,26160,26160
c00040_SRR6184...region001,63218,89377,26159
c00095_S284bin...region001,0,26159,26159
c00264_S22rbin...region001,0,26159,26159
c00030_SRR1206...region001,37015,63171,26156
c01040_SRR1036...region001,0,26152,26152
c00028_SRR7448...region001,0,26151,26151
c00031_S191bin...region001,6919,33070,26151
c00181_SRR5195...region001,10635,36784,26149
c00068_S386bin...region001,37080,63228,26148
c00368_S264bin...region001,1974,28120,26146
c00031_ERR4660...region002,72722,98867,26145
c00361_SRR6958...region001,5534,31677,26143
c00042_SRR3990...region001,0,26142,26142
c00124_S325bin...region001,0,26142,26142
c00147_SRR5468...region001,32514,58655,26141
c00084_SRR6185...region001,98233,124373,26140
c00155_SRR3989...region001,0,26140,26140
c00306_SRR1265...region001,0,26138,26138
c00049_SRR9179...region001,0,26136,26136
c00128_S191bin...region001,10311,36442,26131
c00092_SRR7004...region001,13407,39537,26130
c00206_SRR5823...region001,3483,29612,26129
c00048_SRR1183...region001,0,26123,26123
c00387_SRR7100...region001,18101,44222,26121
c00004_SRR7042...region001,323156,349276,26120
c00202_SRR7093...region001,5949,32064,26115
c00146_S264bin...region001,0,26114,26114
c00125_SRR5918...region001,43380,69491,26111
c00065_SRR5680...region001,42013,68123,26110
c00217_S21rbin...region001,16312,42421,26109
c00184_SRR7094...region001,9931,36038,26107
c00271_SRR6476...region001,21644,47745,26101
c00070_zpcx_11...region001,0,26100,26100
c00250_SRR1234...region001,59216,85313,26097
c00147_SRR6831...region001,5399,31491,26092
c00184_S268bin...region001,60817,86908,26091
c00047_SRR3546...region001,31778,57868,26090
c00004_SRR1164...region001,189007,215095,26088
c00057_SRR9009...region001,0,26087,26087
c00606_SRR1146...region001,1301,27384,26083
c00073_SRR7042...region001,0,26081,26081
c00005_S118bin...region001,12925,39003,26078
c00019_SRR1182...region001,23043,49120,26077
c00127_zpcx_26...region001,12045,38121,26076
c00024_SRR7629...region001,98209,124284,26075
c00110_SRR5579...region001,85193,111268,26075
c00277_ERR4661...region001,8894,34969,26075
c00050_SRR5690...region001,6925,32996,26071
c00127_S211bin...region001,9779,35850,26071
c00159_SRR1184...region001,9839,35910,26071
c00084_SRR5680...region001,31461,57531,26070
c00038_SRR9179...region001,0,26067,26067
c00034_SRR5690...region001,59721,85786,26065
c00185_SRR5215...region001,0,26061,26061
c00628_SRR7497...region001,0,26061,26061
c00629_SRR9032...region001,5883,31941,26058
c00135_SRR1174...region001,19872,45927,26055
c00091_SRR8676...region001,10484,36538,26054
c00052_S25rbin...region001,5227,31280,26053
c00087_SRR6202...region001,0,26052,26052
c00253_SRR1174...region001,28824,54876,26052
c00387_SRR5690...region001,0,26051,26051
c00285_SRR6184...region001,0,26049,26049
c00067_SRR1311...region001,0,26048,26048
c00026_SRR5195...region002,19811,45854,26043
c00116_SRR1280...region001,0,26042,26042
c00028_SRR7026...region001,4741,30782,26041
c00076_Cjian1_...region001,0,26041,26041
c00031_SRR5271...region001,0,26039,26039
c00037_SRR1174...region001,29062,55099,26037
c00083_SRR6508...region001,166254,192290,26036
c00094_S56rbin...region001,20909,46944,26035
c00137_SRR6958...region001,42308,68343,26035
c00022_SRR5207...region001,0,26034,26034
c00454_SRR5823...region001,0,26033,26033
c00099_SRR1157...region001,10937,36969,26032
c00210_SRR9009...region001,0,26024,26024
c00177_SRR3401...region001,44585,70607,26022
c00446_S75rbin...region001,7504,33523,26019
c00369_S412bin...region001,0,26017,26017
c00099_SRR1206...region001,39174,65185,26011
c00057_SRR1171...region001,35952,61961,26009
c00342_SRR1183...region001,0,26009,26009
c00372_SRR7015...region001,0,26006,26006
c00372_SRR5195...region001,13154,39158,26004
c00154_SRR1146...region001,16808,42810,26002
c00010_SRR5678...region001,0,26000,26000
c00013_SRR7004...region002,169982,195982,26000
c00018_SRR4027...region001,4149,30148,25999
c00050_SRR7100...region001,46286,72285,25999
c00223_ERR4661...region001,0,25999,25999
c00420_SRR5437...region001,0,25999,25999
c00303_SRR1048...region001,1566,27563,25997
c00163_S32rbin...region001,32575,58568,25993
c00035_SRR1095...region003,82998,108990,25992
c00225_SRR9009...region001,6654,32646,25992
c00047_S120bin...region001,23123,49114,25991
c00346_SRR1265...region001,6552,32542,25990
c00091_SRR1227...region001,0,25988,25988
c00012_SRR1277...region001,134495,160481,25986
c00003_SRR1171...region001,44881,70866,25985
c00006_SRR6516...region001,0,25985,25985
c00023_S211bin...region001,29604,55589,25985
c00016_S226bin...region001,0,25981,25981
c00081_SRR9656...region001,0,25976,25976
c00008_SRR1183...region002,90381,116355,25974
c00008_zpcx_33...region001,19292,45265,25973
c00533_SRR8879...region001,0,25969,25969
c00115_S75rbin...region001,0,25966,25966
c00048_S400bin...region001,28489,54453,25964
c00017_S244bin...region001,24613,50575,25962
c00029_SRR1096...region001,5870,31832,25962
c00166_SRR6474...region001,50840,76799,25959
c00040_S62rbin...region002,320986,346944,25958
c00076_SRR1128...region001,0,25958,25958
c00192_SRR1174...region001,0,25953,25953
c00114_SRR8881...region001,11554,37506,25952
c00163_D3rbin....region001,0,25950,25950
c00151_SRR1161...region001,0,25946,25946
c00287_SRR8554...region001,0,25946,25946
c00151_S179bin...region001,0,25937,25937
c00182_SRR5579...region001,45433,71370,25937
c00278_zpcx_11...region001,0,25937,25937
c00420_SRR5195...region001,0,25935,25935
c00036_SRR7011...region001,0,25934,25934
c00019_SRR1058...region002,41158,67085,25927
c00197_S313bin...region001,8365,34290,25925
c00108_SRR7004...region001,18562,44485,25923
c00003_SRR5579...region001,396350,422270,25920
c00348_SRR1214...region001,6227,32145,25918
c00467_SRR5579...region001,0,25918,25918
c00033_SRR6683...region001,33995,59910,25915
c00066_SRR1284...region001,0,25914,25914
c00199_SRR1269...region001,0,25914,25914
c00082_SRR1234...region001,0,25907,25907
c00179_SRR1284...region001,0,25907,25907
c00329_SRR1174...region001,0,25905,25905
c00031_SRR1096...region001,330663,356562,25899
c00058_R23rbin...region001,0,25896,25896
c00129_SRR9082...region001,8074,33969,25895
c00214_SRR5450...region001,0,25895,25895
c00045_SRR5234...region001,13116,39010,25894
c00216_SRR1171...region001,0,25894,25894
c00667_SRR5195...region001,0,25893,25893
c00242_SRR6266...region001,0,25890,25890
c00031_SRR5579...region003,190648,216532,25884
c00357_neis43r...region001,35968,61849,25881
c00165_SRR1268...region001,0,25876,25876
c00103_SRR1036...region001,6670,32543,25873
c00376_SRR7468...region001,37156,63029,25873
c00123_SRR3712...region001,23677,49549,25872
c00163_SRR8879...region001,0,25871,25871
c00310_SRR1227...region001,24883,50752,25869
c00043_SRR6202...region001,6942,32810,25868
c00055_SRR1217...region001,55374,81241,25867
c00909_S75rbin...region001,50823,76689,25866
c00021_SRR6185...region002,121364,147227,25863
c00357_S140bin...region001,0,25861,25861
c00105_S75rbin...region001,0,25856,25856
c00041_S127bin...region001,0,25854,25854
c00183_SRR6195...region001,4668,30522,25854
c00090_SRR5690...region001,18441,44293,25852
c00331_SRR1174...region001,0,25852,25852
c00008_S178bin...region001,0,25851,25851
c00066_SRR5177...region001,116709,142560,25851
c00474_SRR8879...region001,15489,41339,25850
c00064_SRR7094...region001,0,25849,25849
c00037_SRR5262...region001,35620,61467,25847
c00193_S383bin...region001,0,25847,25847
c00124_SRR9694...region001,0,25844,25844
c00135_S75rbin...region001,0,25840,25840
c00126_SRR7093...region001,3807,29646,25839
c00384_SRR8863...region001,0,25839,25839
c00106_SRR1036...region001,55474,81307,25833
c00084_SRR1269...region001,0,25832,25832
c00170_SRR1012...region001,20027,45859,25832
c00059_S277bin...region001,0,25827,25827
c00013_SRR6152...region001,64799,90625,25826
c00030_SRR1099...region001,14788,40611,25823
c00095_SRR8500...region001,0,25822,25822
c00135_SRR6474...region001,9076,34897,25821
c00096_SRR1237...region002,89492,115312,25820
c00005_zpcx_32...region001,23295,49114,25819
c00174_SRR1174...region001,0,25816,25816
c00078_SRR1128...region001,0,25814,25814
c00132_SRR5823...region001,0,25813,25813
c00084_SRR9694...region001,0,25810,25810
c00196_SRR1146...region001,61000,86808,25808
c00309_SRR6517...region001,0,25804,25804
c00017_SRR1179...region002,167542,193343,25801
c00180_SRR5437...region001,0,25801,25801
c00025_S329bin...region001,11521,37320,25799
c00250_R125bin...region001,0,25799,25799
c00420_SRR1291...region001,6403,32202,25799
c00174_S402bin...region001,0,25797,25797
c00046_S21rbin...region001,0,25795,25795
c00896_SRR1924...region001,0,25795,25795
c00355_SRR5581...region001,14181,39974,25793
c00230_SRR7026...region001,12651,38443,25792
c00013_S113bin...region001,16247,42036,25789
c00180_SRR6478...region001,0,25788,25788
c00031_S182bin...region001,0,25781,25781
c00080_S387bin...region001,572,26352,25780
c00547_SRR7457...region001,0,25780,25780
c00041_SRR8879...region001,133383,159161,25778
c00023_SRR5877...region003,817905,843682,25777
c00042_SRR5699...region001,0,25769,25769
c00301_SRR3985...region001,5442,31211,25769
c00288_SRR1269...region001,0,25768,25768
c00054_SRR1214...region001,0,25766,25766
c00769_SRR1167...region001,0,25766,25766
c00021_R98rbin...region001,36842,62607,25765
c00646_SRR5855...region001,0,25763,25763
c00099_GM1bin....region001,0,25760,25760
c00117_SRR5262...region001,23384,49144,25760
c00509_SRR8554...region001,0,25760,25760
c00274_SRR7967...region001,0,25758,25758
c00530_SRR5215...region001,0,25758,25758
c00201_SRR8881...region002,47570,73327,25757
c00130_Z5W_BDM...region001,5582,31337,25755
c00014_SRR5258...region001,0,25752,25752
c00087_SRR5258...region001,0,25750,25750
c00103_SRR1183...region001,1340,27090,25750
c00039_SRR1265...region001,46388,72134,25746
c00069_SRR3712...region001,0,25746,25746
c00034_SRR1183...region002,39630,65375,25745
c00163_SRR1267...region001,848,26589,25741
c00003_SRR6193...region001,187,25926,25739
c00128_SRR7011...region001,0,25739,25739
c00114_SRR5699...region001,0,25738,25738
c00052_SRR8554...region001,12597,38334,25737
c00018_SRR1096...region001,30525,56261,25736
c00067_S312bin...region001,0,25735,25735
c00134_SRR5579...region001,0,25731,25731
c00225_SRR7102...region001,0,25731,25731
c00113_SRR6476...region001,0,25726,25726
c00523_SRR1291...region001,0,25726,25726
c00077_SRR8863...region001,160997,186722,25725
c00039_S180bin...region001,0,25723,25723
c00043_SRR5855...region001,63211,88928,25717
c00018_SRR7686...region001,66426,92141,25715
c00048_S191bin...region001,22604,48319,25715
c00161_SRR8881...region001,0,25715,25715
c00178_SRR6266...region001,5978,31693,25715
c00014_SRR1157...region001,162211,187925,25714
c00081_S366bin...region001,49933,75647,25714
c00219_SRR5579...region001,0,25713,25713
c00167_SRR7096...region001,0,25711,25711
c00230_SRR6476...region001,63268,88979,25711
c00148_SRR8558...region001,47937,73647,25710
c00106_SRR5581...region001,6707,32410,25703
c00137_SRR1275...region001,0,25703,25703
c00032_SRR5208...region001,77232,102934,25702
c00375_SRR5271...region001,0,25700,25700
c00087_SRR9648...region001,27825,53522,25697
c00301_S400bin...region001,0,25695,25695
c00588_SRR1265...region001,0,25695,25695
c00059_GM1bin....region001,0,25692,25692
c00002_SRR1183...region001,142624,168315,25691
c00484_S225bin...region001,0,25688,25688
c00019_SRR6683...region001,45130,70817,25687
c00164_SRR5581...region001,0,25686,25686
c00570_SRR5215...region001,0,25685,25685
c00324_S75rbin...region001,43893,69575,25682
c00009_SRR1174...region001,0,25680,25680
c00005_S62rbin...region001,356063,381740,25677
c00133_SRR7882...region001,0,25675,25675
c00307_SRR8676...region001,0,25671,25671
c00393_SRR1284...region001,6472,32141,25669
c00019_SRR1183...region002,291935,317603,25668
c00092_SRR8879...region001,0,25667,25667
c00746_SRR1095...region001,0,25666,25666
c00128_SRR9656...region001,0,25665,25665
c00278_Cxia5_B...region001,0,25663,25663
c00340_S326bin...region001,0,25661,25661
c00019_SRR6195...region001,0,25658,25658
c00050_SRR1058...region001,62130,87787,25657
c00610_S75rbin...region001,27915,53570,25655
c00068_SRR7497...region001,0,25654,25654
c00036_SRR6193...region001,10804,36453,25649
c00516_S75rbin...region001,0,25648,25648
c00047_SRR9691...region001,0,25646,25646
c00105_S335bin...region001,0,25644,25644
c00059_SRR7094...region001,0,25638,25638
c00077_SRR1185...region001,0,25637,25637
c00072_SRR1227...region001,27478,53112,25634
c00238_SRR5153...region001,0,25627,25627
c00026_SRR3712...region001,33837,59461,25624
c00042_ERR4661...region001,0,25622,25622
c00170_Z1jian_...region001,0,25622,25622
c00038_SRR3401...region001,0,25620,25620
c00321_SRR8881...region001,0,25620,25620
c00688_SRR5195...region001,0,25619,25619
c00039_SRR5699...region001,25019,50637,25618
c00180_zpcx_33...region001,5601,31218,25617
c00245_SRR8879...region001,23295,48909,25614
c00129_SRR7093...region001,2239,27852,25613
c00153_SRR1094...region001,0,25609,25609
c00281_S120bin...region001,32736,58345,25609
c00106_SRR5680...region001,0,25606,25606
c00381_SRR1269...region001,62780,88386,25606
c00039_SRR1094...region001,0,25602,25602
c00163_SRR1048...region001,0,25601,25601
c00743_SRR8536...region001,0,25601,25601
c00660_S238bin...region001,0,25596,25596
c00235_SRR5882...region001,4400,29994,25594
c00312_SRR5690...region001,3642,29235,25593
c00079_SRR6202...region001,0,25591,25591
c00107_ERR1051...region001,0,25591,25591
c00202_SRR6185...region001,0,25589,25589
c00151_SRR1182...region001,0,25584,25584
c00141_zpcx_7r...region001,0,25583,25583
c00407_SRR1171...region001,0,25583,25583
c00132_SRR8556...region001,0,25582,25582
c00083_SRR7003...region002,49502,75081,25579
c00103_SRR9650...region001,20785,46364,25579
c00474_SRR8439...region001,0,25579,25579
c00061_SRR1099...region001,16977,42553,25576
c00014_S309bin...region001,0,25573,25573
c00175_SRR1105...region001,0,25573,25573
c00154_SRR1161...region001,0,25571,25571
c00021_SRR1094...region002,112952,138522,25570
c00102_SRR9691...region001,5647,31217,25570
c00485_SRR5665...region001,0,25570,25570
c00280_SRR8543...region001,0,25569,25569
c00010_SRR8663...region001,17549,43117,25568
c00503_SRR1265...region001,0,25564,25564
c00933_SRR7448...region001,0,25564,25564
c00058_SRR5823...region001,0,25563,25563
c00057_SRR1217...region001,9258,34820,25562
c00079_SRR1234...region002,169328,194889,25561
c00014_S75rbin...region001,0,25560,25560
c00383_SRR8881...region001,0,25560,25560
c00015_S270bin...region001,89815,115374,25559
c00069_SRR7010...region001,0,25558,25558
c00279_SRR9032...region001,0,25557,25557
c00269_SRR1269...region001,4008,29563,25555
c00043_S191bin...region001,69396,94949,25553
c00156_SRR5579...region001,0,25553,25553
c00080_SRR5208...region001,0,25551,25551
c00061_SRR6517...region001,22481,48030,25549
c01451_SRR8558...region001,0,25548,25548
c00001_SRR3990...region001,4291,29836,25545
c00178_SRR7965...region001,18009,43554,25545
c00075_SRR1184...region001,0,25542,25542
c00019_S344bin...region001,73580,99121,25541
c00118_SRR1174...region001,0,25536,25536
c00117_SRR6201...region001,0,25535,25535
c00256_SRR7004...region001,0,25533,25533
c00248_S351bin...region001,422,25953,25531
c00128_SRR6831...region001,0,25530,25530
c00167_SRR8881...region001,0,25528,25528
c00880_SRR7448...region001,0,25528,25528
c00009_SRR7093...region001,0,25526,25526
c00389_S400bin...region001,15915,41438,25523
c00132_SRR1036...region001,0,25521,25521
c00195_S5rebin...region001,0,25519,25519
c00256_S384bin...region001,0,25519,25519
c00064_SRR1320...region001,0,25518,25518
c00479_SRR5882...region001,0,25514,25514
c00265_S400bin...region001,5680,31192,25512
c00375_SRR1183...region001,0,25512,25512
c00076_D3rbin....region001,227013,252520,25507
c00048_SRR5855...region001,0,25506,25506
c00164_SRR5882...region001,0,25506,25506
c00190_SRR1184...region001,0,25504,25504
c00281_SRR5210...region001,0,25504,25504
c00012_zpcx_33...region001,9428,34927,25499
c00091_SRR2059...region001,22675,48174,25499
c00118_SRR5581...region001,0,25499,25499
c00063_S113bin...region001,801,26298,25497
c00165_SRR7026...region001,0,25490,25490
c00472_S75rbin...region001,0,25490,25490
c00015_SRR8554...region001,2156,27645,25489
c00053_SRR8931...region001,0,25487,25487
c00240_D2rbin....region001,0,25483,25483
c00002_SRR4027...region001,22691,48173,25482
c00178_SRR8556...region001,12976,38458,25482
c00345_S379bin...region001,0,25480,25480
c00056_SRR1277...region001,0,25477,25477
c00609_SRR1183...region001,23895,49365,25470
c00017_SRR3747...region001,0,25469,25469
c00017_SRR7102...region001,0,25461,25461
c00476_SRR9691...region001,2584,28041,25457
c00357_S379bin...region001,0,25456,25456
c00324_SRR5690...region001,0,25455,25455
c00035_S366bin...region001,0,25454,25454
c00158_SRR1167...region001,0,25452,25452
c00017_SRR5855...region002,127621,153070,25449
c00049_SRR6788...region001,10236,35684,25448
c00386_SRR1183...region001,0,25445,25445
c00011_S335bin...region001,19930,45371,25441
c00440_SRR8881...region001,178,25618,25440
c00446_SRR6266...region001,7109,32548,25439
c00147_SRR1234...region001,14815,40252,25437
c00052_SRR1924...region001,4071,29501,25430
c00015_SRR5855...region001,0,25429,25429
c00027_SRR3990...region001,0,25429,25429
c00004_SRR7096...region001,0,25426,25426
c00106_S324bin...region001,0,25426,25426
c00146_SRR1586...region001,53340,78765,25425
c00299_SRR1105...region001,0,25422,25422
c00002_SRR7101...region001,0,25419,25419
c00067_S175bin...region001,4084,29503,25419
c00102_SRR6202...region001,0,25418,25418
c00209_SRR3989...region001,2577,27995,25418
c00547_SRR5215...region001,0,25418,25418
c00014_SRR3985...region002,173507,198923,25416
c00017_S29rbin...region001,4129,29538,25409
c00241_SRR8500...region001,571,25980,25409
c00149_S246bin...region001,19223,44630,25407
c00167_SRR5823...region001,0,25400,25400
c00463_S20rbin...region001,4799,30199,25400
c00134_SRR9597...region001,2669,28066,25397
c00127_SRR8879...region001,0,25393,25393
c00007_S32rbin...region001,0,25392,25392
c00175_S118bin...region001,31085,56474,25389
c00097_SRR1267...region001,0,25384,25384
c00239_SRR7141...region001,0,25384,25384
c00197_SRR1586...region001,0,25383,25383
c00268_SRR9656...region001,0,25380,25380
c00345_SRR6185...region001,6067,31447,25380
c00076_SRR3969...region001,0,25376,25376
c00204_SRR9009...region001,0,25375,25375
c00044_SRR6048...region001,27736,53110,25374
c00027_S257bin...region001,114328,139701,25373
c00174_SRR1926...region001,0,25372,25372
c00018_SRR5437...region001,22399,47769,25370
c00120_SRR8543...region001,0,25364,25364
c00517_SRR1105...region001,0,25362,25362
c00061_SRR8439...region001,0,25360,25360
c00032_SRR1058...region001,23774,49130,25356
c00340_S125bin...region001,0,25356,25356
c00223_SRR5195...region001,0,25353,25353
c00031_S25rbin...region001,0,25352,25352
c00216_SRR2901...region001,0,25348,25348
c00213_SRR1179...region001,0,25344,25344
c00157_SRR9650...region001,26881,52221,25340
c00477_Z2tu_BD...region001,0,25337,25337
c00371_SRR1183...region001,0,25336,25336
c00682_SRR3985...region001,6965,32301,25336
c00166_SRR5680...region001,13210,38543,25333
c00021_SRR7882...region001,0,25325,25325
c00304_SRR6181...region001,0,25324,25324
c00204_SRR1037...region001,27514,52835,25321
c00190_SRR6202...region001,0,25318,25318
c00390_SRR8558...region001,9783,35101,25318
c00013_SRR6831...region001,0,25315,25315
c00148_SRR6831...region001,14269,39583,25314
c00395_S258bin...region001,0,25313,25313
c00082_S326bin...region001,53186,78497,25311
c00218_SRR1275...region001,0,25310,25310
c00155_SRR1094...region001,0,25307,25307
c00116_SRR1146...region001,66446,91750,25304
c00123_SRR6185...region001,0,25300,25300
c00080_SRR5209...region001,0,25295,25295
c00010_S5rebin...region001,23195,48488,25293
c00140_S276bin...region001,111915,137207,25292
c00303_SRR6788...region001,0,25292,25292
c00516_SRR3401...region001,1007,26296,25289
c00008_SRR1265...region001,18706,43993,25287
c00013_SRR1146...region001,18231,43517,25286
c00304_SRR9691...region001,0,25286,25286
c00098_SRR5581...region001,0,25283,25283
c00007_SRR7091...region001,229794,255075,25281
c00068_SRR1217...region001,0,25274,25274
c00321_S256bin...region001,9112,34382,25270
c00279_SRR1182...region001,0,25265,25265
c00270_SRR1955...region001,0,25264,25264
c00288_S330bin...region001,2216,27477,25261
c00466_SRR6266...region001,0,25259,25259
c00009_SRR1208...region001,533399,558653,25254
c00031_SRR1184...region001,65413,90666,25253
c00500_SRR1183...region001,0,25253,25253
c00169_SRR1094...region001,22208,47457,25249
c00007_SRR1926...region001,103210,128458,25248
c00040_SRR1234...region001,6055,31303,25248
c00048_S127bin...region001,0,25241,25241
c00087_SRR1214...region001,0,25240,25240
c00114_SRR8558...region001,0,25239,25239
c00378_SRR6202...region001,18988,44227,25239
c00464_SRR1161...region001,7543,32782,25239
c00031_SRR1144...region001,0,25238,25238
c00103_SRR9179...region001,0,25238,25238
c00006_S268bin...region001,44388,69625,25237
c00051_SRR5699...region001,0,25237,25237
c00011_SRR5665...region001,43369,68603,25234
c00115_SRR1924...region001,0,25230,25230
c00020_SRR4030...region001,10454,35681,25227
c00427_S42rbin...region001,0,25226,25226
c00092_SRR5439...region001,0,25224,25224
c00035_S309bin...region001,0,25220,25220
c00090_SRR1174...region001,37713,62932,25219
c00107_SRR6195...region001,723,25939,25216
c00251_SRR7448...region001,0,25215,25215
c00267_SRR5581...region001,0,25215,25215
c00033_SRR8440...region001,320957,346171,25214
c00036_zpcx_23...region001,32744,57957,25213
c00093_SRR1162...region001,0,25211,25211
c00696_SRR5665...region001,0,25211,25211
c00016_SRR6195...region001,0,25209,25209
c00033_SRR5271...region001,0,25209,25209
c00023_SRR1163...region001,128493,153701,25208
c00067_S32rbin...region001,0,25208,25208
c00264_SRR5195...region001,0,25207,25207
c00042_SRR3989...region002,617547,642753,25206
c00264_SRR6788...region001,0,25206,25206
c00106_SRR9009...region001,13585,38790,25205
c00452_SRR6266...region001,3911,29116,25205
c00023_SRR1311...region001,381780,406983,25203
c00089_SRR5468...region001,0,25203,25203
c00173_SRR3990...region001,9993,35192,25199
c00046_SRR1206...region001,0,25194,25194
c00090_S25rbin...region001,49116,74309,25193
c00801_SRR9009...region001,1727,26915,25188
c00291_SRR5262...region001,0,25186,25186
c00015_SRR1291...region001,0,25185,25185
c00099_SRR1037...region001,16756,41932,25176
c00398_S264bin...region001,0,25176,25176
c00038_SRR1237...region001,952,26126,25174
c00326_SRR9691...region001,0,25173,25173
c00035_SRR5882...region002,86808,111979,25171
c00221_S69rbin...region001,0,25169,25169
c00010_SRR7976...region001,30046,55213,25167
c00038_SRR1206...region002,261254,286421,25167
c00473_SRR5916...region001,0,25165,25165
c00177_SRR7976...region001,0,25164,25164
c01106_SRR1015...region001,0,25162,25162
c00042_SRR1127...region001,0,25159,25159
c00403_SRR7102...region001,0,25159,25159
c00053_SRR5690...region001,0,25156,25156
c00150_S118bin...region001,0,25156,25156
c00023_D6rbin....region001,0,25154,25154
c00097_SRR1235...region001,0,25154,25154
c00009_SRR8443...region001,88922,114072,25150
c00159_zpcx_16...region001,39500,64640,25140
c00009_SRR8879...region001,9623,34760,25137
c00300_S5rebin...region001,0,25135,25135
c00024_SRR5579...region002,362020,387151,25131
c00149_SRR1183...region001,0,25131,25131
c00123_S120bin...region001,2177,27305,25128
c00062_SRR8553...region001,0,25126,25126
c00866_innerS9...region001,0,25125,25125
c00459_SRR8881...region001,43595,68717,25122
c00002_SRR6195...region001,17649,42770,25121
c00385_SRR5916...region001,0,25121,25121
c00101_SRR1311...region001,0,25119,25119
c00188_SRR1094...region001,6967,32086,25119
c00075_SRR1095...region001,0,25118,25118
c00052_GM1bin....region001,0,25117,25117
c00141_SRR1095...region001,0,25114,25114
c00016_S246bin...region001,0,25111,25111
c00094_SRR1127...region001,0,25110,25110
c00024_SRR1183...region002,159633,184739,25106
c00107_SRR1311...region001,61801,86906,25105
c00223_S118bin...region001,0,25104,25104
c00026_SRR1157...region001,0,25102,25102
c00001_SRR8440...region001,65341,90441,25100
c00154_SRR5195...region001,4751,29849,25098
c00291_SRR1265...region001,0,25098,25098
c00013_SRR7094...region001,53058,78153,25095
c00047_SRR8090...region001,6063,31158,25095
c00162_SRR1096...region001,0,25094,25094
c00276_SRR5916...region001,0,25090,25090
c00190_SRR6476...region001,31527,56615,25088
c00065_SRR8442...region001,36278,61364,25086
c00155_SRR1269...region001,0,25081,25081
c00215_SRR1099...region001,0,25081,25081
c00024_SRR8676...region001,426417,451497,25080
c00028_SRR8442...region001,472283,497363,25080
c01228_SRR7101...region001,0,25079,25079
c00078_SRR5855...region001,5106,30184,25078
c00216_SRR1048...region001,0,25078,25078
c00364_SRR5582...region001,0,25076,25076
c00145_SRR3989...region001,0,25075,25075
c00200_SRR1586...region001,15030,40104,25074
c00210_SRR7101...region001,51035,76107,25072
c00562_SRR6201...region001,0,25070,25070
c00041_S315bin...region001,0,25067,25067
c00098_SRR6474...region001,0,25064,25064
c00241_SRR8881...region001,17218,42281,25063
c00211_S69rbin...region001,0,25062,25062
c00376_SRR5195...region001,21978,47040,25062
