Supplementary Data 1. Detailed information about the soil metagenomes used to reconstruct metagenome-assembled genomes(MAGs).  ,,,,,,,,,,,,,
Sample,user_genome,mag_num,Project,Source,Nation,Continent,Ecosystem,Paired_seqs,Lat,Lon,Bioproject,Biosample,Depth
SRR11730653,SRR11730653bin,1,SRA,Public Data,"USA: West Virginia, United States",North America,Agricultural Land,119333056,39.66,-79.91,PRJNA621355,SAMN14510197,Not applicable
SRR11730654,SRR11730654bin,4,SRA,Public Data,Spain,North America,Agricultural Land,151715954,39.66,-2.21,PRJNA621356,SAMN14510417,Not applicable
SRR11731553,SRR11731553bin,6,SRA,Public Data,France,North America,Agricultural Land,120321354,46.11,-2.21,PRJNA621359,SAMN14510195,Not applicable
SRR11731554,SRR11731554bin,4,SRA,Public Data,France,North America,Agricultural Land,92915726,46.11,-2.21,PRJNA621357,SAMN14510498,Not applicable
SRR11731666,SRR11731666bin,40,SRA,Public Data,France,North America,Grassland,118982956,46.11,-2.21,PRJNA621358,SAMN14510471,Not applicable
SRR11742809,SRR11742809bin,40,SRA,Public Data,United States,North America,Agricultural Land,90556846,41.1677,-96.4108,PRJNA620778,SAMN14510918,Not applicable
SRR11742812,SRR11742812bin,40,SRA,Public Data,United States,North America,Agricultural Land,49173944,41.1677,-96.4108,PRJNA620779,SAMN14510873,Not applicable
SRR11742948,SRR11742948bin,72,SRA,Public Data,United States,North America,Agricultural Land,166371082,41.1677,-96.4108,PRJNA620780,SAMN14510730,Not applicable
SRR11742949,SRR11742949bin,35,SRA,Public Data,United States,North America,Agricultural Land,2996078,41.1681,-96.4109,PRJNA620782,SAMN14510912,Not applicable
SRR11742962,SRR11742962bin,97,SRA,Public Data,United States,North America,Agricultural Land,94152832,41.1677,-96.4108,PRJNA620781,SAMN14510969,Not applicable
SRR11743025,SRR11743025bin,62,SRA,Public Data,United States,North America,Agricultural Land,54207192,41.1681,-96.4109,PRJNA620784,SAMN14510884,Not applicable
SRR11743028,SRR11743028bin,46,SRA,Public Data,United States,North America,Agricultural Land,110446782,41.1681,-96.4109,PRJNA620783,SAMN14510895,Not applicable
SRR11743100,SRR11743100bin,63,SRA,Public Data,United States,North America,Agricultural Land,35818440,41.1681,-96.4109,PRJNA620785,SAMN14511060,Not applicable
SRR11823711,SRR11823711bin,3,SRA,Public Data,China,Asia,Agricultural Land,55407264,44.18,86.02,PRJNA634262,SAMN14987866,Not applicable
SRR11823712,SRR11823712bin,6,SRA,Public Data,China,Asia,Agricultural Land,65695054,44.18,86.02,PRJNA634262,SAMN14987865,Not applicable
SRR11823713,SRR11823713bin,8,SRA,Public Data,China,Asia,Agricultural Land,61894480,44.18,86.02,PRJNA634262,SAMN14987864,Not applicable
SRR11823714,SRR11823714bin,5,SRA,Public Data,China,Asia,Agricultural Land,59557786,44.18,86.02,PRJNA634262,SAMN14987863,Not applicable
SRR11829106,SRR11829106bin,8,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,64630542,36.13,120.53,PRJNA634398,SAMN14995783,Not applicable
SRR11829107,SRR11829107bin,4,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,54668996,36.13,120.52,PRJNA634398,SAMN14995782,Not applicable
SRR11829108,SRR11829108bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,56647266,36.13,120.51,PRJNA634398,SAMN14995781,Not applicable
SRR11829109,SRR11829109bin,8,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,62353096,36.13,120.5,PRJNA634398,SAMN14995780,Not applicable
SRR11829110,SRR11829110bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,57613318,36.13,120.49,PRJNA634398,SAMN14995779,Not applicable
SRR11829111,SRR11829111bin,4,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,41693988,36.13,120.48,PRJNA634398,SAMN14995778,Not applicable
SRR11829112,SRR11829112bin,11,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,63811900,36.13,120.79,PRJNA634398,SAMN14995809,Not applicable
SRR11829113,SRR11829113bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,46643318,36.13,120.78,PRJNA634398,SAMN14995808,Not applicable
SRR11829114,SRR11829114bin,18,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,76044798,36.13,120.77,PRJNA634398,SAMN14995807,Not applicable
SRR11829115,SRR11829115bin,14,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,64005274,36.13,120.76,PRJNA634398,SAMN14995806,Not applicable
SRR11829116,SRR11829116bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,47269394,36.13,120.75,PRJNA634398,SAMN14995805,Not applicable
SRR11829117,SRR11829117bin,7,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,51693372,36.13,120.74,PRJNA634398,SAMN14995804,Not applicable
SRR11829118,SRR11829118bin,9,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,54127286,36.13,120.47,PRJNA634398,SAMN14995777,Not applicable
SRR11829119,SRR11829119bin,13,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,59270176,36.13,120.73,PRJNA634398,SAMN14995803,Not applicable
SRR11829120,SRR11829120bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,51564748,36.13,120.72,PRJNA634398,SAMN14995802,Not applicable
SRR11829121,SRR11829121bin,7,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,61030446,36.13,120.71,PRJNA634398,SAMN14995801,Not applicable
SRR11829122,SRR11829122bin,9,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,44597718,36.13,120.7,PRJNA634398,SAMN14995800,Not applicable
SRR11829123,SRR11829123bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,56526302,36.13,120.69,PRJNA634398,SAMN14995799,Not applicable
SRR11829124,SRR11829124bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,73432380,36.13,120.68,PRJNA634398,SAMN14995798,Not applicable
SRR11829125,SRR11829125bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,58395414,36.13,120.67,PRJNA634398,SAMN14995797,Not applicable
SRR11829126,SRR11829126bin,7,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,53506042,36.13,120.66,PRJNA634398,SAMN14995796,Not applicable
SRR11829127,SRR11829127bin,7,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,56881232,36.13,120.65,PRJNA634398,SAMN14995795,Not applicable
SRR11829128,SRR11829128bin,8,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,48539646,36.13,120.64,PRJNA634398,SAMN14995794,Not applicable
SRR11829129,SRR11829129bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,59796628,36.13,120.46,PRJNA634398,SAMN14995776,Not applicable
SRR11829130,SRR11829130bin,12,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,61124142,36.13,120.63,PRJNA634398,SAMN14995793,Not applicable
SRR11829131,SRR11829131bin,9,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,62634984,36.13,120.62,PRJNA634398,SAMN14995792,Not applicable
SRR11829132,SRR11829132bin,8,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,77031164,36.13,120.61,PRJNA634398,SAMN14995791,Not applicable
SRR11829133,SRR11829133bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,49719234,36.13,120.6,PRJNA634398,SAMN14995790,Not applicable
SRR11829134,SRR11829134bin,7,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,63243262,36.13,120.59,PRJNA634398,SAMN14995789,Not applicable
SRR11829135,SRR11829135bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,54892856,36.13,120.58,PRJNA634398,SAMN14995788,Not applicable
SRR11829137,SRR11829137bin,8,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,55814120,36.13,120.56,PRJNA634398,SAMN14995786,Not applicable
SRR11829139,SRR11829139bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,52898932,36.13,120.54,PRJNA634398,SAMN14995784,Not applicable
SRR11829140,SRR11829140bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,65815280,36.13,120.45,PRJNA634398,SAMN14995775,Not applicable
SRR11829141,SRR11829141bin,10,SRA,Public Data,China: qingdao,Asia,Artificial Surfaces,68073702,36.13,120.44,PRJNA634398,SAMN14995774,Not applicable
SRR11832861,SRR11832861bin,15,SRA,Public Data,Australia: New South Wales,Australia,Grassland,146156316,-33.6,150,PRJNA620620,SAMN14510897,Not applicable
SRR11833234,SRR11833234bin,34,SRA,Public Data,USA: California,North America,Agricultural Land,94112898,35.5,-121,PRJNA620621,SAMN14511055,Not applicable
SRR11833492,SRR11833492bin,80,SRA,Public Data,USA: California,North America,Agricultural Land,125948422,35.5,-121,PRJNA620622,SAMN14510729,Not applicable
SRR11833493,SRR11833493bin,9,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,71175364,-34.5,150,PRJNA620625,SAMN14510862,Not applicable
SRR11833494,SRR11833494bin,15,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,132568506,-34.5,150,PRJNA620624,SAMN14510878,Not applicable
SRR11833507,SRR11833507bin,90,SRA,Public Data,USA: California,North America,Agricultural Land,168558934,37,-122.2,PRJNA620623,SAMN14510936,Not applicable
SRR11833508,SRR11833508bin,23,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,358255214,-34.5,150,PRJNA620626,SAMN14510921,Not applicable
SRR11833617,SRR11833617bin,24,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,39934446,-33.6,150,PRJNA620627,SAMN14510954,Not applicable
SRR11833744,SRR11833744bin,26,SRA,Public Data,Australia: New South Wales,Australia,Forest,265247444,-33.6,150,PRJNA620628,SAMN14510940,Not applicable
SRR11833745,SRR11833745bin,45,SRA,Public Data,USA: California,North America,Grassland,327376742,35.5,-121,PRJNA620629,SAMN14510930,Not applicable
SRR11833918,SRR11833918bin,91,SRA,Public Data,USA: California,North America,Grassland,88853870,35.5,-121,PRJNA620630,SAMN14511041,Not applicable
SRR11833939,SRR11833939bin,23,SRA,Public Data,Australia: New South Wales,Australia,Forest,62256350,-33.6,150,PRJNA620632,SAMN14510939,Not applicable
SRR11834592,SRR11834592bin,34,SRA,Public Data,Australia: New South Wales,Australia,Forest,105411004,-33.6,150,PRJNA620633,SAMN14510776,Not applicable
SRR11834594,SRR11834594bin,20,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,73203182,-34.5,150,PRJNA620634,SAMN14510870,Not applicable
SRR11834599,SRR11834599bin,18,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,71633156,-34.5,150,PRJNA620635,SAMN14510775,Not applicable
SRR11834726,SRR11834726bin,33,SRA,Public Data,Australia: New South Wales,Australia,Grassland,109968464,-33.6,150,PRJNA620636,SAMN14510937,Not applicable
SRR11834729,SRR11834729bin,41,SRA,Public Data,USA: California,North America,Grassland,3167358,35.5,-121,PRJNA620637,SAMN14510737,Not applicable
SRR11835076,SRR11835076bin,22,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,71474106,-33.6,150,PRJNA620642,SAMN14510740,Not applicable
SRR11835574,SRR11835574bin,34,SRA,Public Data,USA: California,North America,Grassland,73254256,37,-122.2,PRJNA620645,SAMN14510951,Not applicable
SRR11835592,SRR11835592bin,27,SRA,Public Data,Australia: New South Wales,Australia,Forest,164485724,-33.6,150,PRJNA620646,SAMN14510763,Not applicable
SRR11835593,SRR1183559bin,33,SRA,Public Data,Australia: New South Wales,Australia,Grassland,458591092,-33.6,150,PRJNA620647,SAMN14511050,Not applicable
SRR11835595,SRR11835595bin,33,SRA,Public Data,Australia: New South Wales,Australia,Grassland,34183100,-34.5,150,PRJNA620649,SAMN14510950,Not applicable
SRR11835640,SRR11835640bin,36,SRA,Public Data,USA: California,North America,Grassland,54241696,35.5,-121,PRJNA620650,SAMN14510887,Not applicable
SRR11835779,SRR11835779,0,SRA,Public Data,USA: California,North America,Grassland,121737082,36.5,-121.8,PRJNA620651,SAMN14510885,Not applicable
SRR11835809,SRR11835809bin,61,SRA,Public Data,USA: California,North America,Grassland,15193234,37,-122.2,PRJNA620652,SAMN14510732,Not applicable
SRR11835973,SRR11835973bin,10,SRA,Public Data,Australia: New South Wales,Australia,Grassland,73308760,-33.6,150,PRJNA620653,SAMN14510991,Not applicable
SRR11836023,SRR11836023bin,21,SRA,Public Data,Australia: New South Wales,Australia,Grassland,45571236,-33.6,150,PRJNA620654,SAMN14510990,Not applicable
SRR11836025,SRR11836025bin,16,SRA,Public Data,Australia: New South Wales,Australia,Grassland,12442420,-34.5,150,PRJNA620655,SAMN14510764,Not applicable
SRR11836028,SRR11836028bin,25,SRA,Public Data,Australia: New South Wales,Australia,Grassland,108253786,-34.5,150,PRJNA620657,SAMN14510736,Not applicable
SRR11836029,SRR11836029bin,44,SRA,Public Data,Australia: New South Wales,Australia,Grassland,48801578,-34.5,150,PRJNA620656,SAMN14510949,Not applicable
SRR11836037,SRR11836037bin,44,SRA,Public Data,USA: California,North America,Shrubland,49029814,35.5,-121,PRJNA620658,SAMN14510896,Not applicable
SRR11836410,SRR11836410bin,83,SRA,Public Data,USA: California,North America,Forest,94046066,36.5,-121.8,PRJNA620659,SAMN14510727,Not applicable
SRR11836411,SRR11836411bin,67,SRA,Public Data,USA: California,North America,Forest,13114302,37,-122.2,PRJNA620660,SAMN14510739,Not applicable
SRR11836412,SRR11836412bin,18,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,191253958,-34.5,150,PRJNA620661,SAMN14510945,Not applicable
SRR11836438,SRR11836438bin,14,SRA,Public Data,Australia: New South Wales,Australia,Forest,184859526,-33.6,150,PRJNA620662,SAMN14510989,Not applicable
SRR11836439,SRR11836439bin,18,SRA,Public Data,Australia: New South Wales,Australia,Forest,74355340,-34.5,150,PRJNA620663,SAMN14510960,Not applicable
SRR11836440,SRR11836440bin,77,SRA,Public Data,USA: California,North America,Agricultural Land,87618402,36.5,-121.8,PRJNA620664,SAMN14510931,Not applicable
SRR11836447,SRR11836447bin,16,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,121650076,-33.6,150,PRJNA620665,SAMN14510919,Not applicable
SRR11836514,SRR11836514bin,10,SRA,Public Data,Australia: New South Wales,Australia,Agricultural Land,274777032,-34.5,150,PRJNA620667,SAMN14510974,Not applicable
SRR11836545,SRR11836545bin,18,SRA,Public Data,Australia: New South Wales,Australia,Grassland,254750924,-34.5,150,PRJNA620510,SAMN14510948,Not applicable
SRR11836565,SRR11836565bin,20,SRA,Public Data,Australia: New South Wales,Australia,Grassland,295858344,-34.5,150,PRJNA620511,SAMN14510772,Not applicable
SRR11842108,SRR11842108bin,22,SRA,Public Data,Australia: New South Wales,Australia,Grassland,340221240,-34.5,150,PRJNA620648,SAMN14511042,Not applicable
SRR11842679,SRR11842679bin,33,SRA,Public Data,USA: California,North America,Wetland,404156734,35.5,-121,PRJNA620643,SAMN14510946,Not applicable
SRR11842680,SRR11842680bin,89,SRA,Public Data,USA: California,North America,Wetland,425937004,36.5,-121.8,PRJNA620644,SAMN14510975,Not applicable
SRR1185960,SRR1185960rbin,5,SRA,Public Data,China,Asia,Agricultural Land,113343096,27.6218222,111.4635061,PRJNA239941,SAMN02671747,0.08 m
SRR12060209,SRR12060209,0,SRA,Public Data,China: Shandong,Asia,Artificial Surfaces,54407644,36.13,120.54,PRJNA640795,SAMN15332071,Not applicable
SRR12060210,SRR12060210,0,SRA,Public Data,China: Shandong,Asia,Artificial Surfaces,71000046,36.13,120.53,PRJNA640795,SAMN15332070,Not applicable
SRR12060211,SRR12060211bin,5,SRA,Public Data,China,Asia,Artificial Surfaces,50978216,36.13,120.52,PRJNA640795,SAMN15332069,Not applicable
SRR12060212,SRR12060212bin,16,SRA,Public Data,China,Asia,Artificial Surfaces,69075952,36.13,120.51,PRJNA640795,SAMN15332068,Not applicable
SRR12060213,SRR12060213,0,SRA,Public Data,China: Shandong,Asia,Artificial Surfaces,39897726,36.13,120.5,PRJNA640795,SAMN15332067,Not applicable
SRR12060214,SRR12060214bin,4,SRA,Public Data,China,Asia,Artificial Surfaces,58735574,36.13,120.49,PRJNA640795,SAMN15332066,Not applicable
SRR12060215,SRR12060215bin,8,SRA,Public Data,China,Asia,Artificial Surfaces,78150958,36.13,120.48,PRJNA640795,SAMN15332065,Not applicable
SRR12060216,SRR12060216,0,SRA,Public Data,China: Shandong,Asia,Artificial Surfaces,43197712,36.13,120.47,PRJNA640795,SAMN15332064,Not applicable
SRR12060217,SRR12060217bin,10,SRA,Public Data,China,Asia,Artificial Surfaces,63879578,36.13,120.64,PRJNA640795,SAMN15332081,Not applicable
SRR12060218,SRR12060218bin,13,SRA,Public Data,China,Asia,Artificial Surfaces,66498710,36.13,120.63,PRJNA640795,SAMN15332080,Not applicable
SRR12060219,SRR12060219bin,12,SRA,Public Data,China,Asia,Artificial Surfaces,57714338,36.13,120.62,PRJNA640795,SAMN15332079,Not applicable
SRR12060220,SRR12060220bin,12,SRA,Public Data,China,Asia,Artificial Surfaces,59077374,36.13,120.61,PRJNA640795,SAMN15332078,Not applicable
SRR12060221,SRR12060221bin,6,SRA,Public Data,China,Asia,Artificial Surfaces,42483032,36.13,120.6,PRJNA640795,SAMN15332077,Not applicable
SRR12060222,SRR12060222bin,7,SRA,Public Data,China,Asia,Artificial Surfaces,60839874,36.13,120.59,PRJNA640795,SAMN15332076,Not applicable
SRR12060223,SRR12060223bin,8,SRA,Public Data,China,Asia,Artificial Surfaces,58926846,36.13,120.58,PRJNA640795,SAMN15332075,Not applicable
SRR12060224,SRR12060224bin,8,SRA,Public Data,China,Asia,Artificial Surfaces,44196898,36.13,120.57,PRJNA640795,SAMN15332074,Not applicable
SRR12060225,SRR12060225bin,10,SRA,Public Data,China,Asia,Artificial Surfaces,47368532,36.13,120.56,PRJNA640795,SAMN15332073,Not applicable
SRR12060226,SRR12060226bin,6,SRA,Public Data,China,Asia,Artificial Surfaces,40804012,36.13,120.55,PRJNA640795,SAMN15332072,Not applicable
SRR12060227,SRR12060227bin,12,SRA,Public Data,China,Asia,Artificial Surfaces,57955578,36.13,120.46,PRJNA640795,SAMN15332063,Not applicable
SRR12060228,SRR12060228bin,6,SRA,Public Data,China,Asia,Artificial Surfaces,37837950,36.13,120.45,PRJNA640795,SAMN15332062,Not applicable
SRR12087327,SRR12087327bin,5,SRA,Public Data,Slovenia,Europe,Artificial Surfaces,23773552,46.06,14.28,PRJNA488994,SAMN09947802,0-10 cm
SRR12087328,SRR12087328bin,6,SRA,Public Data,"Slovenia:Ljubljana, Sentvid",Europe,Artificial Surfaces,24229958,46.06,14.28,PRJNA488994,SAMN09947802,0-10 cm
SRR12087329,SRR12087329bin,6,SRA,Public Data,"Slovenia:Ljubljana, Sentvid",Europe,Artificial Surfaces,23098194,46.06,14.28,PRJNA488994,SAMN09947802,0-10 cm
SRR12087330,SRR12087330bin,5,SRA,Public Data,"Slovenia:Ljubljana, Sentvid",Europe,Artificial Surfaces,24384476,46.06,14.28,PRJNA488994,SAMN09947802,0-10 cm
SRR12087331,SRR12087331bin,5,SRA,Public Data,Slovenia,Europe,Artificial Surfaces,21218260,46.06,14.28,PRJNA488994,SAMN09947801,0-10 cm
SRR12087332,SRR12087332bin,6,SRA,Public Data,"Slovenia:Ljubljana, Sentvid",Europe,Artificial Surfaces,21786690,46.06,14.28,PRJNA488994,SAMN09947801,0-10 cm
SRR12087333,SRR12087333bin,6,SRA,Public Data,"Slovenia:Ljubljana, Sentvid",Europe,Artificial Surfaces,20540544,46.06,14.28,PRJNA488994,SAMN09947801,0-10 cm
SRR12087334,SRR12087334bin,6,SRA,Public Data,Slovenia,Europe,Artificial Surfaces,22233272,46.06,14.28,PRJNA488994,SAMN09947801,0-10 cm
SRR12095477,SRR12095477bin,5,SRA,Public Data,"Australia: Darwin, NT",Australia,Agricultural Land,103475184,-12.37,130.867,PRJNA641804,SAMN15367012,Not applicable
SRR12095478,SRR12095478bin,2,SRA,Public Data,"Australia: Darwin, NT",Australia,Agricultural Land,87553834,-12.37,130.867,PRJNA641804,SAMN15367011,Not applicable
SRR12095479,SRR12095479bin,1,SRA,Public Data,"Australia: Darwin, NT",Australia,Agricultural Land,108818664,-12.37,130.867,PRJNA641804,SAMN15367010,Not applicable
SRR12102596,SRR12102596,0,SRA,Public Data,Israel,Asia,Bare Land,15761442,29.94152,34.97481,PRJNA642232,SAMN15394152,2-5 cm
SRR12102597,SRR12102597bin,5,SRA,Public Data,Israel,Asia,Bare Land,17414184,30.785336,34.767347,PRJNA642232,SAMN15394151,2-5 cm
SRR12102598,SRR12102598,0,SRA,Public Data,Israel,Asia,Bare Land,22464626,30.60916667,34.74583333,PRJNA642232,SAMN15394150,2-5 cm
SRR12102599,SRR12102599,0,SRA,Public Data,Israel,Asia,Bare Land,28342046,30.60916667,34.74583333,PRJNA642232,SAMN15394149,2-5 cm
SRR12102600,SRR12102600bin,1,SRA,Public Data,Israel,Asia,Bare Land,21527590,31.34916667,34.91305556,PRJNA642232,SAMN15394148,2-5 cm
SRR12102601,SRR12102601,0,SRA,Public Data,Israel,Asia,Bare Land,18461778,31.34583333,34.91333333,PRJNA642232,SAMN15394147,2-5 cm
SRR12102602,SRR12102602bin,1,SRA,Public Data,Israel,Asia,Bare Land,23575582,31.25333333,34.75277778,PRJNA642232,SAMN15394146,2-5 cm
SRR12102603,SRR12102603,0,SRA,Public Data,Israel,Asia,Shrubland,24217616,31.63027778,34.91472222,PRJNA642232,SAMN15394145,2-5 cm
SRR12102604,SRR12102604,0,SRA,Public Data,Israel,Asia,Bare Land,22829404,30.405,34.94916667,PRJNA642232,SAMN15394154,2-5 cm
SRR12102606,SRR12102606,0,SRA,Public Data,Israel,Asia,Shrubland,39449200,31.64222222,34.93304444,PRJNA642232,SAMN15394144,2-5 cm
SRR12102607,SRR12102607bin,1,SRA,Public Data,Israel,Asia,Shrubland,31793156,31.642372,34.935008,PRJNA642232,SAMN15394143,2-5 cm
SRR12105370,SRR12105370,0,SRA,Public Data,Czech Republic,Europe,Artificial Surfaces,126601314,48.99,14.16,PRJNA641877,SAMN15376387,1 m
SRR12149476,SRR12149476bin,38,SRA,Public Data,United States,North America,Agricultural Land,288016726,26.6541,-80.6298,PRJNA620821,SAMN14510724,Not applicable
SRR12170508,SRR12170508bin,47,SRA,Public Data,United States,North America,Agricultural Land,76430926,29.64,-82.34,PRJNA644680,SAMN15470939,Not applicable
SRR12170509,SRR12170509bin,30,SRA,Public Data,United States,North America,Agricultural Land,72215590,29.64,-82.34,PRJNA644680,SAMN15470938,Not applicable
SRR12170510,SRR12170510bin,58,SRA,Public Data,United States,North America,Agricultural Land,103083140,29.64,-82.34,PRJNA644680,SAMN15470937,Not applicable
SRR12170511,SRR12170511bin,64,SRA,Public Data,United States,North America,Agricultural Land,93474630,29.64,-82.34,PRJNA644680,SAMN15470936,Not applicable
SRR12170512,SRR12170512bin,51,SRA,Public Data,United States,North America,Agricultural Land,99977950,29.64,-82.34,PRJNA644680,SAMN15470935,Not applicable
SRR12170513,SRR12170513bin,36,SRA,Public Data,United States,North America,Agricultural Land,88577784,29.64,-82.34,PRJNA644680,SAMN15470934,Not applicable
SRR12170514,SRR12170514bin,51,SRA,Public Data,United States,North America,Agricultural Land,85555384,29.64,-82.34,PRJNA644680,SAMN15470933,Not applicable
SRR12170515,SRR12170515bin,28,SRA,Public Data,United States,North America,Agricultural Land,82096762,29.64,-82.34,PRJNA644680,SAMN15470932,Not applicable
SRR12170516,SRR12170516bin,60,SRA,Public Data,United States,North America,Agricultural Land,110064248,29.64,-82.34,PRJNA644680,SAMN15470941,Not applicable
SRR12170517,SRR12170517,0,SRA,Public Data,United States,North America,Agricultural Land,104848128,29.64,-82.34,PRJNA644680,SAMN15470940,Not applicable
SRR12170518,SRR12170518bin,24,SRA,Public Data,United States,North America,Agricultural Land,82675942,29.64,-82.34,PRJNA644680,SAMN15470931,Not applicable
SRR12170519,SRR12170519bin,56,SRA,Public Data,United States,North America,Agricultural Land,112366432,29.64,-82.34,PRJNA644680,SAMN15470930,Not applicable
SRR12192801,SRR12192801,0,SRA,Public Data,South Africa,Africa,Agricultural Land,18101864,-25.59,26.31,PRJNA645371,SAMN15502456,Not applicable
SRR12192802,SRR12192802bin,1,SRA,Public Data,South Africa,Africa,Agricultural Land,19371288,-25.59,26.31,PRJNA645371,SAMN15502455,Not applicable
SRR12192804,SRR12192804,0,SRA,Public Data,South Africa,Africa,Agricultural Land,22841650,-25.59,26.31,PRJNA645371,SAMN15502453,Not applicable
SRR12277191,SRR12277191bin,13,SRA,Public Data,Switzerland,Europe,Tundra,36662456,46.49,9.93,PRJNA647119,SAMN15575894,Not applicable
SRR12277192,SRR12277192bin,3,SRA,Public Data,Switzerland,Europe,Tundra,36587852,46.49,9.93,PRJNA647119,SAMN15575893,Not applicable
SRR12277193,SRR12277193,0,SRA,Public Data,Switzerland,Europe,Tundra,34567532,46.49,9.93,PRJNA647119,SAMN15575892,Not applicable
SRR12277194,SRR12277194bin,3,SRA,Public Data,Switzerland,Europe,Tundra,39987166,46.49,9.93,PRJNA647119,SAMN15575891,Not applicable
SRR12277195,SRR12277195,0,SRA,Public Data,Switzerland,Europe,Tundra,44690922,46.49,9.93,PRJNA647119,SAMN15575890,Not applicable
SRR12277196,SRR12277196bin,5,SRA,Public Data,Switzerland,Europe,Tundra,33236390,46.49,9.93,PRJNA647119,SAMN15575889,Not applicable
SRR12277197,SRR12277197bin,8,SRA,Public Data,Switzerland,Europe,Tundra,33309712,46.49,9.93,PRJNA647119,SAMN15575888,Not applicable
SRR12277198,SRR12277198bin,5,SRA,Public Data,Switzerland,Europe,Tundra,33538970,46.49,9.93,PRJNA647119,SAMN15575887,Not applicable
SRR12277199,SRR12277199bin,13,SRA,Public Data,Switzerland,Europe,Tundra,34531666,46.49,9.93,PRJNA647119,SAMN15575896,Not applicable
SRR12277200,SRR12277200bin,15,SRA,Public Data,Switzerland,Europe,Tundra,32021616,46.49,9.93,PRJNA647119,SAMN15575895,Not applicable
SRR12277201,SRR12277201bin,2,SRA,Public Data,Switzerland,Europe,Tundra,13532066,46.49,9.93,PRJNA647119,SAMN15575886,Not applicable
SRR12277202,SRR12277202bin,2,SRA,Public Data,Switzerland,Europe,Tundra,29392114,46.49,9.93,PRJNA647119,SAMN15575885,Not applicable
SRR12284399,SRR12284399,0,SRA,Public Data,Australia: Roxby Downs,Australia,Bare Land,47015828,-30.4704,137.1363,PRJNA647683,SAMN15596732,0-10 cm
SRR12284400,SRR12284400,0,SRA,Public Data,Australia: Roxby Downs,Australia,Bare Land,46228668,-30.4704,137.1363,PRJNA647683,SAMN15596731,0-10 cm
SRR12284401,SRR12284401,0,SRA,Public Data,Australia: Roxby Downs,Australia,Bare Land,45975288,-30.4704,137.1363,PRJNA647683,SAMN15596730,0-10 cm
SRR12284402,SRR12284402,0,SRA,Public Data,Australia: Roxby Downs,Australia,Bare Land,41640044,-30.4704,137.1363,PRJNA647683,SAMN15596729,0-10 cm
SRR12284403,SRR12284403,0,SRA,Public Data,Australia: Roxby Downs,Australia,Bare Land,42734986,-30.4704,137.1363,PRJNA647683,SAMN15596728,0-10 cm
SRR12284404,SRR12284404,0,SRA,Public Data,Australia: Roxby Downs,Australia,Bare Land,42244220,-30.4704,137.1363,PRJNA647683,SAMN15596727,0-10 cm
SRR12284405,SRR12284405,0,SRA,Public Data,"USA: Mojave desert, Nevada",North America,Bare Land,15088606,35.8171,-114.9159,PRJNA647683,SAMN15596735,0-10 cm
