S	30175148
-	7880093
E	14915787
N	2140960
O	6372922
U	5002735
J	6974173
L	8474708
K	9747274
T	10868836
H	6536608
G	10291467
C	13854687
F	3709074
P	10106901
I	7365866
Q	6732307
M	11989494
D	1736982
Z	181196
B	85312
V	4675533
W	77692
A	75302
Y	406
