sample,trimmed_mean_chao1,Shannon_index,study
SNJ20_350,4891.470367544355,7.132481231491555,Urban_soil
CPSNJ19_350,2902.109552483472,7.0756293023288235,Urban_soil
20_350,3711.185215564579,7.1723673924727205,Urban_soil
19_350,3464.5503488476697,7.2799979281239064,Urban_soil
SNJ16_350,4674.761951245533,7.258722320212496,Urban_soil
CPSNJ20_350,3240.0308697181467,7.212256634214568,Urban_soil
CPSNJ10_350,3537.9864155732535,7.075356917346769,Urban_soil
23_350,3836.973009650248,7.290605662848967,Urban_soil
25_350,3851.7366997561385,7.126252474397256,Urban_soil
15_350,4050.864189696912,7.098313021520952,Urban_soil
26_350,3896.1868393890227,7.157047710803537,Urban_soil
4_350,3029.294216324723,7.079587329196179,Urban_soil
16_350,3950.945036613511,7.066036575740337,Urban_soil
3_350,2973.2546622487666,7.080177674117288,Urban_soil
6_350,4443.766323926121,7.0919027019042735,Urban_soil
CPSNJ02_350,3769.592947976922,7.264907873836689,Urban_soil
13_350,3098.7133775056623,7.080601468572615,Urban_soil
CPSNJ09_350,2383.457669486459,6.875796451665729,Urban_soil
2_350,3271.8914401213974,7.133215611685931,Urban_soil
SNJ01_350,4480.227243603703,7.118060935554725,Urban_soil
CPSNJ08_350,4354.439418036841,7.126955504852073,Urban_soil
SNJ02_350,4331.650835218159,7.238583467353143,Urban_soil
CPSNJ15_350,3778.321669127732,7.350884794299179,Urban_soil
CPSNJ16_350,2820.443890359937,7.1122269762990165,Urban_soil
SNJ09_350,3528.3535954934705,6.9221040652411014,Urban_soil
24_350,4765.927011432987,7.061055703174805,Urban_soil
SNJ13_350,3957.8702263728255,7.2387500374685745,Urban_soil
30_350,3420.094064257868,7.252949567178494,Urban_soil
1_350,3021.987956143914,7.218126423820784,Urban_soil
22_350,3779.3364141124785,7.168198320124087,Urban_soil
CPSNJ03_350,2920.829390943586,7.057581893477234,Urban_soil
SNJ14_350,3683.5088917986227,7.182607783918964,Urban_soil
SNJ15_350,4001.000617180535,7.273238732038364,Urban_soil
CPSNJ14_350,3350.160659494323,7.057483941223846,Urban_soil
8_350,3506.0959870169722,7.059447325382079,Urban_soil
CPSNJ01_350,3303.023655301338,7.079491127294093,Urban_soil
17_350,3969.72779219833,7.039250029231972,Urban_soil
SNJ10_350,4153.614313305622,7.190373432970619,Urban_soil
CPSNJ11_350,2711.3451508706275,6.917165920628253,Urban_soil
SNJ03_350,4091.2968113464203,7.030994710055932,Urban_soil
14_350,4573.900983055003,7.258798803645614,Urban_soil
SNJ08_350,3724.68821864234,7.159886402849464,Urban_soil
SNJ11_350,3622.790181268031,7.047559328183434,Urban_soil
7_350,3143.156099030971,6.977768947139392,Urban_soil
CPSNJ13_350,2741.9560407608255,7.024767374910979,Urban_soil
CPSNJ04_350,3561.139466153435,7.2016361486978475,Urban_soil
SNJ19_350,3540.409825882933,7.0262024276302855,Urban_soil
28_350,4337.047679129296,7.164064025460894,Urban_soil
12_350,3294.856744012655,7.303960741432044,Urban_soil
10_350,3112.4935898433714,6.8864147673414955,Urban_soil
18_350,3292.4246332734942,6.813974680178676,Urban_soil
11_350,4119.24644687688,7.254586049280535,Urban_soil
5_350,2955.248287552041,6.917216812921588,Urban_soil
SNJ04_350,4281.192961836396,7.281951319038829,Urban_soil
29_350,3810.754935462759,7.536535941892328,Urban_soil
27_350,4665.478538274641,7.415987804481215,Urban_soil
21_350,4333.232888951195,7.292711585655597,Urban_soil
9_350,4011.819006545031,7.088139382398291,Urban_soil
