sample,Simpson_index
CPSNJ01_350,0.9955122369353248
CPSNJ09_350,0.9952063488188005
27_350,0.9971157456551115
4_350,0.9960122869935898
CPSNJ16_350,0.9964843658502902
17_350,0.9953733670772218
SNJ11_350,0.9958789813784407
28_350,0.9965952207924109
CPSNJ11_350,0.9954968019220023
SNJ14_350,0.9964683579262752
SNJ16_350,0.9964910129791158
26_350,0.9965167170659942
SNJ08_350,0.9961168352571931
21_350,0.9965997629831481
5_350,0.9956491982236899
SNJ01_350,0.9957680590814965
CPSNJ04_350,0.996157465523289
CPSNJ13_350,0.9958335427604487
7_350,0.9957873156556394
SNJ13_350,0.9967157710706711
SNJ20_350,0.9959939521219624
3_350,0.9960827718383316
16_350,0.9959811188469723
SNJ09_350,0.9947607354974657
SNJ03_350,0.9956942109321978
SNJ04_350,0.9964351280320057
15_350,0.9961171955742416
6_350,0.9960344362769943
SNJ02_350,0.9962235825496832
24_350,0.9962822204449854
CPSNJ19_350,0.9961069772195866
CPSNJ20_350,0.9967664309659826
CPSNJ03_350,0.9957995061837016
CPSNJ02_350,0.9962179173343017
22_350,0.9963487602951668
29_350,0.997200095186207
SNJ15_350,0.996724730892317
1_350,0.9966065269555914
CPSNJ15_350,0.9968389272416938
25_350,0.9963016376853224
9_350,0.9963766817214392
CPSNJ14_350,0.9958066405048733
10_350,0.9952743953720395
13_350,0.9961549014897421
SNJ10_350,0.9961636563637539
14_350,0.9968660439603338
18_350,0.9944127762960737
20_350,0.9958621927003698
SNJ19_350,0.9957981831320464
19_350,0.9968151526872032
2_350,0.9963852945541702
23_350,0.9965943240037184
11_350,0.9964294604813042
CPSNJ10_350,0.9961177644997078
12_350,0.9965971311413835
30_350,0.9967814603707194
CPSNJ08_350,0.9963482830361551
8_350,0.9953702614458219
