"","class","n_lr","mean_len","detect_rate80","detect_rate50","n_sr"
"1","tet RPG",146,655.931506849315,0.0205479452054794,0.0410958904109589,3
"2","tet efflux",12,397.166666666667,0.0833333333333333,0.25,1
"3","tet enzyme",139,393.827338129496,0.0935251798561151,0.122302158273381,21
"4","beta-lactamase C",41,387.609756097561,0.048780487804878,0.146341463414634,4
"5","beta-lactamase B3",23879,310.701285648478,0.0840068679592963,0.0896184932367327,3802
"6","beta-lactamase A",2666,301.230682670668,0.0956489122280568,0.119654913728432,521
"7","mph",27,300.037037037037,0.037037037037037,0.037037037037037,1
"8","aph(2'')",326,298.711656441718,0.0858895705521473,0.0920245398773007,125
"9","aph(6)",1959,284.931597753956,0.0872894333843797,0.0934150076569678,420
"10","erm",188,274.702127659574,0.101063829787234,0.101063829787234,48
"11","beta-lactamase D",803,271.145703611457,0.0834371108343712,0.090909090909091,132
"12","aph(3')",273,262.106227106227,0.0989010989010989,0.106227106227106,51
"13","beta-lactamase B1-B2",308,252.974025974026,0.0519480519480519,0.0616883116883116,24
"14","aac(3)",3301,215.182066040594,0.113299000302939,0.123598909421388,738
"15","qnr",2,212.5,0,0,0
"16","aac(2')",718,181.739554317549,0.119777158774373,0.137883008356546,172
"17","aac(6')",4164,163.429634966378,0.120317002881845,0.129682997118155,1250
