"term","estimate","std.error","statistic","p.value","sig"
"(Intercept)",-6175,695.1,-8.884,3.24e-12,"***"
"log(sum_len)",108.8,10.78,10.09,4.06e-14,"***"
"log(Q2)",643.7,91.55,7.031,3.35e-09,"***"
