"term","estimate","std.error","statistic","p.value","sig"
"(Intercept)",-52.55,4.147,-12.67,8.44e-37,"***"
"CityShanghai",-0.1801,0.06001,-3.001,0.00269,"**"
"log(len)",-0.647,0.06434,-10.06,8.64e-24,"***"
"log(sum_len.x)",1.383,0.0728,18.99,1.92e-80,"***"
"log(Q2.x)",3.913,0.5744,6.811,9.66e-12,"***"
