"term","estimate","std.error","statistic","p.value","sig"
"(Intercept)",-66.25,4.732,-14,1.54e-44,"***"
"LocationGongQing Forest Park",-0.04099,0.06555,-0.6252,0.532,""
"LocationHuangXing Park",0.02726,0.08999,0.3029,0.762,""
"LocationNanjing Agricultural University",0.4342,0.07672,5.66,1.52e-08,"***"
"LocationShiJi Park",0.07285,0.07695,0.9467,0.344,""
"LocationSun Yat-sen Mausoleum",0.03638,0.06684,0.5442,0.586,""
"log(sum_len.x)",1.508,0.07848,19.21,3.07e-82,"***"
"log(Q2.x)",5.086,0.6631,7.67,1.72e-14,"***"
