sample	mean	tmean10	median
SRR25158322	0.9713582291568195	0.9713582291568195	0.9713582291568195
SRR25158398	0.971388533386158	0.971388533386158	0.971388533386158
SRR25158264	0.9713646024570277	0.9713646024570277	0.9713646024570277
SRR25158323	0.971351294201674	0.971351294201674	0.971351294201674
SRR25158430	0.9713647448253343	0.9713647448253343	0.9713647448253343
SRR25158391	0.9713584559646022	0.9713584559646022	0.9713584559646022
SRR25158484	0.9713711314340575	0.9713711314340575	0.9713711314340575
SRR25158435	0.9713641199786138	0.9713641199786138	0.9713641199786138
SRR25158477	0.9713715150333334	0.9713715150333334	0.9713715150333334
SRR25158281	0.9713464108509681	0.9713464108509681	0.9713464108509681
SRR25158408	0.9713759514689202	0.9713759514689202	0.9713759514689202
SRR25158506	0.9713572970279942	0.9713572970279942	0.9713572970279942
SRR25158207	0.9713542727493888	0.9713542727493888	0.9713542727493888
SRR25158510	0.9713692004531829	0.9713692004531829	0.9713692004531829
SRR25158261	0.9712730440163596	0.9712730440163596	0.9712730440163596
SRR25158395	0.9713652456125028	0.9713652456125028	0.9713652456125028
SRR25158526	0.9713830364815017	0.9713830364815017	0.9713830364815017
SRR25158509	0.9713654378069859	0.9713654378069859	0.9713654378069859
SRR25158240	0.9713701735009288	0.9713701735009288	0.9713701735009288
SRR25158275	0.9713550528648466	0.9713550528648466	0.9713550528648466
SRR25158272	0.9713514118506602	0.9713514118506602	0.9713514118506602
SRR25158412	0.9713544026361745	0.9713544026361745	0.9713544026361745
SRR25158188	0.9713715320387729	0.9713715320387729	0.9713715320387729
SRR25158461	0.9713031283698013	0.9713031283698013	0.9713031283698013
SRR25158297	0.9713031879295412	0.9713031879295412	0.9713031879295412
SRR25158470	0.9713825971228994	0.9713825971228994	0.9713825971228994
SRR25158376	0.9713683187782367	0.9713683187782367	0.9713683187782367
SRR25158234	0.9713709252941178	0.9713709252941178	0.9713709252941178
SRR25158273	0.9713408011885316	0.9713408011885316	0.9713408011885316
SRR25158400	0.9714019833709061	0.9714019833709061	0.9714019833709061
SRR25158446	0.97136783276027	0.97136783276027	0.97136783276027
SRR25158455	0.9713910266764061	0.9713910266764061	0.9713910266764061
SRR25158203	0.9713840851029157	0.9713840851029157	0.9713840851029157
SRR25158457	0.9713275922930245	0.9713275922930245	0.9713275922930245
SRR25158359	0.9713453528325928	0.9713453528325928	0.9713453528325928
SRR25158489	0.9713616966618481	0.9713616966618481	0.9713616966618481
SRR25158362	0.9713644442767556	0.9713644442767556	0.9713644442767556
SRR25158241	0.971375646158187	0.971375646158187	0.971375646158187
SRR25158520	0.9713803032130833	0.9713803032130833	0.9713803032130833
SRR25158285	0.9713823284886779	0.9713823284886779	0.9713823284886779
SRR25158334	0.9713363169973922	0.9713363169973922	0.9713363169973922
SRR25158338	0.9713488928169689	0.9713488928169689	0.9713488928169689
SRR25158364	0.9713800126002892	0.9713800126002892	0.9713800126002892
SRR25158304	0.9713105472763185	0.9713105472763185	0.9713105472763185
SRR25158467	0.9713755762096942	0.9713755762096942	0.9713755762096942
