sample,Shannon_index
SRR25158392,7.251344191071007
SRR25158337,7.581498213973269
SRR25158308,7.7197684734603795
SRR25158470,7.450533192318001
SRR25158524,7.749928125792492
SRR25158494,6.597753044040217
SRR25158436,7.357496233591972
SRR25158490,7.768355194387471
SRR25158258,7.268260819708883
SRR25158201,7.497832099172239
SRR25158481,7.644813930950121
SRR25158530,7.484696770021924
SRR25158528,7.715568996541408
SRR25158213,7.666233152534293
SRR25158304,7.6405269890053455
SRR25158344,7.592748062135916
SRR25158313,7.687096947066815
SRR25158517,7.765312249642236
SRR25158189,7.289340064893493
SRR25158218,7.677320613586976
SRR25158415,7.248232540690824
SRR25158250,6.176124485070723
SRR25158450,6.148925882398522
SRR25158190,7.5414533931298
SRR25158369,7.458202266769058
SRR25158229,7.784561282873603
SRR25158200,6.952487338713617
SRR25158533,6.884419929043226
SRR25158418,7.494617968097413
SRR25158374,7.5636384757690385
SRR25158187,6.983316277269657
SRR25158239,7.160800456108286
SRR25158342,7.861733527719466
SRR25158219,7.740445306988403
SRR25158297,6.60660186640012
SRR25158223,7.729346289142347
SRR25158255,7.305981008015014
SRR25158263,6.988277851369756
SRR25158493,7.992108205411603
SRR25158366,7.783432390012772
SRR25158207,7.92525087880726
SRR25158356,7.580591998772257
SRR25158237,7.91025411623287
SRR25158367,7.295053668105959
SRR25158361,7.8416450457453974
SRR25158273,7.398668078202814
SRR25158194,7.240986583089532
SRR25158328,8.014402655047848
SRR25158217,6.825088939435726
SRR25158199,7.50363501147555
SRR25158525,7.422579407937518
SRR25158211,7.840141428425049
SRR25158506,7.781287206440733
SRR25158281,7.711705111225795
SRR25158301,7.658063283269521
SRR25158414,7.8950721529757315
SRR25158410,7.050534807954344
SRR25158295,7.8327959373998635
SRR25158197,6.879311718082328
SRR25158368,7.119711840182076
SRR25158326,8.024169423169562
SRR25158521,7.703676801839868
SRR25158305,7.501724263318512
SRR25158529,7.448571935393583
SRR25158507,7.779641975478979
SRR25158485,7.504523966195757
SRR25158431,7.551096439936055
SRR25158488,7.668023060446648
SRR25158267,7.624092921644599
SRR25158501,7.865227720774477
SRR25158256,7.284067685709764
SRR25158515,7.329518784224485
SRR25158246,7.436552371176601
SRR25158372,6.9076417150606195
SRR25158318,7.924963783851301
SRR25158358,6.883687509024121
SRR25158357,6.899889604487163
SRR25158498,7.166867995455145
SRR25158341,7.681649130130503
SRR25158350,7.842771124767303
SRR25158430,7.350676672270468
SRR25158235,7.881649022549814
SRR25158257,7.242541376302518
SRR25158338,7.921251717657743
SRR25158397,7.680579448451541
SRR25158535,7.770296980715472
SRR25158340,7.7136896984627334
SRR25158401,7.955260932687171
SRR25158526,7.4867038731720905
SRR25158428,7.49589162056256
SRR25158236,7.810253653950999
SRR25158222,7.833848260188413
SRR25158375,7.506129892040105
SRR25158347,7.276180822536483
SRR25158378,7.639761272477051
SRR25158389,7.801946232217007
SRR25158531,7.198309090218092
SRR25158205,6.828688697020823
SRR25158409,7.4810082357650565
SRR25158210,7.878129412028238
SRR25158398,7.307848893220738
SRR25158289,7.159114704908395
SRR25158298,6.084579741078334
SRR25158387,7.409233166276003
SRR25158483,7.305331717292881
SRR25158512,7.127899022038788
SRR25158391,7.468949392157803
SRR25158352,7.8648016511471806
SRR25158346,7.526948005108106
SRR25158220,7.697435268708241
SRR25158282,7.982849466684618
SRR25158465,7.793722017471314
SRR25158296,6.599556451641461
SRR25158523,7.5167924232988925
SRR25158482,7.4610226980616785
SRR25158522,7.734169954472408
SRR25158314,7.790851649047806
SRR25158245,7.0432107738680205
SRR25158427,7.685621628793173
SRR25158399,7.113056734304729
SRR25158484,7.58966052990798
SRR25158269,7.771183835900346
SRR25158487,7.352446023911026
SRR25158181,7.174915158992672
SRR25158288,7.8366819829116965
SRR25158225,7.8921762035918315
SRR25158310,7.601882972790744
SRR25158495,7.50793359604609
SRR25158178,7.559402951197835
SRR25158227,7.879111490066041
SRR25158406,7.532172665045671
SRR25158459,7.1282689705748705
SRR25158382,7.85925171334489
SRR25158411,7.600651381279126
SRR25158221,7.761204715227127
SRR25158467,7.560821995646706
SRR25158439,7.454605594636688
