sample,Simpson_index
SRR25158365,0.9982892221253707
SRR25158380,0.9976514500740714
SRR25158451,0.9979989408865307
SRR25158299,0.9923596577983184
SRR25158446,0.9982970032820282
SRR25158288,0.9979976998066099
SRR25158439,0.9971469732740439
SRR25158316,0.9984420996529529
SRR25158433,0.9983410357116692
SRR25158459,0.995561456421929
SRR25158507,0.998317389820608
SRR25158423,0.9974963617078937
SRR25158454,0.9974814227191545
SRR25158217,0.9941655544163449
SRR25158191,0.9972704332964568
SRR25158506,0.9981944962153562
SRR25158512,0.9944469892533027
SRR25158298,0.9902850786547546
SRR25158334,0.9983969414419772
SRR25158449,0.9978759897637884
SRR25158513,0.9934594055832426
SRR25158371,0.9979690719604148
SRR25158301,0.9979413676284081
SRR25158179,0.996255551156987
SRR25158304,0.99786337046742
SRR25158208,0.9980291118722688
SRR25158509,0.9965230751203584
SRR25158421,0.9972139024730824
SRR25158272,0.9972794145159042
SRR25158476,0.9984146133036376
SRR25158391,0.9975940450803333
SRR25158237,0.998389231160311
SRR25158471,0.9920032434487083
SRR25158403,0.9972292092289998
SRR25158222,0.9982473911441568
SRR25158285,0.9975031329932306
SRR25158429,0.9966615454455204
SRR25158202,0.9969700671551284
SRR25158444,0.9969404578554487
SRR25158514,0.9976487432628719
SRR25158220,0.9979599412697434
SRR25158245,0.9957579924852435
SRR25158186,0.9976614880177973
SRR25158325,0.9983463001938402
SRR25158258,0.9970548347441129
SRR25158356,0.9975904180535803
SRR25158400,0.9977210933839658
SRR25158201,0.9974682483315379
SRR25158268,0.9984398902565866
SRR25158412,0.991744778813628
SRR25158488,0.99811652155886
SRR25158384,0.9970527804479804
SRR25158481,0.9979545516739067
SRR25158236,0.9982087394228891
SRR25158256,0.9967869040501485
SRR25158447,0.9973561923214115
SRR25158483,0.996960541482371
SRR25158379,0.9952091334828209
SRR25158418,0.997487146904396
SRR25158417,0.997099453160692
SRR25158525,0.996878193579386
SRR25158282,0.9985072210602607
SRR25158260,0.9972709615536177
SRR25158382,0.9983910273338941
SRR25158198,0.9973846313818865
SRR25158269,0.9985324385158727
SRR25158210,0.998140200048103
SRR25158262,0.9977699738546566
SRR25158339,0.9981672864814242
SRR25158469,0.9986175989366626
SRR25158453,0.9969666456692458
SRR25158352,0.9980694595934987
SRR25158465,0.9977364888442771
SRR25158308,0.9981510467716237
SRR25158440,0.996878641886416
SRR25158369,0.9974938432073669
SRR25158292,0.9947100471369236
SRR25158388,0.9973411978753497
SRR25158517,0.9981392689298587
SRR25158467,0.9975509896149639
SRR25158457,0.9968090612750088
SRR25158347,0.9957020783435829
SRR25158175,0.9982445822541319
SRR25158218,0.9977696822831923
SRR25158290,0.9953378961387488
SRR25158315,0.9983355342902452
SRR25158480,0.9975418770248091
SRR25158323,0.997668479474772
SRR25158267,0.9975991892541736
SRR25158529,0.9974946443633287
SRR25158250,0.9920323296267042
SRR25158243,0.9958283806445863
SRR25158357,0.9925589896987886
SRR25158491,0.9978633731331209
SRR25158366,0.9980901433816927
SRR25158477,0.9977486577864705
SRR25158209,0.9980711860966618
SRR25158276,0.9982323524199029
SRR25158293,0.9963041060307455
SRR25158374,0.9978894725729465
SRR25158281,0.997908604506677
SRR25158416,0.996107726893359
SRR25158319,0.9987691905077869
SRR25158355,0.9968898892236373
SRR25158520,0.9980911150779804
SRR25158442,0.9985060607527093
SRR25158255,0.9974298414305387
SRR25158200,0.9954419462025481
SRR25158377,0.9955249890150701
SRR25158407,0.9976651269206394
SRR25158531,0.9948895612880368
SRR25158392,0.9967909399313054
SRR25158206,0.9974590322288118
SRR25158335,0.9980669323025364
SRR25158205,0.9956711483643905
