sample	mean	tmean10	median
SRR25158201	7.110453421478814	7.113914567031444	7.1173485009799915
SRR25158507	7.125019056946031	7.125955228730913	7.118274917557091
SRR25158381	7.375833507158363	7.381844307293303	7.375416267107521
SRR25158374	7.204819671112883	7.206243872218508	7.203194440679837
SRR25158491	7.357117463085836	7.358915039054117	7.358901111602702
SRR25158199	7.296486464848073	7.30210210942431	7.292010153574069
SRR25158393	7.4245900311687265	7.426958990165104	7.416060488432709
SRR25158246	7.320042075514011	7.317949065684143	7.324994941155869
SRR25158302	7.171915132239578	7.174713809848683	7.192564785556382
SRR25158330	7.342628398513298	7.342711283264184	7.348430438344694
SRR25158269	6.357922099289309	6.354869159557287	6.359062593825117
SRR25158485	7.45079307547312	7.456424939332807	7.4576214695669245
SRR25158225	7.422219973297141	7.422416831078234	7.418216054150856
SRR25158310	6.536774644308575	6.531354876773334	6.520317833127628
SRR25158343	6.481292292220506	6.482155526664797	6.485886914523149
SRR25158215	7.407553192002883	7.410308174637651	7.4144689412235385
SRR25158482	7.228052892487139	7.230743027492142	7.22270789987597
SRR25158369	7.3629400270381	7.367467099900752	7.356265728791361
SRR25158220	7.5002917114615375	7.5029058515806435	7.508772734171142
SRR25158405	7.390596568540231	7.392085763519364	7.3870549782277575
SRR25158309	6.36808744680287	6.3616484800342095	6.3649146716742715
SRR25158441	6.598479679322558	6.595028960779574	6.594042338342492
SRR25158278	7.356486407040775	7.360168562614935	7.363680041547601
SRR25158222	7.65998818824937	7.661397661997421	7.667820163598491
SRR25158324	7.260025021027581	7.262868766458616	7.2728974613852095
SRR25158454	7.109147063129875	7.109536239252164	7.105982370990269
SRR25158493	7.548276520030476	7.5472909377771416	7.546215679496193
SRR25158348	6.692569463200381	6.690887508716723	6.691904589350647
SRR25158394	7.419209377137403	7.422842925529947	7.420047608516856
SRR25158303	7.275103000274502	7.278002154258126	7.285802653207108
SRR25158256	7.27335569635541	7.275194507523767	7.288404688040942
SRR25158205	7.001484164061159	7.005794979442807	7.018814910524403
SRR25158472	7.268974091045105	7.271852195362493	7.259483067119131
SRR25158511	7.306685688727292	7.31128522269933	7.3216271589830475
SRR25158455	7.376417449076788	7.376095333647046	7.376091439848955
SRR25158244	7.018673051980147	7.019787073715158	7.022026893206914
SRR25158527	7.375865095523178	7.37752976952337	7.370564801179127
SRR25158505	7.509145340076159	7.508297307600719	7.5137817943586835
SRR25158197	7.016734814253417	7.01859755536593	7.014132243941582
SRR25158434	7.338509723245344	7.341824249834792	7.334325590380141
SRR25158536	7.321939959236686	7.32472485059391	7.334792890897044
SRR25158333	7.4592508937928335	7.456355003718126	7.451327787241632
SRR25158314	7.145692802182818	7.140249380192952	7.148800881305577
SRR25158289	6.814695639167279	6.816532366384565	6.819993204454018
SRR25158509	7.054531009239834	7.057491652361766	7.066205642490108
SRR25158177	7.254054140593632	7.256273709199002	7.254483928535895
SRR25158293	6.415011283413412	6.4139755448696505	6.404704086491003
SRR25158180	7.398566932336379	7.401983791765989	7.3986377111403225
SRR25158387	7.450408250840602	7.452866266524064	7.46139401471688
SRR25158281	7.737185052145448	7.738713226078135	7.747109002260769
SRR25158265	6.523006481764089	6.517983136661182	6.51516787812862
SRR25158408	7.336883762903317	7.344101260086224	7.321881393832132
SRR25158423	7.091301386821594	7.09099496806648	7.087766059435809
SRR25158345	7.4445451407241325	7.4474357917010705	7.436638490228329
SRR25158214	7.400781424878963	7.404992141985149	7.404751101848133
SRR25158261	6.552982437049515	6.545787369585951	6.529753709210373
SRR25158456	7.368752796300337	7.369332284317722	7.366028016730687
SRR25158503	7.50649083970104	7.511837848343899	7.5269240599007725
SRR25158480	7.213961620011612	7.217831971668116	7.214495990517031
SRR25158323	7.323658983307811	7.326185983046808	7.337046531190209
SRR25158458	7.280782828256156	7.282592766971504	7.2829545701203555
SRR25158185	7.104025250946638	7.108363899511128	7.1087662615952585
SRR25158367	7.394204354970644	7.395489469014978	7.398901248959945
SRR25158385	6.866215176366491	6.867491711603817	6.868764432634585
SRR25158377	6.490106083917466	6.490258662451933	6.4950891923223075
SRR25158357	6.1199272991413896	6.123213018052424	6.195480748405189
SRR25158204	6.65142291287238	6.650449850918574	6.652735591102289
SRR25158351	6.6654374638606315	6.661694367593915	6.669325542422078
SRR25158308	7.009713327630554	7.006146943750885	7.006248986611287
SRR25158226	7.248189981057366	7.246176839824127	7.246303199703048
SRR25158312	6.031133836831498	6.020207762113273	6.018645031892689
SRR25158403	6.894248205938976	6.89514168386353	6.8920652730329515
SRR25158520	7.597160487901933	7.600470637146798	7.607380290824686
SRR25158427	7.304448019885437	7.3038240105412475	7.303361644419543
SRR25158508	7.013099366212086	7.017264957227532	7.005605385866416
SRR25158243	7.442132345091235	7.444790914660816	7.459197688818821
SRR25158414	7.429780565068099	7.431155825163041	7.439394148352198
SRR25158198	7.223985340554035	7.224300934116176	7.229907663239168
SRR25158336	6.582400259204051	6.58192130111191	6.579205932842603
SRR25158238	7.496533163914333	7.49889240661449	7.4988704680111535
SRR25158522	7.304750860432097	7.308237040546718	7.312811598215082
SRR25158271	6.74150491509665	6.736070268643938	6.7410661062570725
SRR25158189	7.273156224387695	7.275969789883722	7.276336823317488
SRR25158188	7.05094244607071	7.053991037288322	7.054350092768916
SRR25158326	7.4402854661131546	7.442214744092681	7.44280984978802
SRR25158237	7.43377606886437	7.435404078520868	7.431483110344751
SRR25158471	6.53860337951725	6.536521340739384	6.5465947073969675
SRR25158295	7.284257478434453	7.287425061467924	7.286637842316164
SRR25158421	7.114024381269508	7.116191505904401	7.113441671176397
SRR25158339	6.915241105378027	6.913034137340831	6.926539327520934
SRR25158337	6.482957824169568	6.478418340848627	6.483502248056238
SRR25158179	7.095318948178999	7.099835571489396	7.108120391137016
SRR25158392	6.981200718883743	6.9877717803985515	6.980002405832546
SRR25158513	6.526983287906633	6.534477144545618	6.535758792194144
SRR25158263	6.815525150491638	6.81783721484661	6.827077501292803
SRR25158224	7.527387163393659	7.528782072509351	7.522362978677512
SRR25158512	7.162199122560015	7.165865765296512	7.181648752003561
SRR25158372	6.790828568979155	6.7960347437235535	6.803784018241903
SRR25158346	6.3209630918842	6.311596021257368	6.300039670949635
SRR25158176	6.924121088875624	6.926513767483896	6.933845647966236
SRR25158252	7.130964912332454	7.135337036963855	7.135574740415497
SRR25158479	7.399909117443828	7.401876180507697	7.405664780322974
SRR25158195	7.241849376178201	7.244600584464478	7.24844340209975
SRR25158274	7.431986332845856	7.433767152088702	7.438940601415177
SRR25158476	7.25392768946005	7.254294804521371	7.267120167012283
SRR25158435	7.1163921390112215	7.118825542524399	7.123916954486185
SRR25158187	7.0067215379238945	7.010737256774827	7.016122503334973
SRR25158217	6.791921184536489	6.80218013537791	6.810073670964073
SRR25158397	7.292015018429317	7.296015693442752	7.2780413403912
SRR25158415	7.282564197268163	7.28398615570974	7.285699555754201
SRR25158304	6.556216983897471	6.552302529706941	6.551331064118307
SRR25158298	5.944511944089967	5.943208778450312	5.942748539716901
SRR25158439	6.831960250030643	6.829541586581561	6.822058843849362
SRR25158531	7.2451664191783935	7.25456886196418	7.264814375088812
SRR25158291	6.795673994376814	6.794875976408404	6.7984389589460985
SRR25158292	6.272616002297322	6.276434112061911	6.289286344326622
SRR25158449	7.244706184826218	7.24591042134637	7.240541033856325
SRR25158362	7.579025717697228	7.581968570711607	7.588088990027254
SRR25158363	7.682483000657976	7.6860245910549745	7.690812234748669
SRR25158175	7.2518422237974445	7.252731778775224	7.253846741324181
SRR25158517	7.430726596287903	7.43584364991699	7.43725488863757
SRR25158361	7.578704581503414	7.582739896295706	7.579051978199341
SRR25158404	7.539923895553605	7.540156383673015	7.539618280968012
SRR25158386	6.953623880313742	6.956561799419413	6.9584880188564755
SRR25158334	7.310427623299482	7.308499458781744	7.306523911496404
SRR25158251	7.298133599348845	7.297343993717765	7.305583716309321
SRR25158275	7.369798482267574	7.372747806339368	7.375792195948037
SRR25158294	6.459386850400059	6.460437555283551	6.45949954161634
SRR25158464	7.123385202361625	7.128203975911995	7.136816725185809
SRR25158347	6.712544597207156	6.713351187190451	6.70342244700043
SRR25158413	7.166834740828331	7.1687715854620775	7.169926708216603
SRR25158335	7.323596637245444	7.322417553551186	7.335208812251041
SRR25158535	7.176542539262657	7.1759244753981735	7.188206875524554
SRR25158391	7.2840703780886935	7.289409919713155	7.28817244303823
SRR25158384	7.409424758308048	7.414389716441615	7.407825963575235
SRR25158533	6.777820132128851	6.781366688362807	6.779956423126542
SRR25158340	6.572946990854697	6.567863318543845	6.564712274879418
SRR25158382	7.4565124438492605	7.454579019912972	7.452743205897701
SRR25158230	7.47976733406729	7.479071709293696	7.486876312756668
SRR25158453	7.173163291335365	7.175034546662599	7.156960131189549
SRR25158191	7.295028164980258	7.299112729956964	7.2992906694894435
SRR25158379	6.927250720555672	6.9310494760498695	6.941346594079831
SRR25158260	7.320435723737275	7.323830088401657	7.343163328357631
SRR25158229	7.268720799692389	7.2696916285443285	7.268754154679931
SRR25158273	7.461347070897664	7.464665982150691	7.472996589051774
SRR25158287	7.6258777616678	7.629940119483557	7.6312949533237076
SRR25158282	7.6967098556823865	7.697521531091248	7.700907504752186
SRR25158258	7.178957136663952	7.179432285595956	7.187313831639149
SRR25158277	7.499779418450924	7.500579305710207	7.50353877346684
SRR25158430	7.284478460546444	7.2877842743021715	7.299673321368431
SRR25158494	6.643405249003038	6.641146814757873	6.630384140161482
SRR25158213	7.513071387572924	7.516268135110608	7.520269372846043
SRR25158250	6.524289825221526	6.5252819941555105	6.544839537884579
SRR25158429	7.10416978080481	7.108071318805363	7.104453982051141
SRR25158284	7.327567196849012	7.327573854265703	7.330091462337344
SRR25158216	7.471290597330047	7.475187557782367	7.48286025653281
