sample	mean	tmean10	median
SRR25158187	2871.9997129499984	2878.605715448186	2822.0800604229607
SRR25158196	5051.06732794921	5051.59682768414	5018.940446650124
SRR25158347	2978.348078004255	2960.5673363811347	2986.6982378854627
SRR25158513	2347.87190318264	2352.2638207261443	2341.5565217391304
SRR25158489	4596.529797887005	4596.78344860761	4606.189750692521
SRR25158257	3898.0315768711926	3898.4989541941554	3896.3068783068784
SRR25158525	4837.4405419928535	4827.9250343245685	4876.034722222223
SRR25158389	5016.452024134497	5004.080780679039	5009.7101265822785
SRR25158514	2914.9582622419525	2931.7935939919844	2925.480263157895
SRR25158348	3122.648407329322	3127.910621694095	3088.785714285714
SRR25158524	3666.9555673909913	3658.2431652043224	3635.0359195402298
SRR25158357	1911.6355540082611	1913.3885577040537	1909.5373134328358
SRR25158426	3560.946818436124	3558.484284633296	3543.292181069959
SRR25158446	3840.757573694977	3844.457129302472	3843.349719101124
SRR25158373	4201.306963437434	4203.604755176968	4250.559040590406
SRR25158486	3487.5659121974713	3495.9509398715154	3456.2439516129034
SRR25158291	3339.9885567414844	3331.646266328779	3180.0555555555557
SRR25158273	4444.352758421383	4441.723370044382	4421.773835920178
SRR25158481	4757.407005775184	4751.172899258487	4734.083333333334
SRR25158372	2375.8939880978332	2372.8737894024275	2371.446759259259
SRR25158317	3261.525489898723	3264.0898969249806	3270.125
SRR25158410	3448.7293931027234	3453.3333369884544	3486.818181818182
SRR25158502	3666.1472849791276	3643.822065516308	3632.937722419929
SRR25158403	2855.826583714918	2850.7639879877697	2867.5557692307693
SRR25158198	3711.3526483875216	3702.7729053639696	3668.6923076923076
SRR25158462	3343.1556776202615	3342.898429589599	3324.271276595745
SRR25158497	3981.1043440287667	3978.7269161562394	3972.9473684210525
SRR25158330	4229.69079709916	4222.731836731672	4267.757894736842
SRR25158377	2821.9223481437343	2811.6590704771847	2786.7188679245282
SRR25158459	3409.3638460002617	3402.9293360196975	3409.776923076923
SRR25158256	3895.9203483108017	3889.093086721773	3898.8
SRR25158341	2316.2649846328386	2315.290084874066	2311.0
SRR25158402	2775.9993854010195	2783.9512785983225	2773.6072727272726
SRR25158537	3785.777901376695	3785.245282114401	3758.652392947103
SRR25158282	5866.065790120779	5860.745093448784	5794.128062360802
SRR25158295	4024.337274235527	4024.2581412340082	4024.8407643312103
SRR25158479	4862.036935114277	4846.7758605935305	4901.773927392739
SRR25158365	5061.753722782298	5052.268841540878	5032.389978213508
SRR25158437	2636.301701280157	2625.346964396575	2650.028125
SRR25158449	3677.17413487293	3683.1196839192685	3597.1709039548023
SRR25158533	3215.8994046720886	3222.1164240743965	3205.639534883721
SRR25158297	2694.9162435134076	2679.687302746193	2670.032258064516
SRR25158414	4938.8037609305775	4927.409210525272	4914.381019830029
SRR25158424	3310.484101481157	3299.3331848795933	3298.440058479532
SRR25158263	2277.2487763534255	2287.6153907385574	2288.950431034483
SRR25158515	3499.404056302507	3494.9132508083794	3481.3979238754328
SRR25158283	5419.76163235899	5429.380666760671	5423.988913525499
SRR25158229	4369.809332600758	4363.087196712513	4367.140625
SRR25158379	2795.3895566813044	2802.6117764799983	2796.5987903225805
SRR25158315	4017.8912399014616	3986.3924454946114	4007.6358173076924
SRR25158226	3421.344294091779	3417.1700537834663	3374.526706231454
SRR25158432	3812.419563592822	3798.3167617374243	3811.602083333333
SRR25158500	5542.554093246873	5554.704749278475	5548.777363184079
SRR25158316	4424.024392273046	4405.2610542952825	4368.760705289673
