"","City","Location","sample","n"
"1","Nanjing","Nanjing Agricultural University","cpsnj01",545
"2","Nanjing","Nanjing Agricultural University","cpsnj02",527
"3","Nanjing","Nanjing Agricultural University","cpsnj03",669
"4","Nanjing","Nanjing Agricultural University","cpsnj04",879
"5","Nanjing","Nanjing Agricultural University","snj01",473
"6","Nanjing","Nanjing Agricultural University","snj02",456
"7","Nanjing","Nanjing Agricultural University","snj03",594
"8","Nanjing","Nanjing Agricultural University","snj04",686
"9","Nanjing","Sun Yat-sen Mausoleum","cpsnj08",638
"10","Nanjing","Sun Yat-sen Mausoleum","cpsnj09",1075
"11","Nanjing","Sun Yat-sen Mausoleum","cpsnj10",838
"12","Nanjing","Sun Yat-sen Mausoleum","cpsnj11",813
"13","Nanjing","Sun Yat-sen Mausoleum","cpsnj13",642
"14","Nanjing","Sun Yat-sen Mausoleum","cpsnj14",810
"15","Nanjing","Sun Yat-sen Mausoleum","cpsnj15",499
"16","Nanjing","Sun Yat-sen Mausoleum","cpsnj16",593
"17","Nanjing","Sun Yat-sen Mausoleum","cpsnj19",719
"18","Nanjing","Sun Yat-sen Mausoleum","cpsnj20",509
"19","Nanjing","Sun Yat-sen Mausoleum","snj08",882
"20","Nanjing","Sun Yat-sen Mausoleum","snj09",854
"21","Nanjing","Sun Yat-sen Mausoleum","snj10",599
"22","Nanjing","Sun Yat-sen Mausoleum","snj11",846
"23","Nanjing","Sun Yat-sen Mausoleum","snj13",671
"24","Nanjing","Sun Yat-sen Mausoleum","snj14",689
"25","Nanjing","Sun Yat-sen Mausoleum","snj15",612
"26","Nanjing","Sun Yat-sen Mausoleum","snj16",542
"27","Nanjing","Sun Yat-sen Mausoleum","snj19",667
"28","Nanjing","Sun Yat-sen Mausoleum","snj20",783
"29","Shanghai","Fudan University","s1",654
"30","Shanghai","Fudan University","s2",370
"31","Shanghai","Fudan University","s3",550
"32","Shanghai","Fudan University","s4",566
"33","Shanghai","Fudan University","s5",594
"34","Shanghai","Fudan University","s6",833
"35","Shanghai","Fudan University","s7",751
"36","Shanghai","Fudan University","s8",693
"37","Shanghai","Fudan University","s9",651
"38","Shanghai","GongQing Forest Park","s10",607
"39","Shanghai","GongQing Forest Park","s11",584
"40","Shanghai","GongQing Forest Park","s12",385
"41","Shanghai","GongQing Forest Park","s13",644
"42","Shanghai","GongQing Forest Park","s14",661
"43","Shanghai","GongQing Forest Park","s15",764
"44","Shanghai","GongQing Forest Park","s16",751
"45","Shanghai","GongQing Forest Park","s17",629
"46","Shanghai","GongQing Forest Park","s18",968
"47","Shanghai","HuangXing Park","s19",388
"48","Shanghai","HuangXing Park","s20",774
"49","Shanghai","HuangXing Park","s21",561
"50","Shanghai","HuangXing Park","s22",499
"51","Shanghai","ShiJi Park","s23",610
"52","Shanghai","ShiJi Park","s24",523
"53","Shanghai","ShiJi Park","s25",630
"54","Shanghai","ShiJi Park","s26",574
"55","Shanghai","ShiJi Park","s27",766
"56","Shanghai","ShiJi Park","s28",708
"57","Shanghai","ShiJi Park","s29",531
"58","Shanghai","ShiJi Park","s30",521
