run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR25158366	PRJNA983538	SAMN35729554	SRX20906621	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/066/SRR25158366/SRR25158366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/066/SRR25158366/SRR25158366_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/066/SRR25158366/SRR25158366.lite	
SRR25158371	PRJNA983538	SAMN35729709	SRX20906616	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/071/SRR25158371/SRR25158371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/071/SRR25158371/SRR25158371_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/071/SRR25158371/SRR25158371.lite	
SRR25158374	PRJNA983538	SAMN35729572	SRX20906613	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/074/SRR25158374/SRR25158374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/074/SRR25158374/SRR25158374_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/074/SRR25158374/SRR25158374.lite	
SRR25158381	PRJNA983538	SAMN35729700	SRX20906606	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/081/SRR25158381/SRR25158381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/081/SRR25158381/SRR25158381_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/081/SRR25158381/SRR25158381.lite	
SRR25158389	PRJNA983538	SAMN35729693	SRX20906598	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/089/SRR25158389/SRR25158389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/089/SRR25158389/SRR25158389_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/089/SRR25158389/SRR25158389.lite	
SRR25158392	PRJNA983538	SAMN35729690	SRX20906595	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/092/SRR25158392/SRR25158392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/092/SRR25158392/SRR25158392_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/092/SRR25158392/SRR25158392.lite	
SRR25158400	PRJNA983538	SAMN35729656	SRX20906587	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/000/SRR25158400/SRR25158400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/000/SRR25158400/SRR25158400_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/000/SRR25158400/SRR25158400.lite	
SRR25158402	PRJNA983538	SAMN35729654	SRX20906585	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/002/SRR25158402/SRR25158402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/002/SRR25158402/SRR25158402_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/002/SRR25158402/SRR25158402.lite	
SRR25158404	PRJNA983538	SAMN35729652	SRX20906583	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/004/SRR25158404/SRR25158404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/004/SRR25158404/SRR25158404_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/004/SRR25158404/SRR25158404.lite	
SRR25158405	PRJNA983538	SAMN35729651	SRX20906582	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/005/SRR25158405/SRR25158405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/005/SRR25158405/SRR25158405_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/005/SRR25158405/SRR25158405.lite	
SRR25158408	PRJNA983538	SAMN35729648	SRX20906579	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/008/SRR25158408/SRR25158408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/008/SRR25158408/SRR25158408_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/008/SRR25158408/SRR25158408.lite	
SRR25158416	PRJNA983538	SAMN35729612	SRX20906571	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/016/SRR25158416/SRR25158416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/016/SRR25158416/SRR25158416_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/016/SRR25158416/SRR25158416.lite	
SRR25158419	PRJNA983538	SAMN35729609	SRX20906568	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/019/SRR25158419/SRR25158419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/019/SRR25158419/SRR25158419_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/019/SRR25158419/SRR25158419.lite	
SRR25158420	PRJNA983538	SAMN35729608	SRX20906567	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/020/SRR25158420/SRR25158420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/020/SRR25158420/SRR25158420_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/020/SRR25158420/SRR25158420.lite	
SRR25158421	PRJNA983538	SAMN35729607	SRX20906566	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/021/SRR25158421/SRR25158421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/021/SRR25158421/SRR25158421_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/021/SRR25158421/SRR25158421.lite	
SRR25158422	PRJNA983538	SAMN35729562	SRX20906565	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/022/SRR25158422/SRR25158422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/022/SRR25158422/SRR25158422_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/022/SRR25158422/SRR25158422.lite	
SRR25158423	PRJNA983538	SAMN35729606	SRX20906564	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/023/SRR25158423/SRR25158423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/023/SRR25158423/SRR25158423_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/023/SRR25158423/SRR25158423.lite	
SRR25158424	PRJNA983538	SAMN35729605	SRX20906563	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/024/SRR25158424/SRR25158424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/024/SRR25158424/SRR25158424_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/024/SRR25158424/SRR25158424.lite	
SRR25158427	PRJNA983538	SAMN35729602	SRX20906560	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/027/SRR25158427/SRR25158427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/027/SRR25158427/SRR25158427_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/027/SRR25158427/SRR25158427.lite	
SRR25158428	PRJNA983538	SAMN35729601	SRX20906559	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/028/SRR25158428/SRR25158428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/028/SRR25158428/SRR25158428_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/028/SRR25158428/SRR25158428.lite	
SRR25158430	PRJNA983538	SAMN35729599	SRX20906557	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/030/SRR25158430/SRR25158430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/030/SRR25158430/SRR25158430_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/030/SRR25158430/SRR25158430.lite	
SRR25158433	PRJNA983538	SAMN35729561	SRX20906554	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25158433/SRR25158433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25158433/SRR25158433_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/033/SRR25158433/SRR25158433.lite	
SRR25158437	PRJNA983538	SAMN35729509	SRX20906550	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/037/SRR25158437/SRR25158437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/037/SRR25158437/SRR25158437_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/037/SRR25158437/SRR25158437.lite	
