run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR25158279	PRJNA983538	SAMN35729518	SRX20906708	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/079/SRR25158279/SRR25158279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/079/SRR25158279/SRR25158279_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/079/SRR25158279/SRR25158279.lite	
SRR25158282	PRJNA983538	SAMN35729515	SRX20906705	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/082/SRR25158282/SRR25158282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/082/SRR25158282/SRR25158282_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/082/SRR25158282/SRR25158282.lite	
SRR25158293	PRJNA983538	SAMN35729459	SRX20906694	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/093/SRR25158293/SRR25158293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/093/SRR25158293/SRR25158293_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/093/SRR25158293/SRR25158293.lite	
SRR25158294	PRJNA983538	SAMN35729458	SRX20906693	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/094/SRR25158294/SRR25158294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/094/SRR25158294/SRR25158294_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/094/SRR25158294/SRR25158294.lite	
SRR25158298	PRJNA983538	SAMN35729455	SRX20906689	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/098/SRR25158298/SRR25158298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/098/SRR25158298/SRR25158298_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/098/SRR25158298/SRR25158298.lite	
SRR25158303	PRJNA983538	SAMN35729450	SRX20906684	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/003/SRR25158303/SRR25158303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/003/SRR25158303/SRR25158303_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/003/SRR25158303/SRR25158303.lite	
SRR25158308	PRJNA983538	SAMN35729469	SRX20906679	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/008/SRR25158308/SRR25158308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/008/SRR25158308/SRR25158308_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/008/SRR25158308/SRR25158308.lite	
SRR25158313	PRJNA983538	SAMN35729464	SRX20906674	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/013/SRR25158313/SRR25158313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/013/SRR25158313/SRR25158313_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/013/SRR25158313/SRR25158313.lite	
SRR25158314	PRJNA983538	SAMN35729429	SRX20906673	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/014/SRR25158314/SRR25158314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/014/SRR25158314/SRR25158314_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/014/SRR25158314/SRR25158314.lite	
SRR25158318	PRJNA983538	SAMN35729426	SRX20906669	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/018/SRR25158318/SRR25158318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/018/SRR25158318/SRR25158318_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/018/SRR25158318/SRR25158318.lite	
SRR25158320	PRJNA983538	SAMN35729424	SRX20906667	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/020/SRR25158320/SRR25158320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/020/SRR25158320/SRR25158320_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/020/SRR25158320/SRR25158320.lite	
SRR25158323	PRJNA983538	SAMN35729421	SRX20906664	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/023/SRR25158323/SRR25158323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/023/SRR25158323/SRR25158323_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/023/SRR25158323/SRR25158323.lite	
SRR25158324	PRJNA983538	SAMN35729420	SRX20906663	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/024/SRR25158324/SRR25158324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/024/SRR25158324/SRR25158324_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/024/SRR25158324/SRR25158324.lite	
SRR25158329	PRJNA983538	SAMN35729416	SRX20906658	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/029/SRR25158329/SRR25158329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/029/SRR25158329/SRR25158329_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/029/SRR25158329/SRR25158329.lite	
SRR25158330	PRJNA983538	SAMN35729415	SRX20906657	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/030/SRR25158330/SRR25158330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/030/SRR25158330/SRR25158330_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/030/SRR25158330/SRR25158330.lite	
SRR25158333	PRJNA983538	SAMN35729412	SRX20906654	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25158333/SRR25158333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25158333/SRR25158333_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/033/SRR25158333/SRR25158333.lite	
SRR25158334	PRJNA983538	SAMN35729411	SRX20906653	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/034/SRR25158334/SRR25158334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/034/SRR25158334/SRR25158334_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/034/SRR25158334/SRR25158334.lite	
SRR25158338	PRJNA983538	SAMN35729503	SRX20906649	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/038/SRR25158338/SRR25158338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/038/SRR25158338/SRR25158338_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/038/SRR25158338/SRR25158338.lite	
SRR25158339	PRJNA983538	SAMN35729502	SRX20906648	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/039/SRR25158339/SRR25158339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/039/SRR25158339/SRR25158339_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/039/SRR25158339/SRR25158339.lite	
SRR25158342	PRJNA983538	SAMN35729499	SRX20906645	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/042/SRR25158342/SRR25158342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/042/SRR25158342/SRR25158342_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/042/SRR25158342/SRR25158342.lite	
SRR25158345	PRJNA983538	SAMN35729592	SRX20906642	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/045/SRR25158345/SRR25158345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/045/SRR25158345/SRR25158345_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/045/SRR25158345/SRR25158345.lite	
SRR25158351	PRJNA983538	SAMN35729491	SRX20906636	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/051/SRR25158351/SRR25158351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/051/SRR25158351/SRR25158351_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/051/SRR25158351/SRR25158351.lite	
SRR25158352	PRJNA983538	SAMN35729490	SRX20906635	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/052/SRR25158352/SRR25158352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/052/SRR25158352/SRR25158352_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/052/SRR25158352/SRR25158352.lite	
SRR25158353	PRJNA983538	SAMN35729489	SRX20906634	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/053/SRR25158353/SRR25158353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/053/SRR25158353/SRR25158353_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/053/SRR25158353/SRR25158353.lite	
SRR25158354	PRJNA983538	SAMN35729488	SRX20906633	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/054/SRR25158354/SRR25158354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/054/SRR25158354/SRR25158354_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/054/SRR25158354/SRR25158354.lite	
SRR25158358	PRJNA983538	SAMN35729485	SRX20906629	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/058/SRR25158358/SRR25158358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/058/SRR25158358/SRR25158358_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/058/SRR25158358/SRR25158358.lite	
SRR25158360	PRJNA983538	SAMN35729483	SRX20906627	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/060/SRR25158360/SRR25158360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/060/SRR25158360/SRR25158360_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/060/SRR25158360/SRR25158360.lite	
SRR25158363	PRJNA983538	SAMN35729557	SRX20906624	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/063/SRR25158363/SRR25158363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/063/SRR25158363/SRR25158363_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/063/SRR25158363/SRR25158363.lite	
SRR25158364	PRJNA983538	SAMN35729556	SRX20906623	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/064/SRR25158364/SRR25158364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/064/SRR25158364/SRR25158364_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR251/064/SRR25158364/SRR25158364.lite	
