sample	Chao1	Simpson	Shannon
SRR25158350	2815.9550270914356	0.9713600042674609	6.893876171892876
SRR25158304	2518.101708637826	0.9713105472763185	6.556216983897471
SRR25158536	3913.855805020642	0.9713236422716255	7.321939959236686
SRR25158444	4700.1534022685	0.9713833177063067	7.310065767025665
SRR25158393	4808.474763208009	0.9713783741648706	7.4245900311687265
SRR25158420	3179.5358745688354	0.9713616132665631	7.117364212896132
SRR25158531	4119.166297352791	0.9713799534323597	7.2451664191783935
SRR25158458	4082.4399340972855	0.9713940393659974	7.280782828256156
SRR25158221	6211.863634367141	0.9713837487378418	7.699668717367376
SRR25158489	4596.529797887005	0.9713616966618481	7.428149872228019
SRR25158365	5061.753722782298	0.9713752302145304	7.603557274951085
SRR25158336	2490.795905678041	0.9713642026017383	6.582400259204051
SRR25158282	5866.065790120779	0.9713803076066613	7.6967098556823865
SRR25158252	3547.718908181665	0.9713704717744741	7.130964912332454
SRR25158291	3339.9885567414844	0.9713387992117809	6.795673994376814
SRR25158190	5236.883210602234	0.9713635051696438	7.434258546765807
SRR25158362	6102.656388058392	0.9713644442767556	7.579025717697228
SRR25158226	3421.344294091779	0.9713125372937688	7.248189981057366
SRR25158376	4931.929955058435	0.9713683187782367	7.448259456435028
SRR25158249	3889.3015219496538	0.9713039033877814	7.283884521967173
SRR25158320	4842.969407103772	0.9713528319205539	7.4547356731582175
SRR25158384	4579.597114392889	0.9713787353885874	7.409424758308048
SRR25158484	4681.504821088934	0.9713711314340575	7.401759998791592
SRR25158389	5016.452024134497	0.9714011716601045	7.470686363286747
SRR25158523	5092.2350765789815	0.9713801644528656	7.4260271361563
SRR25158316	4424.024392273046	0.9713315423873223	7.388643452324551
SRR25158191	3973.0057358205127	0.9713800707759827	7.295028164980258
SRR25158452	2737.311724703779	0.9713562397301511	6.803082500486722
SRR25158381	4569.967078038019	0.9713983179696598	7.375833507158363
SRR25158428	5459.211474275881	0.9713712735249685	7.406325696274902
SRR25158448	4029.4028426937252	0.9713675359097222	7.256209265182221
